,EIF3A (8661)
ACH-000004,-1.2698714522771988
ACH-000005,-1.4515236653290555
ACH-000007,-1.1996454877985134
ACH-000009,-1.3819218862118043
ACH-000011,-1.066702943843404
ACH-000012,-1.3505170100843638
ACH-000013,-1.2151898927121254
ACH-000014,-1.3277072499833555
ACH-000015,-1.2555637954267196
ACH-000017,-1.1720694772109599
ACH-000018,-1.1673005050089398
ACH-000019,-1.1639036011508372
ACH-000021,-1.1555801339778204
ACH-000022,-1.2655995457845801
ACH-000025,-1.2075179257464042
ACH-000028,-1.2417107050507128
ACH-000030,-1.3786375037983016
ACH-000035,-1.148091492391582
ACH-000036,-1.2191048930099355
ACH-000037,-1.289007229135379
ACH-000039,-1.4335326760955094
ACH-000040,-1.113826968931375
ACH-000041,-1.3845311665799398
ACH-000042,-1.3945052525478765
ACH-000045,-1.2467384796548011
ACH-000047,-1.1176918908409172
ACH-000052,-1.243611683875243
ACH-000053,-1.3144225896668065
ACH-000054,-1.2710833764727991
ACH-000055,-1.2390026811458643
ACH-000060,-1.0481790311175765
ACH-000067,-1.2190192902323125
ACH-000070,-1.2576894570328891
ACH-000075,-1.2572300878214766
ACH-000078,-1.3211529254664491
ACH-000082,-1.2502475051855964
ACH-000085,-1.145974931919035
ACH-000086,-1.189476464847114
ACH-000087,-1.2647076958486307
ACH-000092,-1.181948682841644
ACH-000095,-1.1606451526768593
ACH-000097,-1.2826042976293754
ACH-000098,-1.2137579440995645
ACH-000099,-1.2413952169893825
ACH-000108,-1.081604451887712
ACH-000113,-1.358503788237601
ACH-000116,-1.1679879475454549
ACH-000118,-1.1786919803459557
ACH-000120,-1.1925652300545329
ACH-000123,-1.2643765233042068
ACH-000127,-1.3881156899840823
ACH-000128,-1.233583044087507
ACH-000132,-1.3575633845827415
ACH-000133,-1.1449948858584535
ACH-000137,-1.1214684321949666
ACH-000138,-1.197050822795999
ACH-000142,-1.138970372281833
ACH-000143,-1.3131648415499055
ACH-000146,-1.1892573285430843
ACH-000148,-1.1683542727234788
ACH-000150,-1.0576103314918948
ACH-000152,-1.273928141789496
ACH-000153,-1.3330104367077429
ACH-000159,-1.1910501124912485
ACH-000160,-1.265894304079906
ACH-000163,-1.167440972504437
ACH-000167,-1.6007775143452656
ACH-000168,-1.0239479140669054
ACH-000169,-1.192205319702076
ACH-000178,-1.1499407155332175
ACH-000183,-1.083362729166108
ACH-000188,-1.1547168274525814
ACH-000189,-1.0653838505296973
ACH-000190,-1.5396952898594625
ACH-000198,-0.9954559814965886
ACH-000203,-1.1974269229225762
ACH-000204,-1.2120973654066007
ACH-000206,-1.2639741639066977
ACH-000207,-1.135204198398414
ACH-000208,-0.9068255502585768
ACH-000210,-1.2843020525577795
ACH-000211,-1.279973095333521
ACH-000215,-1.2858296606865711
ACH-000221,-1.2506086363636535
ACH-000222,-1.1695921515075782
ACH-000223,-1.4478430370667104
ACH-000226,-1.2338416573698232
