,CMA1 (1215)
ACH-000004,-0.021210272786501762
ACH-000005,-0.27787160243644604
ACH-000007,0.06437897715351304
ACH-000009,-0.003092373990796865
ACH-000011,-0.09747088422746894
ACH-000012,-0.010654336786279807
ACH-000013,-0.012680705233642606
ACH-000014,-0.039092149108289634
ACH-000015,-0.0022953514825100984
ACH-000017,-0.16430413502251193
ACH-000018,0.05796506181853055
ACH-000019,-0.014290050822255247
ACH-000021,-0.048729652180589236
ACH-000022,-0.06880451414651274
ACH-000025,0.04668503781971329
ACH-000028,-0.024524502652740976
ACH-000030,-0.052590956791564385
ACH-000035,-0.08717198241967544
ACH-000036,-0.0475151278215669
ACH-000037,0.10527642527711473
ACH-000039,-0.12034935696391398
ACH-000040,-0.04487018097603096
ACH-000041,0.0032813611346125694
ACH-000042,0.035675378946710384
ACH-000045,-0.016338183649096068
ACH-000047,-0.028929022881114833
ACH-000052,-0.14487648828969865
ACH-000053,-0.08691234388079096
ACH-000054,-0.011723629519462972
ACH-000055,-0.012008053469049129
ACH-000060,-0.2829447164698861
ACH-000067,-0.04524520507753517
ACH-000070,-0.11184453807338736
ACH-000075,-0.2084196231710748
ACH-000078,-0.04334216204115701
ACH-000082,-0.007069717931476458
ACH-000085,0.07338357519729938
ACH-000086,-0.0824020373635554
ACH-000087,-0.15277503223252265
ACH-000092,-0.15828703561440596
ACH-000095,-0.08674998432719963
ACH-000097,-0.12733593498328832
ACH-000098,-0.03036296520705525
ACH-000099,0.03493705495893902
ACH-000108,0.08054392385915142
ACH-000113,-0.004718981754930205
ACH-000116,0.01663981430171059
ACH-000118,-0.08810986512893032
ACH-000120,-0.009937555577270569
ACH-000123,-0.1121945571423712
ACH-000127,0.02193724851805497
ACH-000128,-0.04795318982711839
ACH-000132,0.13773370238240354
ACH-000133,-0.0793810340750014
ACH-000137,-0.060767361488424675
ACH-000138,0.015540473957149244
ACH-000142,0.020571471051568032
ACH-000143,-0.019390034603349697
ACH-000146,-0.062194272706494885
ACH-000148,-0.06713414487061092
ACH-000150,0.10009365525571463
ACH-000152,0.025268895427456004
ACH-000153,-0.14782592691389704
ACH-000159,-0.1167575795485224
ACH-000160,-0.3434732708642652
ACH-000163,-0.0577558230946142
ACH-000167,0.3020313192605705
ACH-000168,-0.05993775596395527
ACH-000169,0.02126548876527769
ACH-000178,-0.03252981285433899
ACH-000183,-0.08638539079507564
ACH-000188,0.10560555737115716
ACH-000189,-0.186987937841208
ACH-000190,0.02238508457551633
ACH-000198,-0.02284313518804924
ACH-000203,0.1648369249682622
ACH-000204,-0.05038021652588623
ACH-000206,0.00800610183742313
ACH-000207,-0.13982105970657607
ACH-000208,0.13273772561618916
ACH-000210,-0.04238799750479905
ACH-000211,-0.12017432202911615
ACH-000215,-0.01797084469627521
ACH-000221,-0.2697040883232331
ACH-000222,0.04286958860706736
ACH-000223,0.02538146915908745
ACH-000226,-0.20244162331651386
ACH-000227,0.0894838452585361
ACH-000228,-0.10471296608037864
ACH-000231,-0.03854944379243689
ACH-000232,0.020160863549669557
ACH-000233,0.056705598976537465
ACH-000234,0.04381556316596859
ACH-000235,-0.047950199044703566
ACH-000237,0.14701778102143725
ACH-000238,-0.008411514394097598
ACH-000242,0.030262313935704683
ACH-000243,-0.10875070325629978
ACH-000244,0.06643768621457878
ACH-000246,-0.1603095322743995
ACH-000248,-0.11880266698176327
ACH-000250,-0.02291032819080788
ACH-000251,0.1193565971924562
ACH-000252,-0.027092547206597848
ACH-000253,0.05105004885982516
ACH-000255,-0.08398604011418011
ACH-000256,-0.03251235621132892
ACH-000257,-0.147647613962659
ACH-000258,0.13371107317083214
ACH-000259,-0.06288780031005774
ACH-000260,-0.029862657882797808
ACH-000261,-0.09082387038802273
ACH-000262,-0.1497804624336425
ACH-000263,-0.13721720656222666
ACH-000264,-0.02753823473376549
