,SOWAHC (65124)
ACH-000004,-0.2265536428453237
ACH-000005,0.10406673925237668
ACH-000007,-0.07126949649832064
ACH-000009,-0.1827392603787984
ACH-000011,-0.1992384116141864
ACH-000012,-0.040947930165637934
ACH-000013,-0.11167479900001737
ACH-000014,-0.1179049431172798
ACH-000015,-0.08490583580679646
ACH-000017,-0.19235829883053834
ACH-000018,-0.12936748547800264
ACH-000019,-0.304177343559612
ACH-000021,-0.005221179945179828
ACH-000022,-0.12354394223526333
ACH-000025,-0.125890975436367
ACH-000028,-0.14257458875774404
ACH-000030,-0.2305652470712349
ACH-000035,-0.3535483886357177
ACH-000036,-0.21867593044573388
ACH-000037,-0.14285810824471268
ACH-000039,-0.33987561023957696
ACH-000040,-0.138375397830624
ACH-000041,-0.09407511058495548
ACH-000042,-0.12749643917071826
ACH-000045,-0.1318880929746281
ACH-000047,-0.13752207479228126
ACH-000052,-0.20100749838822327
ACH-000053,-0.08386208278942713
ACH-000054,-0.24713167097116276
ACH-000055,-0.011534251593515956
ACH-000060,-0.18889430877507624
ACH-000067,-0.2043045062892416
ACH-000070,-0.13448965816615588
ACH-000075,-0.12131957638764433
ACH-000078,-0.1451428895135526
ACH-000082,-0.2024994088256544
ACH-000085,-0.13338973526895245
ACH-000086,-0.03341331952329664
ACH-000087,-0.17411549885370484
ACH-000092,-0.3150445318209805
ACH-000095,-0.10219848946547136
ACH-000097,-0.2572206010730429
ACH-000098,-0.22896779080942065
ACH-000099,-0.06947644623205597
ACH-000108,-0.2919847553436159
ACH-000113,-0.025272424197623263
ACH-000116,-0.13028068469929052
ACH-000118,-0.1233411352343886
ACH-000120,-0.14178380595601547
ACH-000123,-0.2188056592576656
ACH-000127,-0.2805502243358328
ACH-000128,-0.2948415570327336
ACH-000132,-0.26554715539422885
ACH-000133,-0.2543808475929373
ACH-000137,-0.21007184853412814
ACH-000138,-0.040376513236305034
ACH-000142,-0.056990347430087636
ACH-000143,-0.1513407073432738
ACH-000146,-0.029285447416113625
ACH-000148,-0.057355824133373576
ACH-000150,-0.16318311105424774
ACH-000152,-0.21211440525417585
ACH-000153,-0.12441978411849702
ACH-000159,-0.18012764533875095
ACH-000160,-0.29772819919471993
ACH-000163,-0.27285194502620624
ACH-000167,0.08314209705051051
ACH-000168,-0.3092212422456717
ACH-000169,-0.09333493933857767
ACH-000178,-0.2682969102975447
ACH-000183,-0.2628574540308655
ACH-000188,-0.06859173331032091
ACH-000189,-0.07476217747268378
ACH-000190,-0.265482378136821
ACH-000198,-0.21768999456077007
ACH-000203,-0.20002093426196735
ACH-000204,-0.4421586573287023
ACH-000206,-0.19809792779576627
ACH-000207,-0.2049176418313797
ACH-000208,-0.15626251876450875
ACH-000210,-0.3946411286054725
ACH-000211,-0.25000739506151004
ACH-000215,-0.2794346357985097
ACH-000221,-0.11681890105420832
ACH-000222,-0.14575283964172053
ACH-000223,-0.3651307589422625
ACH-000226,-0.2454639073084749
ACH-000227,-0.1854906710472264
ACH-000228,-0.2494161836775592
ACH-000231,-0.16196302778079408
ACH-000232,-0.24911027313279666
ACH-000233,-0.11994703027689015
ACH-000234,-0.15593956209859394
ACH-000235,-0.2483424287559245
ACH-000237,-0.14629108705048344
ACH-000238,-0.1898243925511045
ACH-000242,-0.17859984099526985
ACH-000243,-0.3039012360787827
ACH-000244,-0.3786282718760952
ACH-000246,-0.10089435233748556
ACH-000248,-0.30330498724642463
ACH-000250,-0.15726216608023366
ACH-000251,-0.035478716249488444
ACH-000252,-0.0890904320029815
ACH-000253,-0.25361425027372464
ACH-000255,-0.13240672384887536
ACH-000256,-0.03918093220011008
ACH-000257,-0.027917566962413855
ACH-000258,-0.010993575450428351
ACH-000259,-0.17096155339217786
ACH-000260,-0.2985316403584328
ACH-000261,-0.032618578508029614
ACH-000262,-0.3805757961648477
ACH-000263,-0.1659301419726983
ACH-000264,-0.09138631314344732
ACH-000265,-0.2594110520434585
ACH-000266,-0.15908530295334514
ACH-000272,-0.25996756113863834
ACH-000274,-0.17067110718171136
ACH-000277,-0.050236560491106655
ACH-000278,-0.3009986955058004
ACH-000279,-0.18052905491420632
ACH-000280,-0.09429653262627592
ACH-000281,-0.0362208986260544
ACH-000288,-0.18011473750656554
ACH-000291,-0.2812716992702263
ACH-000293,-0.25737504632131125
ACH-000294,-0.14948504005891913
ACH-000295,0.1059610557444144
ACH-000296,-0.2526767532158493
ACH-000302,-0.2345709447948104
ACH-000304,-0.3755824730567993
ACH-000307,-0.22193541528982416
ACH-000308,-0.2462077429186637
ACH-000310,-0.11440664614463215
ACH-000311,-0.010790649295602854
ACH-000312,-0.14380171649636364
ACH-000315,-0.1358965460881279
ACH-000316,-0.2081165703251178
ACH-000317,-0.420665573629596
ACH-000318,-0.1816871323422152
ACH-000319,-0.16863002384081313
ACH-000320,-0.07581340724049268
ACH-000322,-0.12866518932903773
ACH-000323,-0.1120759673986978
ACH-000324,-0.18791363382809545
ACH-000329,-0.2439478385092056
ACH-000330,-0.07283136857583097
ACH-000331,-0.13212355756179087
ACH-000332,-0.16812085515080696
ACH-000334,-0.05761649183426237
ACH-000335,-0.5048639397237166
ACH-000336,-0.1243839907544769
ACH-000337,-0.24178173030070454
ACH-000338,-0.30370436318665994
ACH-000339,-0.2527113533872985
ACH-000341,-0.2380606810926922
ACH-000348,-0.15028518105246302
ACH-000350,0.05408460048280175
ACH-000352,-0.08129357946870942
ACH-000356,-0.11213135743460416
ACH-000361,-0.1805442728706892
ACH-000362,-0.09551263127063926
ACH-000363,-0.07618030998541479
ACH-000364,-0.2533521107832154
ACH-000365,-0.1921352313069425
ACH-000366,-0.08104695780608763
ACH-000368,-0.3316973010124887
ACH-000374,-0.3931842411845706
ACH-000375,-0.021351217645026257
ACH-000376,-0.239257724963483
ACH-000381,-0.32515200164522745
ACH-000383,-0.21764251144135965
ACH-000387,-0.09764483528302853
ACH-000389,-0.2550985367292595
ACH-000390,-0.2005031384169687
ACH-000393,-0.15868588965653158
ACH-000395,-0.22052094509298847
ACH-000396,-0.3219644998730297
ACH-000397,-0.18013646534774858
ACH-000401,-0.2368857075666382
ACH-000402,0.021109986668347742
ACH-000403,-0.2821924875001915
ACH-000404,0.024011359880558428
ACH-000406,-0.1831684276236156
ACH-000407,-0.35120055005286543
ACH-000408,-0.20304324382278705
ACH-000410,-0.1427221092851198
ACH-000411,-0.2420790972605907
ACH-000414,-0.14640439355323767
ACH-000415,-0.3140752366709885
ACH-000416,-0.2535584492336926
ACH-000420,-0.12359513740997115
ACH-000421,-0.11948919153832482
ACH-000424,-0.3718894866838777
ACH-000425,-0.2986641369140276
ACH-000426,-0.03480497134991839
ACH-000427,-0.317585250482564
