,RHOB (388)
ACH-000004,-0.08216125404584383
ACH-000005,-0.4241278486505595
ACH-000007,-0.15246449631580422
ACH-000009,-0.0281988585960035
ACH-000011,-0.12676863619840592
ACH-000012,-0.028253764043237588
ACH-000013,-0.039198781360103824
ACH-000014,-0.03775143460200415
ACH-000015,-0.07730850306723681
ACH-000017,-0.3350904793643364
ACH-000018,-0.18272761694881912
ACH-000019,-0.08406582952810847
ACH-000021,-0.09284129007108637
ACH-000022,-0.06290111104656998
ACH-000025,-0.05144431504375558
ACH-000028,-0.07402234096577033
ACH-000030,-0.03351556777237065
ACH-000035,-0.13897673141415945
ACH-000036,-0.08955911923164885
ACH-000037,-0.25829602347386604
ACH-000039,-0.12837397219043514
ACH-000040,-0.09645625800886157
ACH-000041,-0.14995313443807504
ACH-000042,-0.09066276880217976
ACH-000045,-0.011384753243962136
ACH-000047,-0.0986711146415095
ACH-000052,-0.13653308982135245
ACH-000053,-0.06916060545922867
ACH-000054,-0.18866708305055416
ACH-000055,-0.2866876774067072
ACH-000060,0.08124804637886837
ACH-000067,-0.047128919902650786
ACH-000070,-0.19867370945811247
ACH-000075,-0.3203374156933291
ACH-000078,-0.3660695909047375
ACH-000082,0.04543972608805903
ACH-000085,-0.04875803225623878
ACH-000086,-0.10193114054691492
ACH-000087,0.04716507941910275
ACH-000092,-0.09981103634154924
ACH-000095,-0.1280373300843951
ACH-000097,-0.08766403687111729
ACH-000098,-0.02397771914500271
ACH-000099,-0.26044840791136165
ACH-000108,-0.11977236346174695
ACH-000113,-0.1133053742284953
ACH-000116,-0.04128009936769629
ACH-000118,0.0060034802942097645
ACH-000120,-0.05507550830787232
ACH-000123,-0.056771687063419125
ACH-000127,-0.16913286917623202
ACH-000128,-0.11011875272567488
ACH-000132,-0.04439696070462563
ACH-000133,-0.1631173986188303
ACH-000137,-0.053221096956941966
ACH-000138,0.004689263328884567
ACH-000142,-0.14281448581117462
ACH-000143,0.011554849919606987
ACH-000146,-0.1016271111414255
ACH-000148,-0.027052233227664
ACH-000150,0.09248747602492656
ACH-000152,-0.11863201777448765
ACH-000153,-0.3313769706456691
ACH-000159,-0.012995875407820956
ACH-000160,-0.12277359631915218
ACH-000163,-0.16448375806323742
ACH-000167,-0.16255489747647553
