,PTPMT1 (114971)
ACH-000004,-0.999602466914174
ACH-000005,-1.5196882626045642
ACH-000007,-0.6715109818111026
ACH-000009,-0.4994311915304479
ACH-000011,-1.0068269985064728
ACH-000012,-0.8309751064404132
ACH-000013,-0.5629967612493526
ACH-000014,-0.8702438682962819
ACH-000015,-0.481444282749493
ACH-000017,-0.6060656865277035
ACH-000018,-0.6598714493303899
ACH-000019,-0.6946777996321577
ACH-000021,-0.5212884612953301
ACH-000022,-0.6654261177618149
ACH-000025,-0.9090848875678318
ACH-000028,-0.7885208194114399
ACH-000030,-0.7176374874342296
ACH-000035,-0.6570890715517097
ACH-000036,-0.7691057783706875
ACH-000037,-0.9126166849038186
ACH-000039,-0.8060920769487164
ACH-000040,-1.0888222076366214
ACH-000041,-0.7690848991469326
ACH-000042,-0.4656152308944731
ACH-000045,-0.5568516954496204
ACH-000047,-0.5813952901931765
ACH-000052,-0.5058411370266558
ACH-000053,-0.5933604006912263
ACH-000054,-0.3249401699669112
ACH-000055,-0.493586572907496
ACH-000060,-0.3814556348448512
ACH-000067,-0.8691103923192258
ACH-000070,-0.5450505955442515
ACH-000075,-0.7294986572271617
ACH-000078,-0.13581422113681124
ACH-000082,-0.5005554626088319
ACH-000085,-0.8327182110922065
ACH-000086,-0.8410703981605681
ACH-000087,-1.1097865001199565
ACH-000092,-0.4396107809061157
ACH-000095,-0.1926719490316028
ACH-000097,-0.6550699739142921
ACH-000098,-0.5510008077345647
ACH-000099,-0.4215833812843649
ACH-000108,-0.4361817312363929
ACH-000113,-0.7410461274725798
ACH-000116,-0.6674929354645448
ACH-000118,-0.494880241577312
ACH-000120,-0.5810863996043331
ACH-000123,-0.5481519220504399
ACH-000127,-0.8043327002445921
ACH-000128,-0.7646149631471091
ACH-000132,-0.5605822688807188
ACH-000133,-0.8732074641160903
ACH-000137,-0.6961810462591096
ACH-000138,-0.6978187932760941
ACH-000142,-0.9011382955435192
ACH-000143,-0.7923622996328779
ACH-000146,-0.43028668201732784
ACH-000148,-0.9208475323066692
ACH-000150,-0.7618462696077047
ACH-000152,-0.7433070132467209
ACH-000153,-0.4612468542066961
ACH-000159,-0.6170042430875546
ACH-000160,-0.5347207722448772
ACH-000163,-1.0469921036759844
ACH-000167,-1.0414267386809408
ACH-000168,-0.6834363978468567
ACH-000169,-0.7854149537722643
ACH-000178,-0.6881927476676868
ACH-000183,-0.6073313111476341
ACH-000188,-0.7995887764652301
ACH-000189,-0.5557617285923565
ACH-000190,-0.5318176972275863
ACH-000198,-0.5014964391089219
ACH-000203,0.04118047774946816
ACH-000204,-0.3632494774248662
ACH-000206,-0.7619255956802665
ACH-000207,-0.6750171492274959
ACH-000208,-0.4664068220921096
ACH-000210,-0.6381108904945789
ACH-000211,-0.9700673804461996
ACH-000215,-0.9784898540229742
ACH-000221,-0.8718992244694556
ACH-000222,-0.7393500218968202
ACH-000223,-0.4608784187610362
ACH-000226,-0.6982500929538304
ACH-000227,-0.7247346820049144
ACH-000228,-0.3477494214107086
ACH-000231,-0.9163960588258312
ACH-000232,-0.9004582075720553
ACH-000233,-0.6883108886786847
ACH-000234,-0.3800028317575301
ACH-000235,-0.4460407968474881
ACH-000237,-0.5506506709249999
ACH-000238,-0.6768247300786664
ACH-000242,-0.6209641804563312
ACH-000243,-0.7581096560467749
ACH-000244,-0.6480915098301124
ACH-000246,-0.7227342969621003
ACH-000248,-0.8487347330336936
ACH-000250,-0.512569422421475
ACH-000251,-0.8472789618683745
ACH-000252,-0.2275603277692081
ACH-000253,-0.4050199490735517
ACH-000255,-0.6342360853964049
ACH-000256,-0.6903432812154395
ACH-000257,-0.452855347128903
ACH-000258,-0.5135765215079282
ACH-000259,-0.9553971556255204
ACH-000260,-0.6883139283980609
ACH-000261,-0.8389385318151343
ACH-000262,-0.8531205713559664
ACH-000263,-0.2711684223186083
ACH-000264,-0.6979757255160919
ACH-000265,-0.8388519710123133
