,SUOX (6821)
ACH-000004,-0.3341108584071793
ACH-000005,-0.3719676617841963
ACH-000007,-0.3574383596696663
ACH-000009,-0.3042682896359162
ACH-000011,-0.3209108926474993
ACH-000012,-0.2285406106062192
ACH-000013,-0.1138366046939968
ACH-000014,-0.2433019234877705
ACH-000015,-0.3194820938199582
ACH-000017,-0.13917361815470328
ACH-000018,-0.0942802297074426
ACH-000019,-0.060170033215565924
ACH-000021,-0.17339809817375262
ACH-000022,-0.13755418795538935
ACH-000025,-0.3430424930895614
ACH-000028,-0.219947272873418
ACH-000030,-0.236759112345174
ACH-000035,-0.1234978985341088
ACH-000036,-0.2786214523384637
ACH-000037,-0.13153354319377375
ACH-000039,-0.2970852842949007
ACH-000040,-0.13254379693731808
ACH-000041,-0.2676467894003101
ACH-000042,-0.2920819268373566
ACH-000045,-0.33822228522353703
ACH-000047,-0.20339850839630125
ACH-000052,-0.17696213676922765
ACH-000053,-0.19226922414937966
ACH-000054,-0.2828273581706445
ACH-000055,-0.34381428216833393
ACH-000060,-0.14340018389072845
ACH-000067,-0.30695596548457943
ACH-000070,-0.1755924918738698
ACH-000075,-0.3011391474713209
ACH-000078,-0.22196280498306928
ACH-000082,-0.2992274753656496
ACH-000085,-0.4167221948539464
ACH-000086,-0.44236129880986014
ACH-000087,-0.2869076766455914
ACH-000092,-0.2515501383794593
ACH-000095,-0.306910944762135
ACH-000097,-0.3069798453953195
ACH-000098,-0.18722952607995053
ACH-000099,-0.15452307054019798
ACH-000108,-0.07746202720921791
ACH-000113,-0.2447044225995363
ACH-000116,-0.2763561815926083
ACH-000118,-0.16554634022883086
ACH-000120,-0.11885635301027765
ACH-000123,-0.2446028923604515
ACH-000127,-0.2479597223054548
ACH-000128,-0.3854565428163116
ACH-000132,0.008010812595811736
ACH-000133,-0.2814211078045561
ACH-000137,-0.21142861354883694
ACH-000138,-0.15692042966611122
ACH-000142,-0.2879457808992989
ACH-000143,-0.19641204056160316
ACH-000146,-0.15156201626187582
ACH-000148,-0.24850173071164944
ACH-000150,-0.3195004170424244
ACH-000152,-0.1164129369919666
ACH-000153,-0.5735130613960843
ACH-000159,-0.1246283092236634
ACH-000160,-0.18589748873090672
ACH-000163,-0.29830771932977457
ACH-000167,-0.1311840444769355
ACH-000168,-0.1310179056179279
ACH-000169,-0.3405504618283132
ACH-000178,-0.048742316804807666
ACH-000183,-0.17018563847509505
ACH-000188,-0.12465172553202306
ACH-000189,-0.4450418010716741
ACH-000190,-0.07404653547344525
ACH-000198,-0.2726090803954019
ACH-000203,-0.06593426008544467
ACH-000204,-0.26012146445155576
ACH-000206,-0.2781650163077851
ACH-000207,-0.11941264324423115
ACH-000208,-0.18761054874515146
ACH-000210,-0.17500056618976734
ACH-000211,-0.2763359018844733
ACH-000215,-0.16749720002292146
ACH-000221,-0.17801440101655425
ACH-000222,-0.004933282321313391
ACH-000223,-0.23769694333262836
ACH-000226,-0.3287928401544021
ACH-000227,-0.2782580350837583
ACH-000228,-0.13629498233021853
ACH-000231,-0.19509815034891811
ACH-000232,-0.2876840560212371
ACH-000233,-0.2517294537884607
ACH-000234,-0.3408292704440542
ACH-000235,-0.2292496683552794
ACH-000237,-0.30265716361804634
ACH-000238,-0.1275136877026367
ACH-000242,-0.4095862428651904
ACH-000243,-0.2142616511898662
ACH-000244,-0.17178038013671115
ACH-000246,-0.3139847559885284
ACH-000248,-0.4683487775297818
ACH-000250,-0.21407062928372653
ACH-000251,-0.4087415001853685
ACH-000252,-0.2388656488584896
ACH-000253,-0.2856087751945015
ACH-000255,-0.31398379356500883
ACH-000256,-0.4274971296017449
ACH-000257,-0.3219421050693536
ACH-000258,-0.08924208073987834
ACH-000259,-0.2876568402624152
ACH-000260,-0.3345980244003607
ACH-000261,-0.3352289309438258
ACH-000262,0.021854749381369887
ACH-000263,-0.654938948677294
ACH-000264,-0.17755924750731444
ACH-000265,-0.18812107124118024
ACH-000266,-0.291769935152982
ACH-000272,-0.2312063611131647
ACH-000274,-0.3155184801095386
ACH-000277,-0.2434791764244123
ACH-000278,-0.27849820282674503
ACH-000279,-0.3121284585425069
ACH-000280,-0.22336869261001333
ACH-000281,-0.33224510646509164
ACH-000288,-0.28391601574326136
ACH-000291,-0.24008480041361324
ACH-000293,-0.2715901109463873
ACH-000294,-0.09537123819635164
ACH-000295,-0.035568830731574984
ACH-000296,-0.4773894171887682
ACH-000302,-0.2985282183722299
ACH-000304,-0.2421079842945469
ACH-000307,-0.2268422895023686
ACH-000308,-0.19249211837459312
ACH-000310,-0.18391116381849887
ACH-000311,-0.24357865220035899
ACH-000312,-0.21590434795872496
ACH-000315,-0.16535168155610727
ACH-000316,-0.17698125835172032
ACH-000317,-0.2588800088471559
ACH-000318,-0.3751989017986016
ACH-000319,-0.18931370798922226
ACH-000320,-0.32700370149878805
ACH-000322,-0.07067120113931807
ACH-000323,-0.0925648343478592
ACH-000324,-0.2511385707297631
ACH-000329,-0.21414858096605568
ACH-000330,-0.03359837374442819
ACH-000331,-0.2557360684941469
ACH-000332,-0.2449972356827578
ACH-000334,-0.28736792187272764
ACH-000335,-0.2951994099433975
ACH-000336,-0.030630706483611145
ACH-000337,-0.18525245988260644
ACH-000338,-0.7200935319293507
ACH-000339,-0.2446825666914817
ACH-000341,-0.05540957686731198
ACH-000348,-0.28886840412544496
ACH-000350,-0.3289683269355063
ACH-000352,-0.18348056293695408
ACH-000356,-0.0880119380092764
ACH-000361,-0.3704240521869579
ACH-000362,-0.20916883271885192
ACH-000363,-0.2450344641732262
ACH-000364,-0.365962994196246
ACH-000365,-0.4090007253965375
ACH-000366,-0.2180435922688566
ACH-000368,-0.26121138450693443
ACH-000374,-0.16469382254617576
ACH-000375,-0.09954161223089797
ACH-000376,-0.15447827322834642
ACH-000381,-0.3005758105620696
ACH-000383,-0.18702336698578215
ACH-000387,-0.2925081249246163
ACH-000389,-0.0984271014504331
ACH-000390,-0.2115058289945228
ACH-000393,-0.23014280367231835
ACH-000395,-0.21218708154726493
ACH-000396,-0.2751177132450973
ACH-000397,-0.17126953333078326
ACH-000401,-0.045383629526770615
ACH-000402,-0.16056316878881324
ACH-000403,-0.3131011587444165
ACH-000404,-0.11516735492053096
ACH-000406,-0.2347379599418908
ACH-000407,-0.24036043090335504
ACH-000408,-0.034859854559954814
ACH-000410,-0.21749511484341333
ACH-000411,-0.2569318343751327
ACH-000414,-0.24036794354884974
ACH-000415,-0.15484144727018273
ACH-000416,-0.2571788488363442
ACH-000420,-0.17940969436582585
ACH-000421,-0.1698535878983165
ACH-000424,-0.3194069604327708
ACH-000425,-0.1932906028820063
ACH-000426,-0.1583965331829845
ACH-000427,-0.04442908145286679
ACH-000433,-0.14138284696861494
ACH-000435,-0.25031261860765863
ACH-000436,-0.3662396541163941
ACH-000444,-0.09295371251611524
ACH-000445,-0.2624869646109304
ACH-000448,-0.16533087982485106
ACH-000450,-0.03557112607951169
ACH-000452,-0.2654233358851527
ACH-000454,-0.2568647760300768
ACH-000458,-0.26045601417349024
ACH-000459,-0.02948681084051015
ACH-000460,-0.2793181945225485
ACH-000461,-0.14493425675766938
ACH-000463,-0.2989371282006917
ACH-000464,-0.2620294914355091
ACH-000466,-0.2706700091398919
ACH-000467,-0.0891543351340168
ACH-000468,-0.41514546431798893
ACH-000469,-0.2030314619368795
ACH-000470,-0.15087122179763635
ACH-000471,-0.14570837711166515
ACH-000472,-0.2742436274999559
ACH-000473,-0.2281440932851819
ACH-000475,-0.246390696951469
ACH-000476,-0.3695903602847384
ACH-000477,-0.26305729699283753
ACH-000479,-0.02989146380715518
ACH-000480,-0.14158515137898922
ACH-000481,-0.20583196329596276
ACH-000483,-0.29768759978040804
ACH-000484,-0.061492465823328325
ACH-000485,-0.20986555419984151
ACH-000486,-0.19705847889992276
ACH-000487,-0.1591098654214767
ACH-000488,-0.19740030994278826
ACH-000490,-0.2291766666328457
ACH-000491,-0.11970921377359901
ACH-000495,-0.1137804681365435
ACH-000496,-0.4729014454986942
ACH-000499,-0.44123157814995584
ACH-000500,-0.6154568378966965
ACH-000502,-0.1252955452515253
ACH-000503,-0.4629190673152622
ACH-000505,-0.1866733090598814
ACH-000507,-0.25772543009793536
ACH-000510,-0.09894549168799002
ACH-000511,-0.16412057435261496
ACH-000512,-0.160902198808521
ACH-000516,-0.2967797621398822
ACH-000517,-0.3144599640099322
ACH-000518,-0.15232379446184816
ACH-000520,-0.3616974341779396
ACH-000521,-0.21934642016216188
ACH-000522,-0.14845637993402586
ACH-000524,-0.3528707843346779
ACH-000527,-0.21673820557007745
