,ACLY (47)
ACH-000004,-0.20774904589241708
ACH-000005,-0.09859933179433204
ACH-000007,-0.5770767926928053
ACH-000009,-0.7135059077615978
ACH-000011,-0.05478017715033675
ACH-000012,-0.48703191298897
ACH-000013,-0.5846762261673557
ACH-000014,-0.7112777470601371
ACH-000015,-0.21132395560631365
ACH-000017,-0.2130504902532027
ACH-000018,-0.4457939648390745
ACH-000019,-0.6173864412721175
ACH-000021,-0.2702010651504755
ACH-000022,-0.6421731072160392
ACH-000025,-0.5762436822737387
ACH-000028,-0.446857972465553
ACH-000030,-0.3002527681869457
ACH-000035,-0.7272349249355095
ACH-000036,-0.207302055322739
ACH-000037,-0.3665139365252496
ACH-000039,-0.4131402410066007
ACH-000040,-0.3584967873358696
ACH-000041,-0.42962621738423495
ACH-000042,-0.4076013667931953
ACH-000045,-0.3016240509721553
ACH-000047,0.09361334020701527
ACH-000052,-0.30523372842251273
ACH-000053,-0.18619853803874215
ACH-000054,0.010288833882593315
ACH-000055,-0.13527891478271667
ACH-000060,-0.13569184875923385
ACH-000067,-0.2886397210731711
ACH-000070,-0.6058169463458153
ACH-000075,-0.3749342231905585
ACH-000078,-0.4020258379919389
ACH-000082,-0.06410217892828766
ACH-000085,-0.05408757911616835
ACH-000086,-0.312852939858048
ACH-000087,-0.28326158526019324
ACH-000092,-0.2388094565423817
ACH-000095,-0.2793178514037446
ACH-000097,-0.5756271464182563
ACH-000098,-0.5509437317484407
ACH-000099,-0.3834177758274687
ACH-000108,-0.4788515401132874
ACH-000113,-0.2075885646466071
ACH-000116,-0.3762394448145169
ACH-000118,0.32883534128831715
ACH-000120,-0.2433799050188887
ACH-000123,-0.4852593332198658
ACH-000127,0.05059780029580342
ACH-000128,-0.4354471155851441
ACH-000132,-0.1305694624330845
ACH-000133,-0.3573183206229705
ACH-000137,-0.20456040682352572
ACH-000138,-0.4037060794711684
ACH-000142,-0.4697889683319999
ACH-000143,-0.4929016207104224
ACH-000146,-0.3054390533448477
ACH-000148,-0.3303854970369522
ACH-000150,-0.2586536397263725
ACH-000152,-0.3205703908629797
ACH-000153,-0.7575277972302324
ACH-000159,-0.19537909551437274
ACH-000160,-0.4035922474398631
ACH-000163,-0.3605783510018588
ACH-000167,-0.8521976550179898
ACH-000168,-0.4610859831227841
ACH-000169,-0.5340465700023079
ACH-000178,-0.4538033644154276
ACH-000183,-0.70881812152176
ACH-000188,-0.4392380104447137
ACH-000189,-0.4763038472206321
ACH-000190,-0.6064446227146558
ACH-000198,-0.4770564447507116
ACH-000203,-0.11794346833825012
ACH-000204,-0.3261942791656549
ACH-000206,-0.4013707477100631
ACH-000207,-0.7636456765843377
ACH-000208,-0.1251055281705347
ACH-000210,-0.205034776241468
ACH-000211,-0.4541797471752228
ACH-000215,-0.1873650565324912
ACH-000221,-0.7292766928931653
ACH-000222,-0.7286970447972968
ACH-000223,-0.2516699595134973
ACH-000226,-0.5970033268096814
ACH-000227,-0.4106114379704137
ACH-000228,-0.3377347129333073
ACH-000231,-0.6936975556003839
ACH-000232,-0.32932432184386384
ACH-000233,-0.4885561634259038
ACH-000234,-0.4750511643862718
ACH-000235,-0.3403817652907446
ACH-000237,-0.21103258828089624
ACH-000238,-0.6618916107940258
ACH-000242,-0.2383802928035645
ACH-000243,0.012012567291091672
ACH-000244,-0.4063044681661824
ACH-000246,-0.3002482328883984
ACH-000248,-0.4809254990220493
ACH-000250,-0.1921627409910636
ACH-000251,-0.2647177363924703
ACH-000252,-0.5917744969601573
ACH-000253,-0.4231399633589844
ACH-000255,-0.8125333417986222
ACH-000256,-0.09756750111133017
ACH-000257,-0.30513637471070953
ACH-000258,-0.3078691227132879
ACH-000259,-0.3522088705599489
ACH-000260,-0.35940334514917466
ACH-000261,-0.20250337611727925
ACH-000262,-0.619067924863481
ACH-000263,-0.7717552627177016
ACH-000264,-0.3501841887899268
ACH-000265,-0.3501618904943521
ACH-000266,-0.062078525077516586
ACH-000272,-0.4131021200610013
ACH-000274,-0.4764973560774997
ACH-000277,-0.4403246720329627
ACH-000278,-0.1921908025819145
ACH-000279,-0.2965421713599761
ACH-000280,-0.25599695361817115
ACH-000281,-0.4679488866524577
ACH-000288,-0.5957551776405666
ACH-000291,-0.00377671013295356
ACH-000293,-0.2740287008082913
ACH-000294,-0.6841377676969299
ACH-000295,-0.34153884607605106
ACH-000296,-0.1835741762217016
ACH-000302,-0.1760725221502355
ACH-000304,-0.3014620859559263
ACH-000307,-0.3770748742380569
ACH-000308,-0.02859733891023349
ACH-000310,-0.22243798580032148
ACH-000311,-0.15201874199580953
ACH-000312,-0.4001007825202492
ACH-000315,-0.5778062304462536
ACH-000316,-0.4498820747365023
ACH-000317,-0.8165940601088484
ACH-000318,-0.4509921826010651
ACH-000319,-0.3823230515863172
ACH-000320,-0.3495882252620219
ACH-000322,-0.4595588078727412
ACH-000323,-0.17027565365155614
ACH-000324,-0.005295972941819671
ACH-000329,-0.14340755490266646
ACH-000330,-0.6102877413204942
ACH-000331,-0.2397598479423937
ACH-000332,-0.3946298693862428
ACH-000334,-0.3229899527729356
ACH-000335,-0.2837601345975185
ACH-000336,-0.433825075133288
ACH-000337,-0.8237839965100716
ACH-000338,0.08426434793758039
ACH-000339,-0.2388672177230977
ACH-000341,-0.14768292721021126
ACH-000348,-0.2527539218172661
ACH-000350,-0.3058737993885437
ACH-000352,-0.7733068290076212
ACH-000356,-0.3609895484855588
ACH-000361,-0.35783102093927843
ACH-000362,-0.4815087974081702
ACH-000363,-0.3956938969403451
ACH-000364,-0.060837372888649
ACH-000365,-0.6033393046118798
ACH-000366,-0.2022689839499681
ACH-000368,-0.15336367627253014
ACH-000374,-0.3472803697584875
ACH-000375,-0.3779235179891604
ACH-000376,0.007572737233313787
ACH-000381,-0.7408136496109698
ACH-000383,-0.3077675287608555
ACH-000387,-0.3027212074657889
ACH-000389,0.04375765204408465
ACH-000390,-0.8215891119674259
ACH-000393,-0.23111148354882996
ACH-000395,-0.5877458108647391
ACH-000396,-0.4290583589133653
ACH-000397,-0.014787992743019146
ACH-000401,-0.6851464418757528
ACH-000402,-0.8758529688059471
ACH-000403,-0.2773101546706549
ACH-000404,-0.7285263630742852
ACH-000406,-0.8273022458763397
ACH-000407,-0.5185481009799006
ACH-000408,-0.5725776627381223
ACH-000410,-0.15709603740621247
ACH-000411,-0.2770802584163023
ACH-000414,-0.5757508122238486
ACH-000415,-0.8850873257801936
ACH-000416,-0.2661551009534453
ACH-000420,-0.23078561485930305
ACH-000421,-0.6106170742805449
ACH-000424,-0.5258882675484077
ACH-000425,-0.52701672655125
ACH-000426,-0.23779387431996615
ACH-000427,-0.51916643295589
ACH-000433,-0.1864781648869148
ACH-000435,-0.25371212442023106
ACH-000436,-0.18639438349598925
ACH-000444,-0.4153403262442176
ACH-000445,-0.5899887875036731
ACH-000448,-0.2956794208787548
ACH-000450,-0.4058858288271872
ACH-000452,-0.2475880773617817
ACH-000454,-0.5749714215984711
ACH-000458,-0.010937247606978413
ACH-000459,-0.4164337105236734
ACH-000460,-0.25370570028709793
ACH-000461,-0.5917634789877766
ACH-000463,-0.23592296365230184
ACH-000464,-0.033379047465228136
ACH-000466,-0.2594858697845553
ACH-000467,-0.6126947293151438
ACH-000468,-0.6204930323432174
ACH-000469,-0.25992030990781073
ACH-000470,-0.3375056838743483
ACH-000471,0.13213892441451142
ACH-000472,-0.5915140839008742
ACH-000473,-0.20892061319146776
ACH-000475,-0.3458549673292324
ACH-000476,0.008901937319395366
ACH-000477,-0.5347124793069072
ACH-000479,0.09724773831871056
ACH-000480,-0.6828425050933825
ACH-000481,-0.3615738917778267
ACH-000483,-0.17631743441180975
ACH-000484,-0.05416825891973838
ACH-000485,-0.37838314939819584
ACH-000486,-0.379033719479829
ACH-000487,-0.036417375762548526
ACH-000488,-0.4900098502331912
ACH-000490,-0.32967113158065625
ACH-000491,-0.3069414527499737
ACH-000495,-0.14997661076704044
ACH-000496,0.25744294097727344
ACH-000499,-0.5061255920907235
ACH-000500,-0.4507025316087596
ACH-000502,-0.6357397093768403
ACH-000503,-0.7596866197544045
ACH-000505,-0.0206711000874517
ACH-000507,-0.5541124287513289
ACH-000510,-0.6698711004954357
ACH-000511,-0.17069199983968847
ACH-000512,-0.3763878381140744
ACH-000516,-0.06101759315440412
ACH-000517,-0.09457151716843397
ACH-000518,-0.3280038802655565
ACH-000520,-0.17519312854015684
ACH-000521,-0.5669058488608486
ACH-000522,-0.4375348125417711
ACH-000524,-0.19317361340181655
ACH-000527,-0.3273064310227096
ACH-000528,-0.460857963022051
ACH-000537,-0.10100774974763058
ACH-000541,-0.3904776617293193
ACH-000542,-0.5440504543814311
ACH-000544,-0.4625701110619434
ACH-000545,-0.3679245955088884
ACH-000547,-0.05771223905351665
ACH-000548,-0.3862282279097544
ACH-000549,-0.673709648522719
ACH-000550,-0.24984894231356766
ACH-000552,-0.5193487811138751
ACH-000556,-0.11265630839827027
ACH-000557,-0.35990335763937953
ACH-000569,-0.10551579850514772
ACH-000570,-0.6412516246741117
ACH-000571,-0.1827310137267808
ACH-000573,-0.38056691463277065
ACH-000576,-0.6865823914324177
ACH-000579,-0.7537438385610833
