,ZFP57 (346171)
ACH-000004,-0.3049151862989886
ACH-000005,-0.30702276174845416
ACH-000007,-0.24345207883523826
ACH-000009,-0.2363274927484967
ACH-000011,-0.5003534319609103
ACH-000012,-0.08541378414905203
ACH-000013,-0.25994556089477183
ACH-000014,-0.12844952896670053
ACH-000015,-0.13547134081547607
ACH-000017,-0.2624263079464921
ACH-000018,-0.3132596036948745
ACH-000019,-0.19114719792741405
ACH-000021,-0.205500976287089
ACH-000022,-0.2680411590506655
ACH-000025,-0.3989830529928304
ACH-000028,-0.1729885602884234
ACH-000030,-0.284100742324538
ACH-000035,-0.2904845640868365
ACH-000036,-0.21699589005035955
ACH-000037,-0.2954840328296457
ACH-000039,-0.21389511039019668
ACH-000040,-0.4413993702502562
ACH-000041,-0.2944168083338194
ACH-000042,-0.20653726815047008
ACH-000045,-0.334343618301584
ACH-000047,-0.1757816751320507
ACH-000052,-0.6571718301282592
ACH-000053,-0.2261179575132895
ACH-000054,-0.18969625576765325
ACH-000055,-0.19464387947850367
ACH-000060,-0.1936082707526468
ACH-000067,-0.4487271561663439
ACH-000070,-0.3011017972525458
ACH-000075,-0.2037465672493764
ACH-000078,-0.4681535924793173
ACH-000082,-0.19990594556582592
ACH-000085,-0.24465596132295955
ACH-000086,-0.3502571169941105
ACH-000087,-0.10947064163582296
ACH-000092,-0.2097572890782456
ACH-000095,-0.21985994065037545
ACH-000097,-0.39597948022076657
ACH-000098,-0.2922560278522348
ACH-000099,-0.260248821520662
ACH-000108,-0.2307854599589205
ACH-000113,-0.1312102025073235
ACH-000116,-0.3520494093458835
ACH-000118,-0.2706687782450409
ACH-000120,-0.21164379560230132
ACH-000123,-0.2218741660223646
ACH-000127,-0.3338549565717424
ACH-000128,-0.37993623781606817
ACH-000132,-0.2788761924304973
ACH-000133,-0.3443801142187019
ACH-000137,-0.4103924217419237
ACH-000138,-0.3453414770182281
ACH-000142,-0.3511280776415317
ACH-000143,-0.16311310598074893
ACH-000146,-0.2397960878705581
ACH-000148,-0.1452509636206602
ACH-000150,-0.22385516414224346
ACH-000152,-0.19886794994640555
ACH-000153,-0.2525129244692313
ACH-000159,-0.2440754981182844
ACH-000160,0.09081090873413797
ACH-000163,-0.20791721715909792
ACH-000167,0.06963648872506471
ACH-000168,-0.08552926335204608
ACH-000169,-0.25932624177641395
ACH-000178,-0.2615988098318906
ACH-000183,-0.3106640359586273
ACH-000188,-0.3076612988980771
ACH-000189,-0.27480484739300504
ACH-000190,0.08648807975209083
ACH-000198,-0.32817421072613595
ACH-000203,0.08449202344784545
ACH-000204,-0.167583958584296
ACH-000206,-0.4190849135445665
ACH-000207,-0.2484771077568351
ACH-000208,-0.4700993166395313
ACH-000210,0.10813428755307712
ACH-000211,-0.2994389387334955
ACH-000215,-0.3415751105366098
ACH-000221,-0.2295479826583757
ACH-000222,-0.2575269022519408
ACH-000223,-0.2933634942889465
ACH-000226,-0.15527501021967532
ACH-000227,-0.16522300021046193
ACH-000228,-0.17504887366977626
ACH-000231,-0.2769559680013322
ACH-000232,-0.2923268011646392
ACH-000233,-0.4832807430425961
ACH-000234,-0.4040829783401472
ACH-000235,-0.1775512317798261
ACH-000237,-0.2278785691547201
ACH-000238,-0.15171770945811516
