,CDC42BPG (55561)
ACH-000004,-0.08135274070640879
ACH-000005,-0.02111198273396177
ACH-000007,0.07112922830048081
ACH-000009,-0.03339254564247117
ACH-000011,-0.19914149339265366
ACH-000012,-0.19582959790302126
ACH-000013,-0.08166096296669463
ACH-000014,-0.07350505321406535
ACH-000015,-0.0787217626762703
ACH-000017,-0.0732925910315543
ACH-000018,-0.2471633883615897
ACH-000019,-0.1811967587135232
ACH-000021,-0.1358144942242991
ACH-000022,-0.21331395626293306
ACH-000025,-0.2090591853411907
ACH-000028,-0.15339305887088245
ACH-000030,-0.08548376882647314
ACH-000035,-0.15210883028302713
ACH-000036,-0.255312753799404
ACH-000037,-0.18402642221581653
ACH-000039,-0.3266642654340268
ACH-000040,-0.12328687309007785
ACH-000041,-0.04411614630808117
ACH-000042,-0.08937915740471498
ACH-000045,-0.0472305985810059
ACH-000047,0.03541823346778021
ACH-000052,-0.10177183746423638
ACH-000053,-0.16563145860273387
ACH-000054,0.015341497437219484
ACH-000055,-0.2046015067087912
ACH-000060,-0.14450326397505914
ACH-000067,-0.21115253965705866
ACH-000070,-0.36981446190328376
ACH-000075,-0.15064587512564795
ACH-000078,-0.0559776297213449
ACH-000082,-0.3132088974995715
ACH-000085,0.2980192674307901
ACH-000086,-0.3463452250387547
ACH-000087,-0.11485506597007746
ACH-000092,-0.2036445951749486
ACH-000095,-0.15052562625107888
ACH-000097,-0.0762388464095615
ACH-000098,-0.2418794066188835
ACH-000099,-0.06609781666574867
ACH-000108,-0.11889108437906028
ACH-000113,-0.13342628708119106
ACH-000116,-0.12472094772281565
ACH-000118,-0.24739803564754795
ACH-000120,-0.14727870418977432
ACH-000123,-0.2560777088745015
ACH-000127,-0.14202655312648724
ACH-000128,0.010941585036827685
ACH-000132,-0.11513826813486595
ACH-000133,-0.13150035606886062
ACH-000137,-0.1582625422417645
ACH-000138,-0.25160567116292165
ACH-000142,-0.2525536783502325
ACH-000143,-0.030487764061131486
ACH-000146,-0.07412799057441229
ACH-000148,-0.24697029667710585
ACH-000150,-0.2374317685355403
ACH-000152,-0.07764009092655932
ACH-000153,-0.5003348528943139
ACH-000159,0.07374864995317085
ACH-000160,-0.10102216020987632
ACH-000163,-0.18620529864533664
ACH-000167,-0.1544462488918993
ACH-000168,-0.06816985568348431
ACH-000169,-0.20109164560902806
ACH-000178,-0.17084938189822887
ACH-000183,-0.13742988539355633
ACH-000188,-0.3210735062701734
ACH-000189,-0.5365210980923636
ACH-000190,-0.04637074191250175
ACH-000198,-0.12436254000649714
ACH-000203,-0.34538736896129196
ACH-000204,-0.4041647991890336
ACH-000206,-0.19018141190265309
ACH-000207,-0.2523646144473712
ACH-000208,-0.1024418986531269
ACH-000210,0.08563357457208556
ACH-000211,-0.26600832454479034
ACH-000215,-0.10999393516893828
ACH-000221,-0.22631907796072895
ACH-000222,-0.15853706502142387
ACH-000223,-0.036253163106442485
ACH-000226,-0.3310346283919109
ACH-000227,-0.11635234610065308
ACH-000228,-0.07202973707736593
ACH-000231,-0.10295383313613833
ACH-000232,-0.05826204813885508
ACH-000233,-0.06412035793571427
ACH-000234,-0.08126042985436102
ACH-000235,-0.1166783503044876
ACH-000237,-0.11213174307627556
ACH-000238,-0.2441207834311718
ACH-000242,0.1522768376679923
ACH-000243,0.08328075871563917
ACH-000244,-0.1828468612235997
ACH-000246,-0.08172746499539063
ACH-000248,-0.1743800059272323
ACH-000250,-0.14882472881633466
ACH-000251,-0.030440790174126982
ACH-000252,-0.14537219513060576
ACH-000253,-0.1016563373312012
ACH-000255,-0.16203592754939472
ACH-000256,-0.11566065351476905
ACH-000257,0.008113094710501277
ACH-000258,-0.04509484792824701
ACH-000259,-0.18138482475929416
ACH-000260,-0.21258588004637205
ACH-000261,-0.2749785659559404
ACH-000262,-0.2971309424902992
ACH-000263,-0.17122147205672575
ACH-000264,-0.1866461646872684
ACH-000265,-0.06332826439872898
ACH-000266,-0.09366509816284102
ACH-000272,-0.1192037450170666
ACH-000274,-0.07136595533371565
ACH-000277,0.013480649857725277
ACH-000278,-0.13169489241070506
ACH-000279,-0.11034176030181972
ACH-000280,-0.134780341542619
ACH-000281,0.010010891700223368
ACH-000288,-0.28586224444298103
ACH-000291,-0.13321193186225047
ACH-000293,-0.09999655750574797
ACH-000294,-0.16085895421572044
ACH-000295,-0.1600354071931694
ACH-000296,0.05591137304486475
ACH-000302,-0.10655350534206257
ACH-000304,-0.04843083737684537
ACH-000307,-0.013347095726531885
ACH-000308,-0.305824409342563
ACH-000310,-0.10439475367082132
ACH-000311,-0.11382968650227893
ACH-000312,-0.09646565276749608
ACH-000315,-0.20380615351305792
ACH-000316,-0.20237421556109608
ACH-000317,-0.20692492567621626
ACH-000318,-0.44154010495640783
ACH-000319,-0.0986860755710194
ACH-000320,-0.077691633677078
ACH-000322,-0.18527496760408305
ACH-000323,-0.14478021023560073
ACH-000324,-0.13628964130314167
ACH-000329,-0.027527478265441004
ACH-000330,-0.29738037927566363
ACH-000331,-0.007578680913910723
ACH-000332,-0.18627407893673134
ACH-000334,-0.142362006490849
ACH-000335,-0.032667431653788825
ACH-000336,0.0494320132471387
ACH-000337,-0.1995874239028186
ACH-000338,-0.21248624545607386
ACH-000339,-0.033251844865432784
ACH-000341,-0.2214218286385155
ACH-000348,0.0022841843167237213
ACH-000350,-0.040353761706866685
ACH-000352,0.011161405137996577
ACH-000356,-0.13277180389326165
ACH-000361,-0.3633668050783202
ACH-000362,-0.10744855417242703
ACH-000363,-0.10815146159406633
ACH-000364,-0.3018962280084509
ACH-000365,-0.2400718187181816
ACH-000366,-0.2747781941342981
ACH-000368,-0.10070792596326736
ACH-000374,-0.29811819040843496
ACH-000375,-0.1707839567484272
ACH-000376,-0.20544375457050715
ACH-000381,-0.17762199651976024
ACH-000383,-0.14571407623712615
ACH-000387,-0.10548267763199674
ACH-000389,-0.0921417852402711
ACH-000390,-0.14200305085137885
ACH-000393,-0.3668512250823463
ACH-000395,-0.06547054446049701
ACH-000396,-0.3514243098032616
ACH-000397,-0.13813704924052114
ACH-000401,-0.06425898794991429
ACH-000402,0.047887487868634816
ACH-000403,0.02495146158202175
ACH-000404,-0.10650634473396403
ACH-000406,-0.16795694373674008
ACH-000407,-0.2062514208108704
ACH-000408,-0.3009445408785754
ACH-000410,-0.07757417263989692
ACH-000411,0.0464684862089552
ACH-000414,-0.11155953952795618
ACH-000415,-0.2460010648909211
ACH-000416,-0.04646481708528833
ACH-000420,-0.1295905347376019
ACH-000421,-0.16507682911414714
ACH-000424,0.002923447306686762
ACH-000425,0.04362610247030918
ACH-000426,-0.22054914768728376
ACH-000427,-0.11185844058686978
ACH-000433,-0.34568441067518274
ACH-000435,-0.3770079932141513
ACH-000436,-0.4008900106520626
ACH-000444,-0.03980497006257857
ACH-000445,0.11984217754224975
ACH-000448,-0.08006111183295593
ACH-000450,-0.04098602984711376
ACH-000452,-0.2152623995488384
ACH-000454,-0.06883093428399432
ACH-000458,-0.05649479354637772
ACH-000459,0.004384365827502289
ACH-000460,-0.02326158470229052
ACH-000461,-0.27678925922659675
ACH-000463,-0.16526935360632328
ACH-000464,0.021184631309678004
ACH-000466,-0.16701606460325494
ACH-000467,-0.021758454675186525
ACH-000468,-0.26846342861445976
ACH-000469,-0.16828891648154526
ACH-000470,-0.06084761912469771
ACH-000471,-0.1235714322411448
ACH-000472,-0.15164015928277955
ACH-000473,-0.04065575929820303
ACH-000475,-0.189445500998184
ACH-000476,-0.2353595804982121
ACH-000477,-0.20865045515583489
ACH-000479,-0.11974154480065005
ACH-000480,-0.20570474779089806
ACH-000481,-0.09460768768847808
ACH-000483,-0.28203543055808544
ACH-000484,-0.1965202684064976
ACH-000485,-0.11695399377114367
ACH-000486,-0.15916442380821486
ACH-000487,-0.12548420309596325
ACH-000488,-0.09567562976117168
ACH-000490,0.05152192969656559
ACH-000491,-0.05076640565190309
ACH-000495,-0.01263698141774061
ACH-000496,-0.17748017356852358
ACH-000499,-0.07498058573849159
ACH-000500,-0.06836772394505275
ACH-000502,-0.08281458038374258
ACH-000503,-0.09729659199880006
ACH-000505,-0.273505444000635
ACH-000507,0.03254888333417513
ACH-000510,-0.08600844270999214
ACH-000511,-0.16987818540124447
ACH-000512,0.09240768682620024
ACH-000516,-0.02126508385525891
ACH-000517,-0.16982760616463713
ACH-000518,-0.0998639331718022
