,MTCH1 (23787)
ACH-000004,-0.3142532301419119
ACH-000005,-0.3984081462228352
ACH-000007,-0.3015236532161955
ACH-000009,-0.09429912073200217
ACH-000011,-0.13130450922505565
ACH-000012,-0.1172795925262435
ACH-000013,-0.18795341036002508
ACH-000014,-0.14564795743494666
ACH-000015,0.03358233131855242
ACH-000017,-0.09350549206242613
ACH-000018,-0.06546129396513495
ACH-000019,-0.3183792550617696
ACH-000021,-0.07459917900309086
ACH-000022,-0.05943083803861356
ACH-000025,-0.0935415173623153
ACH-000028,-0.1457505933640419
ACH-000030,-0.22469468820931374
ACH-000035,-0.12198256598374002
ACH-000036,-0.04910730282649939
ACH-000037,-0.15179065718359008
ACH-000039,-0.2197766831143076
ACH-000040,-0.12802548977089184
ACH-000041,-0.19571295407381
ACH-000042,-0.1430692988289379
ACH-000045,-0.2220284165403536
ACH-000047,-0.14504536155340195
ACH-000052,0.12762759592411246
ACH-000053,-0.1454678921865893
ACH-000054,-0.11194387920927104
ACH-000055,0.030494733638318536
ACH-000060,-0.22387273658940346
ACH-000067,-0.2486302107663004
ACH-000070,-0.2478143095340441
ACH-000075,-0.24783164321758155
ACH-000078,-0.010440645611015204
ACH-000082,-0.0961540072046573
ACH-000085,-0.227630904072609
ACH-000086,-0.14449411123351996
ACH-000087,-0.051688336186938924
ACH-000092,-0.16781009743044284
ACH-000095,-0.29618720733610954
ACH-000097,-0.14340304905662327
ACH-000098,-0.16381170016862834
ACH-000099,-0.12596700496381535
ACH-000108,-0.039584387405534834
ACH-000113,-0.17750509625518304
ACH-000116,-0.057842349299419685
ACH-000118,-0.18248679025829628
ACH-000120,-0.10690973068336193
ACH-000123,-0.026676599834543846
ACH-000127,-0.1684312132793785
ACH-000128,-0.4098968455586639
ACH-000132,-0.1971593881011325
ACH-000133,-0.1803514604076148
ACH-000137,-0.27243099639150903
ACH-000138,-0.10486686061601087
ACH-000142,-0.07937498878837856
ACH-000143,-0.1072603235748672
ACH-000146,-0.1573384544999849
ACH-000148,-0.003186617971199659
ACH-000150,0.13109582818525942
ACH-000152,-0.2478075782520157
ACH-000153,-0.34182151376179354
ACH-000159,-0.06847918131356143
ACH-000160,-0.1485813947277359
ACH-000163,0.055137966956864064
ACH-000167,-0.2358830025501717
ACH-000168,-0.24133125538720224
ACH-000169,-0.028877411072160027
ACH-000178,-0.08501754006081906
ACH-000183,-0.11110488536019676
ACH-000188,-0.14797264817849148
ACH-000189,0.013182985672534809
ACH-000190,-0.043560490051400766
ACH-000198,-0.02327245765480865
ACH-000203,-0.36752153791861136
ACH-000204,-0.3892629355963953
ACH-000206,-0.3396902661913874
ACH-000207,-0.311506474717244
ACH-000208,-0.018998254906216587
ACH-000210,0.024610590250247758
ACH-000211,-0.16485470735398947
ACH-000215,-0.1393070294594448
ACH-000221,0.08617134617336661
ACH-000222,0.0832221895774413
ACH-000223,-0.3922751344985271
ACH-000226,-0.1976893662884889
ACH-000227,-0.23087173776706466
ACH-000228,-0.180971063026084
ACH-000231,-0.15509327353493998
