,F11 (2160)
ACH-000004,-0.012821165371516986
ACH-000005,-0.07060800728015702
ACH-000007,-0.018446558373711237
ACH-000009,-0.060452277632948026
ACH-000011,-0.006619787908647143
ACH-000012,-0.01157002245860905
ACH-000013,0.0227383355426343
ACH-000014,-0.049240849360387216
ACH-000015,-0.09591270978796164
ACH-000017,0.0580905392668649
ACH-000018,-0.11328549752146873
ACH-000019,-0.04501657150711205
ACH-000021,-0.13010181369163673
ACH-000022,-0.03857787790730824
ACH-000025,-0.04445593211256404
ACH-000028,0.07046274004044738
ACH-000030,-0.008049687579707056
ACH-000035,0.04752451272721437
ACH-000036,-0.18918493125552335
ACH-000037,0.09768378950584916
ACH-000039,-0.05537035294574444
ACH-000040,-0.03159031778434381
ACH-000041,-0.06095363268320887
ACH-000042,-0.12353908088984407
ACH-000045,0.06583616677519613
ACH-000047,-0.060658959203026
ACH-000052,-0.02710423354868147
ACH-000053,-0.09210435597748348
ACH-000054,-0.040437119394539714
ACH-000055,-0.08106858807409748
ACH-000060,-0.05334991692383603
ACH-000067,0.015497483427984385
ACH-000070,-0.054683287530986495
ACH-000075,-0.17013041067260576
ACH-000078,-0.13296590810523287
ACH-000082,0.0025841841648607
ACH-000085,-0.006189916963396032
ACH-000086,0.08146671312811161
ACH-000087,0.08545394984904409
ACH-000092,-0.04982236848663498
ACH-000095,-0.0857458660775361
ACH-000097,-0.0233382270470924
ACH-000098,-0.048936856572260684
ACH-000099,-0.10619494203284556
ACH-000108,-0.04915672831206325
ACH-000113,-0.09835599647927601
ACH-000116,-0.004391930883907531
ACH-000118,0.03666017780446799
ACH-000120,0.04834284393531401
ACH-000123,0.01413706063175026
ACH-000127,0.02239686343090088
ACH-000128,-0.07179067771074357
ACH-000132,-0.00949432643564975
ACH-000133,0.10488243684436327
ACH-000137,0.043510444988030667
ACH-000138,0.026432294325732898
ACH-000142,-0.0906208956867455
ACH-000143,-0.05875116812025207
ACH-000146,-0.12599628421578754
ACH-000148,0.04078487936738793
ACH-000150,-0.22722879491578776
ACH-000152,-0.10298050675389976
ACH-000153,0.11978827818226825
ACH-000159,-0.021719257650014864
ACH-000160,0.027853849949422457
ACH-000163,0.04045348193076993
ACH-000167,-0.014894668704634906
ACH-000168,-0.006145254244962597
ACH-000169,-0.02631479132438416
ACH-000178,-0.06171623108922372
ACH-000183,0.041770067744817535
ACH-000188,-0.12766127283277529
ACH-000189,-0.1758233118497881
ACH-000190,0.07017354067232423
ACH-000198,-0.10128641245726733
ACH-000203,-0.21384852637477966
ACH-000204,0.21432536510188552
ACH-000206,-0.219035979725364
ACH-000207,-0.1437224500484776
ACH-000208,0.012169064716514806
ACH-000210,0.01981073994802527
ACH-000211,-0.051358960660377914
ACH-000215,-0.06737260431359172
ACH-000221,0.00026380263963659504
ACH-000222,-0.12067093628984395
ACH-000223,-0.0988866663830922
ACH-000226,0.01261439315326307
ACH-000227,-0.08203184860567607
ACH-000228,0.02247542651085004
ACH-000231,-0.07109945935157055
ACH-000232,-0.10359453574852756
ACH-000233,-0.1754321083195838
ACH-000234,-0.06160041511007156
ACH-000235,-0.048222839014657765
ACH-000237,-0.0868510709702694
ACH-000238,-0.05438134354880105
ACH-000242,-0.09007226764094864
ACH-000243,-0.012786739240832252
ACH-000244,-0.17500985134600325
ACH-000246,0.012765491963310907
ACH-000248,0.024811745290835567
ACH-000250,-0.11222430138035026
ACH-000251,-0.1430431932178407
ACH-000252,0.1561648878743997
ACH-000253,-0.036005246617180735
ACH-000255,0.04932767860733145
ACH-000256,-0.03634000120077218
ACH-000257,-0.04345517032384803
ACH-000258,0.10705081546229707
ACH-000259,-0.01361688058709754
ACH-000260,-0.059108266042677236
ACH-000261,-0.0011197347761865855
ACH-000262,0.06172333070159604
ACH-000263,0.035308274863117106
ACH-000264,0.013969780859907207
ACH-000265,-0.015946678084225098
ACH-000266,-0.04564678951715746
ACH-000272,-0.10251348927984733
ACH-000274,-0.06063649445963245
ACH-000277,0.0119112872696671
ACH-000278,-0.03816149979911573
ACH-000279,-0.04588758836840261
ACH-000280,0.01993017347093015
ACH-000281,-0.03431472964709776
ACH-000288,-0.07175909848408607
ACH-000291,0.010335877428547049
ACH-000293,0.08339117429664522
ACH-000294,-0.05079247141680667
ACH-000295,-0.28479412893261324
ACH-000296,-0.046059168790656926
ACH-000302,-0.1471994989300451
ACH-000304,0.21676065979193387
ACH-000307,-0.09408689791724513
ACH-000308,-0.09894294109854904
ACH-000310,-0.3118749638861382
ACH-000311,-0.019860123417963768
ACH-000312,-0.07415590646714977
ACH-000315,-0.1502789155874069
ACH-000316,-0.054759919719384965
ACH-000317,0.045897051859237946
ACH-000318,0.038330711382252365
ACH-000319,-0.06535222390448463
ACH-000320,0.021246179824874936
ACH-000322,-0.057194005115991486
ACH-000323,-0.03483127748356172
ACH-000324,-0.010951449034925472
ACH-000329,-0.05455496586188339
ACH-000330,-0.03876110504152182
ACH-000331,0.03801818072725345
ACH-000332,0.035275157395370564
ACH-000334,0.04498825671994917
ACH-000335,-0.053838026316937064
ACH-000336,-0.11211890588395733
ACH-000337,-0.17349481751804016
ACH-000338,-0.19018053779142088
ACH-000339,-0.08002627890969141
ACH-000341,-0.08749714669149156
ACH-000348,-0.041375384668176335
ACH-000350,-0.045672217093959216
ACH-000352,-0.008552327438147489
ACH-000356,0.10410713934379527
ACH-000361,-0.052686950580616974
ACH-000362,-0.12119944605926783
