,POT1 (25913)
ACH-000004,-0.8343497526585782
ACH-000005,-0.8733586174843092
ACH-000007,-0.5325025678165516
ACH-000009,-0.4904526133939562
ACH-000011,-0.645347615535214
ACH-000012,-0.6585084960073573
ACH-000013,-0.0918202040134718
ACH-000014,-0.4803213100858281
ACH-000015,-0.1807610377817114
ACH-000017,-0.17693203991271145
ACH-000018,-0.5045653305892802
ACH-000019,-0.03420822425970713
ACH-000021,-0.24772343275004385
ACH-000022,-0.4618336347555606
ACH-000025,-0.3868167678798683
ACH-000028,-0.31743474939644994
ACH-000030,-0.18063331753454934
ACH-000035,-0.641950366660203
ACH-000036,-0.4224816060042919
ACH-000037,-0.5010660646671434
ACH-000039,-0.4119781070113535
ACH-000040,-0.6008817748784642
ACH-000041,-0.383414335322978
ACH-000042,-0.5887877084529138
ACH-000045,-0.4870137744034613
ACH-000047,-0.13082160009598354
ACH-000052,-0.4490453720886031
ACH-000053,-0.3567127640163835
ACH-000054,-0.59767836964441
ACH-000055,-0.27041300249080785
ACH-000060,-0.6668441157193677
ACH-000067,-0.7222310905165884
ACH-000070,-0.6890099032446271
ACH-000075,-0.7934881597382114
ACH-000078,-0.5532433373302351
ACH-000082,-0.6754992196327954
ACH-000085,-0.608132719650528
ACH-000086,-0.4988511789142593
ACH-000087,-0.7581531865343426
ACH-000092,-0.30614359103263206
ACH-000095,-0.6629752971818549
ACH-000097,-0.5926954678494851
ACH-000098,-0.4574282818408823
ACH-000099,-0.7764471657179856
ACH-000108,-0.5837589668540378
ACH-000113,-0.3608192848554032
ACH-000116,-0.3486350926465361
ACH-000118,-0.4680532283222069
ACH-000120,-0.7874681599697522
ACH-000123,-0.5691134050367803
ACH-000127,-0.3917696517428802
ACH-000128,-0.3168351983818878
ACH-000132,-0.3221134035315629
ACH-000133,-0.4582983400576038
ACH-000137,-0.4223628556159634
ACH-000138,-0.4258997177574601
ACH-000142,-0.28321610981184697
ACH-000143,-0.5933782880291497
ACH-000146,-0.6928491220329484
ACH-000148,-0.7251211627623012
ACH-000150,-0.5752864905288294
ACH-000152,-0.3979333987379093
ACH-000153,-0.2715574098508878
ACH-000159,-0.6434429307974392
ACH-000160,-0.3683724377405215
ACH-000163,-0.4382134754835251
ACH-000167,0.029629963008745094
ACH-000168,-0.7861478272984369
ACH-000169,-0.6255938261640566
ACH-000178,-0.629753543398997
ACH-000183,-0.7959277882215614
ACH-000188,-0.4941052811801968
ACH-000189,-0.6932550777498553
ACH-000190,-0.506375341444637
ACH-000198,-0.4210628844428827
ACH-000203,-0.3463196717948683
ACH-000204,-0.5051611686505459
ACH-000206,-0.4094252523659901
ACH-000207,-0.44463157086286414
