,EFR3B (22979)
ACH-000004,-0.17679685652707125
ACH-000005,-0.4837793750598497
ACH-000007,-0.054849766478226016
ACH-000009,-0.06622806357844344
ACH-000011,-0.02120339229851564
ACH-000012,-0.02611861383642672
ACH-000013,-0.2273462578148469
ACH-000014,-0.1923013107920064
ACH-000015,-0.2630765542507948
ACH-000017,-0.009163945007370744
ACH-000018,-0.007497514170235441
ACH-000019,-0.17608031092570448
ACH-000021,-0.20098934364550708
ACH-000022,-0.2433487783170861
ACH-000025,-0.11020789524038886
ACH-000028,-0.09894199136675624
ACH-000030,-0.13349517421827234
ACH-000035,-0.22294114638471416
ACH-000036,-0.21246219928597576
ACH-000037,-0.12997182245611444
ACH-000039,-0.05016814857905686
ACH-000040,-0.2798360094266409
ACH-000041,-0.388855865013656
ACH-000042,-0.19971817542638634
ACH-000045,0.051047727225500106
ACH-000047,-0.3065180971124011
ACH-000052,-0.38906887265162654
ACH-000053,-0.12616562618552987
ACH-000054,-0.13900305090682974
ACH-000055,0.04643266493538844
ACH-000060,-0.1550232601774707
ACH-000067,-0.04616311202073018
ACH-000070,-0.2737113505514521
ACH-000075,0.05443442014801714
ACH-000078,-0.13037013120766086
ACH-000082,0.04433539916279342
ACH-000085,-0.21792011520015667
ACH-000086,-0.2152991056737221
ACH-000087,-0.10223451354109968
ACH-000092,-0.3749347564839348
ACH-000095,-0.24855354302754384
ACH-000097,-0.2360495922619033
ACH-000098,-0.12297499851857395
ACH-000099,-0.3062707313259295
ACH-000108,-0.30128215062432684
ACH-000113,-0.1941263351950585
ACH-000116,-0.2434373706104087
ACH-000118,-0.1361270099295437
ACH-000120,-0.2560794767759462
ACH-000123,-0.14663573583880535
ACH-000127,-0.20397560234584053
ACH-000128,-0.2645626633679231
ACH-000132,-0.21622586268235888
ACH-000133,-0.3677241658922319
ACH-000137,-0.20946813973181425
ACH-000138,-0.0730478870976399
ACH-000142,-0.17830431263578167
ACH-000143,-0.16559825857416274
ACH-000146,-0.12691310894244942
ACH-000148,-0.19941469950683546
ACH-000150,-0.12917388881413824
ACH-000152,-0.020456528115267568
