,KLC2 (64837)
ACH-000004,-0.7079012476671036
ACH-000005,-0.7930686424602414
ACH-000007,-0.6715291907427569
ACH-000009,-0.4739163012709004
ACH-000011,-0.3524214974864994
ACH-000012,-0.7348409008865008
ACH-000013,-0.6328714536261137
ACH-000014,-0.3170244419616613
ACH-000015,-0.5566523235290243
ACH-000017,-0.5733856754429097
ACH-000018,-0.5674597519408787
ACH-000019,-0.4442101925812221
ACH-000021,-0.6966134632172424
ACH-000022,-0.5755444518988316
ACH-000025,-0.6579093270460709
ACH-000028,-0.5977752150703063
ACH-000030,-0.6167275716166922
ACH-000035,-0.5284961336212449
ACH-000036,-0.6176506440158223
ACH-000037,-0.8480250011177111
ACH-000039,-0.6142952392143086
ACH-000040,-0.6019843393442219
ACH-000041,-0.6230304204563313
ACH-000042,-0.7401097844722969
ACH-000045,-0.540169715518633
ACH-000047,-0.6728150569655699
ACH-000052,-0.7065472246871435
ACH-000053,-0.6822701755476555
ACH-000054,-0.6225435086910212
ACH-000055,-0.6055935232766542
ACH-000060,-0.5389701623642257
ACH-000067,-0.4976429631083357
ACH-000070,-0.5375082831372521
ACH-000075,-0.8183783296162415
ACH-000078,-0.739114393638473
ACH-000082,-0.6950480433668477
ACH-000085,-0.8291998404660517
ACH-000086,-0.7198794835846061
ACH-000087,-0.5454284060421463
ACH-000092,-0.6347500759232751
ACH-000095,-0.676042836502604
ACH-000097,-0.7828828498541808
ACH-000098,-0.533978552363224
ACH-000099,-0.5562159199276335
ACH-000108,-0.5362077908825668
ACH-000113,-0.671935054824268
ACH-000116,-0.7177939163807845
ACH-000118,-0.6549411250077977
ACH-000120,-0.5519798025584092
ACH-000123,-0.4795640764963762
ACH-000127,-0.5495242689732575
ACH-000128,-0.35341386892360993
ACH-000132,-0.7841588497552542
ACH-000133,-0.6275355130739612
ACH-000137,-0.6243931079890572
ACH-000138,-0.6338993975013845
ACH-000142,-0.6964639827224521
ACH-000143,-0.4784268040091423
ACH-000146,-0.5723986541565974
ACH-000148,-0.6195465088903013
ACH-000150,-0.6914956773770836
ACH-000152,-0.6234658344141238
ACH-000153,-0.6983509003848312
ACH-000159,-0.5656800702736015
ACH-000160,-0.90546225374379
ACH-000163,-0.5520663235007692
ACH-000167,-1.1280598467601861
ACH-000168,-0.5700345505292093
ACH-000169,-0.6151568778185034
ACH-000178,-0.6446756147633211
ACH-000183,-0.6409759139623209
ACH-000188,-0.7384177115353777
ACH-000189,-0.6985594557072918
ACH-000190,-0.6257413177284947
ACH-000198,-0.5704300136252064
ACH-000203,-1.1765939792701954
ACH-000204,-0.3346240666377577
ACH-000206,-0.3963044593331964
ACH-000207,-0.8683979478246422
ACH-000208,-0.8278040225525091
ACH-000210,-0.4933553578549287
ACH-000211,-0.7283431739035015
ACH-000215,-0.5325635484208505
ACH-000221,-0.7558871792375492
ACH-000222,-0.4634347721608455
ACH-000223,-0.6438703202068397
