,ZPR1 (8882)
ACH-000004,-1.2909125408056277
ACH-000005,-1.1810814088964314
ACH-000007,-1.127871383412676
ACH-000009,-1.1273486222935254
ACH-000011,-1.1808734831523269
ACH-000012,-1.099201744258535
ACH-000013,-1.2919749365204978
ACH-000014,-1.3216261753555532
ACH-000015,-1.2684958530662858
ACH-000017,-1.0513851401476169
ACH-000018,-1.367685430772238
ACH-000019,-0.8248109710043848
ACH-000021,-1.034709481776947
ACH-000022,-1.1769957737368506
ACH-000025,-1.2725684619287352
ACH-000028,-1.1952332004457462
ACH-000030,-1.4464016732230072
ACH-000035,-1.1516575695558495
ACH-000036,-1.250588284226635
ACH-000037,-0.5461421267943217
ACH-000039,-1.3461879002472872
ACH-000040,-0.9798798752054816
ACH-000041,-1.278632605414575
ACH-000042,-1.2034317969752129
ACH-000045,-1.334013122170281
ACH-000047,-1.2413068977706472
ACH-000052,-1.1030268837107546
ACH-000053,-1.3304377355073271
ACH-000054,-1.2583670979977086
ACH-000055,-1.3134841373541573
ACH-000060,-1.0147695916537394
ACH-000067,-1.0926721123897802
ACH-000070,-1.3162480637777174
ACH-000075,-1.4402711231021232
ACH-000078,-1.272699469132108
ACH-000082,-1.2102958706921343
ACH-000085,-1.353353838572038
ACH-000086,-1.2064590014101315
ACH-000087,-1.0433980925968638
ACH-000092,-1.1833091654773389
ACH-000095,-1.1902263603522427
ACH-000097,-1.1640862621744326
ACH-000098,-1.141877722513558
ACH-000099,-1.3763204841280814
ACH-000108,-1.180614249232997
ACH-000113,-1.1994122051537262
ACH-000116,-1.3793457928869566
ACH-000118,-1.4579449791376562
ACH-000120,-1.079339532467025
ACH-000123,-1.2110319075774734
ACH-000127,-1.0349174083745247
ACH-000128,-1.2788718300984523
ACH-000132,-1.1794536145042047
ACH-000133,-1.1462461416966625
ACH-000137,-1.5759723323264665
ACH-000138,-1.197251835435495
ACH-000142,-1.1307604399835198
ACH-000143,-1.4270223362796728
ACH-000146,-1.1604679154871569
ACH-000148,-1.2435445563605854
ACH-000150,-1.228127104106068
ACH-000152,-1.2558452222066414
ACH-000153,-1.4236907375615373
ACH-000159,-0.9899993798006802
ACH-000160,-1.39145901375956
ACH-000163,-1.2795631935844676
ACH-000167,-1.7896868329404882
ACH-000168,-1.1782827317241336
ACH-000169,-1.3010765249565457
ACH-000178,-1.0775734298486086
ACH-000183,-1.3538209785324151
ACH-000188,-1.3022137936364808
ACH-000189,-1.1793306345460768
ACH-000190,-1.329118022127015
ACH-000198,-1.2293587535300434
ACH-000203,-1.0368898445026276
ACH-000204,-1.1267493834248732
ACH-000206,-0.9737664429769396
ACH-000207,-1.1370149977888195
ACH-000208,-1.1272551462784999
ACH-000210,-1.39233097053747
ACH-000211,-1.2771085853254127
ACH-000215,-1.0503492844673163
ACH-000221,-0.9854347991815255
ACH-000222,-1.2141826307262276
ACH-000223,-0.8267412665191699
ACH-000226,-1.0576441026531964
ACH-000227,-1.0809820958571938
ACH-000228,-1.3191919495573992
ACH-000231,-1.2175213487559629
ACH-000232,-1.09914601871771
ACH-000233,-1.3012975217318
ACH-000234,-1.31154490339701
ACH-000235,-1.1603686949165908
ACH-000237,-1.2225660346015157
ACH-000238,-1.3766192420571337
ACH-000242,-0.8899455643967049
ACH-000243,-1.306169113624866
ACH-000244,-1.0295027494027678
ACH-000246,-1.1004523350629158
ACH-000248,-1.284774302432426
ACH-000250,-1.1858884255665934
ACH-000251,-0.9549182335448886
ACH-000252,-1.266711212852017
ACH-000253,-1.1924804763244998
