,PLEC (5339)
ACH-000004,0.034639776481640114
ACH-000005,-0.18172837867374314
ACH-000007,-0.20727728549561367
ACH-000009,-0.1365636561193124
ACH-000011,-0.14103705091385646
ACH-000012,-0.5276383424892229
ACH-000013,-0.2558841465423054
ACH-000014,-0.10687451273782904
ACH-000015,-0.1732675890034202
ACH-000017,-0.3956348975945271
ACH-000018,-0.02667075254928695
ACH-000019,-0.2598683422661498
ACH-000021,-0.29861762324238644
ACH-000022,-0.30522591651624065
ACH-000025,-0.333437566563525
ACH-000028,-0.25760473454737065
ACH-000030,-0.12180161883499452
ACH-000035,-0.0026576599223349017
ACH-000036,-0.324295252951133
ACH-000037,-0.4063541683416901
ACH-000039,-0.1764670072864898
ACH-000040,-0.24073771232339436
ACH-000041,-0.22844209725152756
ACH-000042,-0.33941209260042393
ACH-000045,-0.16093064387158346
ACH-000047,-0.1474048276777086
ACH-000052,0.10820722349621947
ACH-000053,-0.16821538446645534
ACH-000054,-0.11758151964229815
ACH-000055,-0.09871015397045288
ACH-000060,-0.22908473622131864
ACH-000067,-0.15964318103178105
ACH-000070,-0.023051971823218963
ACH-000075,0.06686113564070766
ACH-000078,-0.235183679772349
ACH-000082,-0.38857265894234577
ACH-000085,-0.31704036740747665
ACH-000086,-0.24057134430155105
ACH-000087,-0.3591435293920891
ACH-000092,-0.2576424317066081
ACH-000095,-0.029138090136022195
ACH-000097,-0.2925747203134555
ACH-000098,-0.2559792745537444
ACH-000099,-0.19360358463683955
ACH-000108,-0.3091384688999864
ACH-000113,-0.14020195819061784
ACH-000116,-0.16329477046672589
ACH-000118,-0.4041458400070493
ACH-000120,-0.1075482960875699
ACH-000123,-0.1391417932340843
ACH-000127,-0.10650271238263932
ACH-000128,-0.2813774635466981
ACH-000132,-0.22639043652990276
ACH-000133,-0.1882749620462636
ACH-000137,-0.09385341849698642
ACH-000138,-0.09741596411506703
ACH-000142,-0.3207935409309606
ACH-000143,-0.16236364040308546
ACH-000146,-0.19294384182065294
ACH-000148,-0.34348978417248416
ACH-000150,-0.6935750036835971
ACH-000152,-0.20938338260263664
ACH-000153,-0.2894146452075
ACH-000159,-0.15997033334914273
ACH-000160,-0.07953445317642206
ACH-000163,-0.3574125416589538
ACH-000167,-0.5915488351457889
ACH-000168,-0.1766125864985087
ACH-000169,-0.16961900756459616
ACH-000178,-0.26740097465777546
ACH-000183,-0.1445162300731735
ACH-000188,-0.15960843271031264
ACH-000189,-0.4465223032173573
ACH-000190,-0.10391474860832953
ACH-000198,-0.14788250405083672
ACH-000203,-0.5438381190340013
ACH-000204,-0.08374804982508934
ACH-000206,-0.10564126048965727
ACH-000207,-0.4087351631777752
ACH-000208,-0.033792871190289564
ACH-000210,-0.4173274294223344
ACH-000211,-0.1311803002146411
ACH-000215,-0.29396696748118256
ACH-000221,-0.0336773345049152
ACH-000222,-0.3150496143577011
ACH-000223,-0.2724210243964271
ACH-000226,-0.09420649390270547
ACH-000227,-0.12972177204828386
ACH-000228,-0.07179680484391651
ACH-000231,-0.12936172659365908
ACH-000232,-0.3057687629987228
ACH-000233,-0.06405525536358267
ACH-000234,-0.15879334166083942
ACH-000235,-0.3121229840802865
ACH-000237,-0.16790680463946253
ACH-000238,-0.27459793739163163
ACH-000242,-0.498089961351643
ACH-000243,-0.3285900745526713
ACH-000244,-0.1736178596853876
ACH-000246,-0.14750981117135747
ACH-000248,-0.3535918709866933
ACH-000250,-0.4040202076414025
ACH-000251,-0.16681215833744972
ACH-000252,-0.3553036305507262
ACH-000253,-0.16352854376986098
ACH-000255,-0.2238726291455706
ACH-000256,-0.3642114318389028
ACH-000257,-0.3976818810783297
ACH-000258,-0.18216181434774986
ACH-000259,-0.13656281920604713
ACH-000260,-0.2590878053533465
ACH-000261,-0.26945638045335263
ACH-000262,-0.2817060301409319
ACH-000263,-0.13085874437537162
ACH-000264,-0.16349171977946853
ACH-000265,-0.2558508865759659
ACH-000266,-0.21022812893429088
ACH-000272,-0.14832785610231072
ACH-000274,-0.19545105943697394
ACH-000277,-0.3688415075510977
ACH-000278,-0.2147135764236789
ACH-000279,-0.3821002140362131
ACH-000280,-0.4678274393569519
ACH-000281,-0.0139112489045751
ACH-000288,0.03521864902541662
ACH-000291,-0.4156118475251129
ACH-000293,-0.07650018767834076
ACH-000294,-0.1943384352645208
ACH-000295,-0.22904678080084626
ACH-000296,0.015570407464656
ACH-000302,-0.10250467720629723
