,SULT1A1 (6817)
ACH-000004,-0.11192669922318817
ACH-000005,-0.3091775792188278
ACH-000007,-0.5456863005498673
ACH-000009,-0.059757830338120564
ACH-000011,-0.01752052227321927
ACH-000012,-0.21870482353574672
ACH-000013,-0.204831990336422
ACH-000014,0.019819646135126462
ACH-000015,-0.02467302008122796
ACH-000017,-0.011488161430317551
ACH-000018,-0.12450705646372814
ACH-000019,0.04576723937171322
ACH-000021,-0.1647982921750086
ACH-000022,-0.1038293774042628
ACH-000025,-0.0965990245194914
ACH-000028,-0.13321605134038367
ACH-000030,0.08364910629339617
ACH-000035,-0.09688819894880886
ACH-000036,-0.16566007025207294
ACH-000037,-0.23613821714334216
ACH-000039,-0.12148078164688395
ACH-000040,-0.1390238836681336
ACH-000041,0.04206348544832368
ACH-000042,-0.059959868960899415
ACH-000045,-0.2869811134250689
ACH-000047,-0.09123988294843527
ACH-000052,-0.02799072163553931
ACH-000053,-0.0936429754833462
ACH-000054,-0.11495891298674073
ACH-000055,-0.3635707030922117
ACH-000060,0.12390340512527392
ACH-000067,-0.052195590570041216
ACH-000070,0.015454462301436303
ACH-000075,-0.016804015822909763
ACH-000078,-0.194258778855444
ACH-000082,-0.16807209490053035
ACH-000085,0.013128499318951737
ACH-000086,-0.07616326961246675
ACH-000087,0.10003084916328604
ACH-000092,-0.19239366762023208
ACH-000095,-0.08816946901125301
ACH-000097,-0.2204388617386412
ACH-000098,-0.24176053894285998
ACH-000099,-0.2518929023908562
ACH-000108,0.032867333013244154
ACH-000113,-0.06346827337514482
ACH-000116,-0.06479661721182528
ACH-000118,-0.049468378234507435
ACH-000120,-0.053052048418792866
ACH-000123,-0.12019607265915408
ACH-000127,-0.2720025601484253
ACH-000128,-0.18783934080282852
ACH-000132,-0.1296663064223281
ACH-000133,-0.0982105165290041
ACH-000137,-0.23009507693234124
ACH-000138,0.04982935852631034
ACH-000142,-0.3565935760173912
ACH-000143,0.04166613619177885
ACH-000146,-0.23264293745533254
ACH-000148,-0.2521836645634596
ACH-000150,-0.005399945029528009
ACH-000152,-0.1907650113773384
ACH-000153,0.2299599700472552
ACH-000159,-0.1599270960578872
ACH-000160,-0.09913969129102268
ACH-000163,-0.15744353300466318
ACH-000167,0.13201585636553878
ACH-000168,-0.2142172015314046
ACH-000169,-0.10338335901333492
ACH-000178,-0.16557991389923465
ACH-000183,-0.1243511288483498
ACH-000188,0.01746306972294391
ACH-000189,-0.0755721520105718
ACH-000190,-0.10321995579064652
ACH-000198,-0.17638857814288392
ACH-000203,-0.5668922764227055
ACH-000204,-0.09908801543859667
ACH-000206,0.012385428547257176
ACH-000207,-0.10340220469586486
ACH-000208,-0.021893955930036905
ACH-000210,-0.2485031462693769
ACH-000211,-0.18598027977576545
ACH-000215,-0.114444548490008
ACH-000221,-0.11342479096426653
ACH-000222,-0.15718351178887927
ACH-000223,-0.1743285125622788
ACH-000226,-0.01908273273617622
ACH-000227,-0.2004673972420713
