,TC2N (123036)
ACH-000004,0.2076433654241668
ACH-000005,0.15043662868061958
ACH-000007,0.2343070300679148
ACH-000009,0.0968265613058796
ACH-000011,0.050647233113547685
ACH-000012,0.14613146582063444
ACH-000013,0.0997558657225988
ACH-000014,0.21263450224712807
ACH-000015,0.13074011754992515
ACH-000017,-0.03759626647554043
ACH-000018,-0.07644726526737274
ACH-000019,0.09674577673615484
ACH-000021,0.16035211246071593
ACH-000022,0.04385055124232263
ACH-000025,0.11903174312822425
ACH-000028,0.12481145042761485
ACH-000030,0.13378079829214884
ACH-000035,0.2231848457647082
ACH-000036,0.08445272915908822
ACH-000037,0.17504290312328344
ACH-000039,0.04119026758252409
ACH-000040,0.117038387469202
ACH-000041,-0.039148870423129416
ACH-000042,0.1436651740157941
ACH-000045,0.12453567770780463
ACH-000047,0.1011864823296916
ACH-000052,0.006859844489009838
ACH-000053,0.1150718265904527
ACH-000054,0.011573026392235784
ACH-000055,0.26293903340936303
ACH-000060,0.1844842176816931
ACH-000067,0.05269675933561227
ACH-000070,-0.016150372992917366
ACH-000075,0.06346099137061509
ACH-000078,0.012439876361608466
ACH-000082,-0.009755502956765309
ACH-000085,0.08698497443618712
ACH-000086,0.10334112167189273
ACH-000087,0.058406876444718175
ACH-000092,0.09173448208381413
ACH-000095,0.033424864365826305
ACH-000097,0.07271173767502785
ACH-000098,0.037895052454664985
ACH-000099,0.15798574800714374
ACH-000108,0.0658134485405627
ACH-000113,0.07492636318994758
ACH-000116,0.07199903006861756
ACH-000118,0.1028727622867428
ACH-000120,-0.019166652369689452
ACH-000123,-0.018229468120808175
ACH-000127,0.09623575059893813
ACH-000128,0.03934398866094988
ACH-000132,0.06272401834868183
ACH-000133,0.15938744510142278
ACH-000137,0.13829860348169795
ACH-000138,0.07224860773548296
ACH-000142,0.15901365406776355
ACH-000143,0.006946895192004221
ACH-000146,0.15025005607381994
ACH-000148,0.05334353505580864
ACH-000150,0.19091278573661227
ACH-000152,0.15986587775238914
ACH-000153,-0.08588518834299852
ACH-000159,0.14967435123642134
ACH-000160,0.06416780600684134
ACH-000163,0.08221684478145794
ACH-000167,0.050727599968712615
ACH-000168,-0.02570513952771316
ACH-000169,0.02308652651095857
ACH-000178,0.1334360282025184
ACH-000183,0.07385454888196799
ACH-000188,0.08267434192658188
ACH-000189,0.007920279767805896
ACH-000190,0.05370427899786789
ACH-000198,0.0327101848072802
ACH-000203,0.1621958649243397
ACH-000204,-0.03579378854955672
ACH-000206,0.029770609522672232
ACH-000207,0.1469806096922255
ACH-000208,0.08485435850235831
ACH-000210,0.3773082940955919
ACH-000211,-0.008961376167056348
ACH-000215,0.10223697671756243
ACH-000221,0.01905077931081156
ACH-000222,0.08731394416684547
ACH-000223,0.0724512084626022
ACH-000226,0.05415868867967105
ACH-000227,0.020773904397935385
ACH-000228,0.14780310928093635
ACH-000231,0.04835768274073938
ACH-000232,0.09281463719831656
ACH-000233,0.1618486776253999
ACH-000234,0.2233428763210542
ACH-000235,0.1165043679322654
ACH-000237,0.18425482596335646
ACH-000238,0.07481233028443536
ACH-000242,-0.07814407312682511
ACH-000243,0.1303976429062737
ACH-000244,0.15520130191809453
ACH-000246,0.0369514934955656
ACH-000248,0.07971973733732772
ACH-000250,0.058576903942171986
ACH-000251,0.03555772246417998
ACH-000252,0.13252998144556902
ACH-000253,0.1107008871218602
ACH-000255,0.12978131762444578
ACH-000256,0.1103676839203462
ACH-000257,0.011408032256695582
ACH-000258,0.05769988730368926
ACH-000259,0.08839769507021783
ACH-000260,0.07861758256763808
ACH-000261,0.08146248275225047
ACH-000262,0.20065537558525612
ACH-000263,0.06744505163276092
ACH-000264,0.07463823074611843
ACH-000265,0.16103801883277438
ACH-000266,0.11045604320930387
ACH-000272,0.06822547267891398
ACH-000274,0.04736738483062521
ACH-000277,0.028529767921072757
ACH-000278,0.08898612522571565
ACH-000279,0.05595670319332275
ACH-000280,0.08687589897909948
ACH-000281,0.15597976797972096
ACH-000288,0.047681868929752604
ACH-000291,0.15318662927457816
ACH-000293,0.08043102017708019
ACH-000294,0.06596616569857468
ACH-000295,0.013127624521673605
