,BRPF1 (7862)
ACH-000004,-0.3235589690410272
ACH-000005,-0.1891391989753235
ACH-000007,-0.22253615263695825
ACH-000009,-0.18122141997940186
ACH-000011,0.19465426492503698
ACH-000012,-0.015387828567478019
ACH-000013,-0.6386643378486083
ACH-000014,-0.32067826065304833
ACH-000015,-0.4191184511992932
ACH-000017,-0.3461229501171689
ACH-000018,-0.7634666019959148
ACH-000019,-0.5354019856638877
ACH-000021,-0.14233472855541995
ACH-000022,-0.4304550605044069
ACH-000025,-0.4025171362412258
ACH-000028,-0.2242806744142351
ACH-000030,-0.1188792189706746
ACH-000035,-0.14336344799540438
ACH-000036,-0.41339495426822304
ACH-000037,-0.12137783688029274
ACH-000039,-0.11544421105205947
ACH-000040,-0.1639911392287074
ACH-000041,-0.6632325939765844
ACH-000042,-0.6425755049090807
ACH-000045,-0.4667836985769128
ACH-000047,-0.4566980465277403
ACH-000052,-0.4517950570373458
ACH-000053,-0.4344056081334414
ACH-000054,-0.17945736742373575
ACH-000055,-0.5380287915455132
ACH-000060,-0.3356738575657676
ACH-000067,0.14306187180537544
ACH-000070,-0.2534975876639145
ACH-000075,-0.1573807738467002
ACH-000078,-0.2986430708327135
ACH-000082,-0.5482928517891452
ACH-000085,-0.2488130783224519
ACH-000086,-0.0053663207518527605
ACH-000087,-0.39314450068745305
ACH-000092,-0.06936910324557401
ACH-000095,-0.4802923276675152
ACH-000097,-1.167444148224546
ACH-000098,-0.3206532177942258
ACH-000099,-0.404964500015079
ACH-000108,-0.1793573657650918
ACH-000113,-0.659245025708956
ACH-000116,-0.6966075875409772
ACH-000118,-0.3589063867761319
ACH-000120,-0.5515216076513203
ACH-000123,-0.10170718200961514
ACH-000127,-0.32132592397240844
ACH-000128,-0.3640126839053792
ACH-000132,-0.1927554316679898
ACH-000133,-0.3728812663215344
ACH-000137,-0.2238137333328768
ACH-000138,-0.4576184502112191
ACH-000142,-0.06660456596756112
ACH-000143,-0.25005317530255405
ACH-000146,-0.4947540973890918
ACH-000148,-0.3008715187912349
ACH-000150,-0.4970247925511017
ACH-000152,-0.4240575341989761
ACH-000153,-0.4059215610336989
ACH-000159,-0.19797130809901264
ACH-000160,-0.13445036392970264
ACH-000163,-0.5919278364010764
ACH-000167,0.17044813263358172
ACH-000168,-0.34531766312747225
ACH-000169,-0.426768524470924
ACH-000178,-0.1962848840015452
ACH-000183,-0.4206000554024871
ACH-000188,-0.0844955748607726
ACH-000189,-0.2946665173687109
ACH-000190,-0.00623947740602859
ACH-000198,-0.767174154976872
ACH-000203,-0.6521257567973291
ACH-000204,-0.460068972589363
ACH-000206,-0.11527125337166085
ACH-000207,-0.5361352764474729
ACH-000208,-0.2529823873579562
ACH-000210,-0.20426437346628665
ACH-000211,-0.4726149987811947
ACH-000215,-0.2037893415193454
ACH-000221,-0.4732669703370862
ACH-000222,-0.09822056884191606
ACH-000223,-0.2991828461454954
ACH-000226,-0.056238049086677455
ACH-000227,-0.4258274934349659
ACH-000228,-0.2324684841415173
ACH-000231,-0.2857848199620457
ACH-000232,-0.557458648318776
ACH-000233,-0.38097804771703003
ACH-000234,-0.10170751694471146
ACH-000235,-0.5003720287152241
ACH-000237,-0.3933477951812181
ACH-000238,-0.4239700573914505
ACH-000242,-0.273097840446968
ACH-000243,-0.2988384312893662
ACH-000244,-0.15520254668183106
ACH-000246,-0.2598403823846656
ACH-000248,-0.1352972851586689
ACH-000250,-0.17818908060589744
ACH-000251,-0.09419576942903388
ACH-000252,-0.5595772151781507
ACH-000253,-0.10944582765126694
ACH-000255,-0.618246180394021
ACH-000256,-0.4803370119046442
ACH-000257,-0.5249053630193985
ACH-000258,-0.3553338068007199
ACH-000259,-0.2543229679268176
ACH-000260,-0.7200966825955553
ACH-000261,-0.20915113905645408
ACH-000262,-0.08803869013204077
ACH-000263,-0.3133538986819049
ACH-000264,-0.09645357108572293
ACH-000265,-0.2050858955400005
ACH-000266,-0.4853490727154648
ACH-000272,-0.25669732690780545
ACH-000274,-0.26685524973320385
ACH-000277,-0.3677308391301381
ACH-000278,-0.29369074639976245
ACH-000279,-0.18096188070190009
ACH-000280,-0.04781244260287975
ACH-000281,-0.5598497659789228
ACH-000288,0.14845356120957198
ACH-000291,-0.2960885140986184
ACH-000293,-0.3434473021671174
ACH-000294,-0.16961853368654722
ACH-000295,-0.4342925678170879
ACH-000296,-0.02703489620019011
ACH-000302,-0.2931767190037509
ACH-000304,-0.5080734568344418
ACH-000307,-0.1433865225076617
ACH-000308,-0.3905280135859547
ACH-000310,-0.20636822174820887
ACH-000311,-0.2127394961274068
ACH-000312,-0.44422278433645895
ACH-000315,-0.5294269880797977
ACH-000316,-0.4674446054714006
ACH-000317,-0.2386490977377141
ACH-000318,-0.10971379829788733
ACH-000319,-0.26481447738026986
ACH-000320,-0.3532068559290649
ACH-000322,-0.214316082967838
ACH-000323,-0.5747211903862018
ACH-000324,-0.20855587896204134
ACH-000329,-0.1651424159261786
ACH-000330,-0.7633378932205075
ACH-000331,-0.3122786474326995
ACH-000332,-0.26817337894994503
ACH-000334,-0.1419265497019486
ACH-000335,0.0352873470752218
ACH-000336,-0.19838842789042024
ACH-000337,-0.6034579193094464
ACH-000338,-0.3532963273588413
ACH-000339,-0.4295135918453056
ACH-000341,-0.3792164851262712
ACH-000348,-0.25154297191992075
ACH-000350,-0.3129046216533442
ACH-000352,-0.5949800515613782
ACH-000356,0.028443498279683337
ACH-000361,-0.2407532556065252
ACH-000362,-0.5956203506158323
ACH-000363,-0.3483813790776791
ACH-000364,-0.3938291151507239
ACH-000365,-0.6593343165090734
ACH-000366,-0.3765847663039807
ACH-000368,-0.20205641413772235
ACH-000374,-0.4511162477373457
ACH-000375,-0.1739991053194303
ACH-000376,-0.3688559246890457
ACH-000381,-0.14905790989176346
ACH-000383,-0.2773647182928132
ACH-000387,-0.2772168680859768
ACH-000389,0.07321854025097485
ACH-000390,-0.27779919059029995
ACH-000393,-0.3535207122739294
ACH-000395,-0.6881311619305913
ACH-000396,-0.3680563267379094
ACH-000397,-0.6219840410144136
ACH-000401,-0.2484229613934697
ACH-000402,-0.3897394629756386
ACH-000403,-0.2582205642098285
ACH-000404,-0.14768366958467094
ACH-000406,-0.11591320034054735
ACH-000407,-0.30990586213370896
ACH-000408,-0.2777264812362955
ACH-000410,-0.2409599971395565
ACH-000411,-0.028847699013620942
ACH-000414,-0.4768871129502014
ACH-000415,-0.3036698289664668
ACH-000416,-0.04538895296511445
ACH-000420,-0.22699008858720515
ACH-000421,-0.5857266181252426
ACH-000424,-0.4353444762120587
ACH-000425,-0.3965800953376875
ACH-000426,-0.2691226063864563
ACH-000427,-0.31679253444730865
ACH-000433,-0.4321205582866806
ACH-000435,-0.5798116656266041
ACH-000436,-0.3767564023731382
ACH-000444,-0.4021192375457675
ACH-000445,-0.2296476757900763
ACH-000448,-0.29003227290864025
ACH-000450,-0.3715041614587684
ACH-000452,-0.16922220510404434
ACH-000454,-0.3122924159603826
ACH-000458,-0.3107361352543219
ACH-000459,-0.549798087788237
ACH-000460,-0.5865149070497483
ACH-000461,-0.31167529525038
ACH-000463,-0.1072812411370067
ACH-000464,-0.5419999685741682
ACH-000466,-0.3508507601261085
ACH-000467,-0.5328819626843987
ACH-000468,-0.31969612009109866
ACH-000469,-0.43220490716240206
ACH-000470,-0.1071842488984598
ACH-000471,-0.14407256409741753
ACH-000472,-0.1890066774422328
ACH-000473,-0.16245277425294016
ACH-000475,-0.22453890416817596
ACH-000476,-0.4766267359440048
ACH-000477,-0.2975848881869084
ACH-000479,-0.5145563269113708
ACH-000480,-0.1418366514942173
ACH-000481,-0.15619985437957587
ACH-000483,-0.3146616404440938
ACH-000484,-0.06771624711300188
ACH-000485,-0.3435663331240583
ACH-000486,-0.045564439733431404
ACH-000487,-0.3914881028713207
ACH-000488,-0.4148016296867936
ACH-000490,-0.2371135235603819
ACH-000491,-0.3746326130705619
ACH-000495,-0.40095437850447296
ACH-000496,-0.3689864137501839
ACH-000499,-0.4525322940024368
ACH-000500,-0.16302118375601332
ACH-000502,-0.4652052274804647
ACH-000503,-0.09725860087031496
ACH-000505,-0.3876035920038604
ACH-000507,-0.2915709036289868
ACH-000510,-0.3131640460936729
ACH-000511,-0.3249598164262605
ACH-000512,-0.1979112728827265
ACH-000516,-0.16795617104552865
ACH-000517,-0.19197756382098305
ACH-000518,0.029264466989766324
ACH-000520,-0.18403677949771835
ACH-000521,-0.17224387351939496
ACH-000522,-0.04051141904496832
ACH-000524,-0.5693592718399992
ACH-000527,-0.29015123936245085
ACH-000528,-0.3351614023672027
ACH-000537,-0.5065480576156327
ACH-000541,-0.7501724168426274
ACH-000542,-0.31326331131083635
ACH-000544,-0.3714751987181001
ACH-000545,-0.2515187240802852
ACH-000547,-0.1969415345884279
ACH-000548,-0.3878920884326016
ACH-000549,-0.2885017259237647
ACH-000550,-0.3226175514590557
ACH-000552,-0.3389773689142051
ACH-000556,-0.18293567450595488
