,PPA1 (5464)
ACH-000004,-0.9524103708794956
ACH-000005,-0.8336119677377787
ACH-000007,-0.9412263560003378
ACH-000009,-0.7479194456267045
ACH-000011,-0.8682817719033914
ACH-000012,-0.9796401847508818
ACH-000013,-0.16094619832276832
ACH-000014,-0.966068330919702
ACH-000015,-1.0614499788985208
ACH-000017,-0.32392376012581625
ACH-000018,-1.2080146343958649
ACH-000019,-0.2597201893549145
ACH-000021,-1.2809572521898682
ACH-000022,-0.7042716771009694
ACH-000025,-0.9609480343194527
ACH-000028,-0.6600456426254641
ACH-000030,-0.927905264462947
ACH-000035,-0.9160643536245048
ACH-000036,-0.9539117921435596
ACH-000037,-1.01763841573397
ACH-000039,-1.082023169248671
ACH-000040,-1.1612878535422828
ACH-000041,-0.8956673416569907
ACH-000042,-0.9847213390089681
ACH-000045,-0.8768224800431399
ACH-000047,-0.9132368640748242
ACH-000052,-1.1229969270449425
ACH-000053,-0.6324568099861182
ACH-000054,-1.0013209797240037
ACH-000055,-1.0379389823174905
ACH-000060,-0.8130953761198437
ACH-000067,-0.9535541005107284
ACH-000070,-1.04090392633329
ACH-000075,-0.7420652324189665
ACH-000078,-1.0146864376187663
ACH-000082,-0.6622798199925463
ACH-000085,-1.2184105063917436
ACH-000086,-1.1276341958912048
ACH-000087,-1.0139857979718845
ACH-000092,-1.1793718970142841
ACH-000095,-0.9544373697801818
ACH-000097,-0.4202759517001956
ACH-000098,-1.0923063308158985
ACH-000099,-0.9827527556481818
ACH-000108,-1.1112842233088542
ACH-000113,-0.867505878768023
ACH-000116,-0.9017319753723352
ACH-000118,-1.0918920037531399
ACH-000120,-0.9132533066083788
ACH-000123,-0.981700754283058
ACH-000127,-1.0943689348425811
ACH-000128,-0.9676984246794628
ACH-000132,-0.8186866682675149
ACH-000133,-1.0264750537330511
ACH-000137,-1.0552422509185837
ACH-000138,-0.9442640719185244
ACH-000142,-1.1228870434388507
ACH-000143,-0.8029894920350774
ACH-000146,-0.6955253131943698
ACH-000148,-1.0771481605021789
ACH-000150,-1.0614499431801716
ACH-000152,-0.9446239597282128
ACH-000153,-0.834897509428591
ACH-000159,-1.0028852745741357
ACH-000160,-0.8970699546718035
ACH-000163,-1.023870203955487
ACH-000167,-1.0610633325618537
ACH-000168,-1.0922454503359895
ACH-000169,-1.1281559811946846
ACH-000178,-0.8888754241491748
