,ATP11AUN (400165)
ACH-000004,-0.1939586078865335
ACH-000005,-0.1365303693083968
ACH-000007,-0.12565382402276648
ACH-000009,-0.0717874361185884
ACH-000011,-0.08645482980541716
ACH-000012,-0.1425769790610968
ACH-000013,-0.08560169544934369
ACH-000014,-0.1307551182788442
ACH-000015,0.007492695927893162
ACH-000017,-0.16395321718685898
ACH-000018,-0.06930890202860522
ACH-000019,0.01181298566051856
ACH-000021,-0.008113476212226241
ACH-000022,-0.07096924991083604
ACH-000025,0.000359718053393813
ACH-000028,0.06463952102957646
ACH-000030,-0.06986949167226313
ACH-000035,-0.052248675976848055
ACH-000036,-0.09504292934128487
ACH-000037,-0.1286105656977741
ACH-000039,-0.11782744719113848
ACH-000040,-0.2195012002674321
ACH-000041,-0.14943334547687065
ACH-000042,-0.08499389407359899
ACH-000045,-0.1795457052890576
ACH-000047,-0.15493636010662534
ACH-000052,-0.2071775246499964
ACH-000053,-0.1775485373099308
ACH-000054,-0.13011268148030866
ACH-000055,-0.09255354182383088
ACH-000060,0.014783530402761768
ACH-000067,-0.002458667473358821
ACH-000070,-0.05783784200526607
ACH-000075,0.029462059282204262
ACH-000078,-0.27126947533449985
ACH-000082,-0.0048800484019710785
ACH-000085,-0.0815074180502724
ACH-000086,-0.03386041140401111
ACH-000087,0.0453473220228974
ACH-000092,0.0291705948935724
ACH-000095,-0.12337503080130277
ACH-000097,-0.13850433488008004
ACH-000098,-0.07388732806907805
ACH-000099,-0.22347472479171251
ACH-000108,-0.21486890848397566
ACH-000113,-0.1309563619652419
ACH-000116,-0.11561787381943005
ACH-000118,-0.01187839100781529
ACH-000120,-0.034804212727038694
ACH-000123,-0.10936404611075884
ACH-000127,-0.05725385407771006
ACH-000128,-0.00430543454294882
ACH-000132,-0.10529305593274346
ACH-000133,-0.0482034582222242
ACH-000137,-0.01146077831353039
ACH-000138,-0.020218614394316027
ACH-000142,-0.07752637755882129
ACH-000143,-0.07992252723429567
ACH-000146,-0.07372805588792399
ACH-000148,-0.14373899941188234
ACH-000150,-0.011515301994853806
ACH-000152,-0.11528385692704315
ACH-000153,-0.07525863299494892
ACH-000159,-0.04457940515969785
ACH-000160,-0.03574597278116129
ACH-000163,-0.1584622036412134
ACH-000167,0.015151678005269209
ACH-000168,-0.09801927798533984
ACH-000169,-0.08105921568138781
ACH-000178,-0.12017735139729875
ACH-000183,0.0819940100259176
ACH-000188,-0.02340773457298829
ACH-000189,0.03319350032112104
ACH-000190,-0.17517023452343788
ACH-000198,-0.15322150502561352
ACH-000203,0.14067998797011871
ACH-000204,0.08851016433037258
ACH-000206,-0.2338750255605301
ACH-000207,-0.05225027911025968
ACH-000208,0.22027718447106912
ACH-000210,0.11048783473102668
ACH-000211,-0.048010417652714084
ACH-000215,-0.09534587424753158
ACH-000221,-0.1586357867973216
ACH-000222,-0.027958828448082538
ACH-000223,-0.05133821807182088
ACH-000226,-0.037353949733049466
ACH-000227,-0.15780229550767744
ACH-000228,-0.061175564275511025
ACH-000231,-0.08292419350683594
ACH-000232,-0.06457965874365346
ACH-000233,-0.17193052540284398
ACH-000234,-0.1840329751694236
ACH-000235,-0.015707728837862183
ACH-000237,-0.17187177222917333
ACH-000238,-0.10744378967485864
ACH-000242,-0.1432443120439166
ACH-000243,-0.06430996744010642
ACH-000244,0.0032008721896573736
ACH-000246,-0.14348170201700708
ACH-000248,-0.1807544152863093
ACH-000250,-0.03478342474073379
ACH-000251,-0.06612811886670185
ACH-000252,0.09678067411852344
ACH-000253,-0.1877129644639688
ACH-000255,0.010357752690233868
ACH-000256,-0.05830985772847552
ACH-000257,-0.08493866735205223
ACH-000258,-0.16875153045057165
ACH-000259,-0.011950134213052393
ACH-000260,-0.13247656055445398
ACH-000261,-0.05392813020236352
ACH-000262,-0.14531815188911326
ACH-000263,-0.02739255199155217
ACH-000264,-0.00011312134199273184
ACH-000265,-0.028317595695006307
ACH-000266,-0.08728947039182915
ACH-000272,-0.0655912130455575
ACH-000274,-0.1273599132936448
ACH-000277,-0.08855126216648719
ACH-000278,-0.12800298048613776
ACH-000279,-0.08995545206937973
ACH-000280,-0.08676900088234499
ACH-000281,-0.2995817577306527
ACH-000288,-0.17452186765827368
ACH-000291,-0.1318385189632238
ACH-000293,-0.039831132132968114
ACH-000294,-0.1908019810976384
ACH-000295,-0.3937089452990345
ACH-000296,-0.006794645262697442
ACH-000302,0.001666319272050703
ACH-000304,-0.2326172244883861
ACH-000307,-0.15656031870680487
