,CYFIP1 (23191)
ACH-000004,-0.6362343708727629
ACH-000005,-0.4750331667585575
ACH-000007,-0.15382237435975166
ACH-000009,-0.4900924909591787
ACH-000011,-0.16463189925177038
ACH-000012,-0.25591549566412025
ACH-000013,-0.26185470138199834
ACH-000014,-0.4355496902960289
ACH-000015,-0.3173433469765579
ACH-000017,-0.2900532756470802
ACH-000018,-0.3163860567254245
ACH-000019,-0.4863384491485127
ACH-000021,-0.3636127370759074
ACH-000022,-0.3354276892795519
ACH-000025,-0.191435835152998
ACH-000028,-0.2586454322786252
ACH-000030,-0.3586723294180577
ACH-000035,-0.2574751277023293
ACH-000036,-0.5975462642613447
ACH-000037,-0.2349655337402964
ACH-000039,-0.2383407331011632
ACH-000040,-0.39791261977534426
ACH-000041,-0.4796321108923738
ACH-000042,-0.4600778871251612
ACH-000045,-0.61442399314176
ACH-000047,-0.35532011924076384
ACH-000052,-0.5166361902314852
ACH-000053,-0.21125036419315776
ACH-000054,-0.3555843188900176
ACH-000055,-0.4386211461777232
ACH-000060,-0.33896784162480104
ACH-000067,-0.486730318694465
ACH-000070,-0.21493299021969528
ACH-000075,-0.5523135090308677
ACH-000078,-0.4278243751158571
ACH-000082,-0.4384667279459699
ACH-000085,-0.7052326928462426
ACH-000086,-0.2310527885294147
ACH-000087,-0.005128247474078246
ACH-000092,-0.3036498936873609
ACH-000095,-0.4445630233711725
ACH-000097,-0.5269971330127827
ACH-000098,-0.4656237625286757
ACH-000099,-0.4133855112271971
ACH-000108,-0.2370167392704669
ACH-000113,-0.35812478345385923
ACH-000116,-0.341616302368534
ACH-000118,-0.3196759613501921
ACH-000120,-0.2982810607395925
ACH-000123,-0.2622746267509501
ACH-000127,-0.2592504165825989
ACH-000128,-0.4695917778904074
ACH-000132,-0.5122699205349304
ACH-000133,-0.4351456774931341
ACH-000137,-0.5333470921575407
ACH-000138,-0.44675157289669215
ACH-000142,-0.5831425970571479
ACH-000143,-0.2608351651682847
ACH-000146,-0.2420351179342862
ACH-000148,-0.2725571089675428
ACH-000150,-0.25207618896197564
ACH-000152,-0.2422484814566635
ACH-000153,-0.6869150743558772
ACH-000159,-0.4119016297056477
ACH-000160,-0.5697846356724926
ACH-000163,-0.3381053436927289
ACH-000167,-0.3309939181494688
ACH-000168,-0.5529588691587514
ACH-000169,-0.38518185725182813
ACH-000178,-0.4252455506657818
ACH-000183,-0.3436857711912457
ACH-000188,-0.3075293116803837
ACH-000189,-0.25010806753026066
ACH-000190,-0.2795858650743753
ACH-000198,-0.3330002852321681
ACH-000203,-0.1778177582253763
ACH-000204,-0.4636716743828718
ACH-000206,-0.19395626225858772
ACH-000207,-0.3493979202476434
ACH-000208,-0.6100847035563935
ACH-000210,-0.34457724361080283
ACH-000211,-0.5119516795777851
ACH-000215,-0.3954779955107139
ACH-000221,-0.5123501700972339
ACH-000222,-0.3951556017217358
ACH-000223,-0.5695826627217357
ACH-000226,-0.3047914680350136
ACH-000227,-0.4799277969372469
ACH-000228,-0.2603431372581258
ACH-000231,-0.4260001236480578
ACH-000232,-0.41574311850198337
ACH-000233,-0.4422337843616396
ACH-000234,-0.4533906896299644
ACH-000235,-0.4925733846247094
ACH-000237,-0.2993524041754845
ACH-000238,-0.26486585770771265
ACH-000242,-0.22835892935083116
ACH-000243,-0.4413666695970953
ACH-000244,-0.3604665985580562
ACH-000246,-0.2662437395741074
ACH-000248,-0.4874172527419059
ACH-000250,-0.2702050078475349
ACH-000251,-0.08471348078493222
ACH-000252,-0.4715901512863644
ACH-000253,-0.38567888469352585
ACH-000255,-0.5240706829604077
ACH-000256,-0.456398413291555
ACH-000257,-0.1162976628683924
ACH-000258,-0.4832245827625487
ACH-000259,-0.2904102703853021
ACH-000260,-0.43511420943057294
ACH-000261,-0.5816939158675936
ACH-000262,-0.4105123364223017
ACH-000263,-0.4879917943783856
ACH-000264,-0.509147011788395
ACH-000265,-0.2561753281377025
ACH-000266,-0.5765099952133786
ACH-000272,-0.3813084922118164
ACH-000274,-0.4372488292647993
ACH-000277,-0.3056281828443835
ACH-000278,-0.550529079717146
ACH-000279,-0.38279625845552456
ACH-000280,-0.4588533292707796
ACH-000281,-0.5323836730564658
ACH-000288,-0.4703219156153021
ACH-000291,-0.3354147977354717
ACH-000293,-0.3391913167963995
ACH-000294,-0.1667837051023938
ACH-000295,-0.3616086232733653
ACH-000296,-0.2427482044877905
ACH-000302,-0.3865492398325873
ACH-000304,-0.4416141319796332
ACH-000307,-0.4187368779855017
ACH-000308,-0.4340722685045738
ACH-000310,-0.5547925011402349
ACH-000311,-0.23876862442293495
ACH-000312,-0.3284712800494487
ACH-000315,-0.4286903993627346
ACH-000316,-0.22810335912132676
ACH-000317,-0.31105354054721845
ACH-000318,-0.3931071627994485
ACH-000319,-0.27609965018532057
ACH-000320,-0.17496561152354714
ACH-000322,-0.1783345278919847
ACH-000323,-0.5127921017598137
ACH-000324,-0.3439286452811295
ACH-000329,-0.31329452523471785
ACH-000330,-0.1840919724073739
ACH-000331,-0.4894234167934318
ACH-000332,-0.4594740457170462
ACH-000334,-0.5320392726737829
ACH-000335,-0.24351629029089686
ACH-000336,-0.4435635984059969
