,NSL1 (25936)
ACH-000004,-0.648995204732797
ACH-000005,-0.5353472575857997
ACH-000007,-0.3051357923396556
ACH-000009,-0.4256432379677135
ACH-000011,-0.09352024922007897
ACH-000012,-0.4443018270455073
ACH-000013,-0.3912450506723548
ACH-000014,-0.5890121567243305
ACH-000015,-0.4004814637372868
ACH-000017,-0.34835425773548456
ACH-000018,-0.5078497186690439
ACH-000019,-0.4695903617019804
ACH-000021,-0.6388939374527551
ACH-000022,-0.4823347426811932
ACH-000025,-0.698837591232113
ACH-000028,-0.43939375723896495
ACH-000030,-0.4436662299730737
ACH-000035,-0.5082961147748483
ACH-000036,-0.6232007895751857
ACH-000037,-0.10822453430224216
ACH-000039,-0.5481409768633906
ACH-000040,-0.5956244096124348
ACH-000041,-0.42915664198378495
ACH-000042,-0.4714609702371517
ACH-000045,-0.5918404042712756
ACH-000047,-0.4700075197045022
ACH-000052,-0.5718599565846834
ACH-000053,-0.5906280718603958
ACH-000054,-0.4724312087188552
ACH-000055,-0.6302091702320314
ACH-000060,-0.38916930696751184
ACH-000067,-0.3561412017998833
ACH-000070,-0.3650932380175097
ACH-000075,-0.5404320703490629
ACH-000078,-0.3663967230089629
ACH-000082,-0.521847316299793
ACH-000085,-0.3135033896000348
ACH-000086,-0.7174177916913647
ACH-000087,-0.4432864398965307
ACH-000092,-0.4778404050793584
ACH-000095,-0.4304418001426555
ACH-000097,-0.2750710717823065
ACH-000098,-0.4925264413323369
ACH-000099,-0.4238334225310765
ACH-000108,-0.42497971948432495
ACH-000113,-0.33130676476629395
ACH-000116,-0.5198329120884381
ACH-000118,-0.4518868505507661
ACH-000120,-0.4443862680480919
ACH-000123,-0.4546622875962892
ACH-000127,-0.3944343514407327
ACH-000128,-0.7046913844997449
ACH-000132,-0.7707041015507696
ACH-000133,-0.6825794840551347
ACH-000137,-0.5419563573370842
ACH-000138,-0.5072178527973648
ACH-000142,-0.6571013729023083
ACH-000143,-0.6894013945507099
ACH-000146,-0.4102603306900028
ACH-000148,-0.7025501592882916
ACH-000150,-0.3765071848084627
ACH-000152,-0.4579819256605687
ACH-000153,-0.6523074892852389
ACH-000159,-0.3681029248856785
ACH-000160,-0.2636286524062812
ACH-000163,-0.466734600828605
ACH-000167,-0.36954165462877603
ACH-000168,-0.633575262449376
ACH-000169,-0.5842012887835897
ACH-000178,-0.3727601632102304
ACH-000183,-0.6178172972245836
ACH-000188,-0.4002603805177299
ACH-000189,-0.7326277274884339
ACH-000190,-0.117288696035706
ACH-000198,-0.5049885530928698
ACH-000203,-0.5379000676499045
ACH-000204,-0.7723838076091168
ACH-000206,-0.8209591955418634
ACH-000207,-0.5631871679431656
ACH-000208,-0.6141034420469201
ACH-000210,-0.4007781278423507
ACH-000211,-0.5042124487105302
ACH-000215,-0.4461472763038109
ACH-000221,-0.4691853805413984
ACH-000222,-0.3591215639699893
