,PCDHGB3 (56102)
ACH-000004,-0.1389376845509962
ACH-000005,-0.17999590165542165
ACH-000007,-0.17540461169380486
ACH-000009,-0.2188988472012885
ACH-000011,-0.22290934515496152
ACH-000012,-0.07725743624489287
ACH-000013,-0.16783473208496244
ACH-000014,-0.22503948277733812
ACH-000015,-0.37931618948087736
ACH-000017,-0.08282106536255011
ACH-000018,-0.06832906666519889
ACH-000019,-0.2682570238468888
ACH-000021,-0.19569299830227688
ACH-000022,-0.33902264923096403
ACH-000025,0.009787785108977131
ACH-000028,-0.11478033933963955
ACH-000030,-0.14763571866262268
ACH-000035,-0.07541836476492869
ACH-000036,-0.0021469934060482764
ACH-000037,-0.06341061201918817
ACH-000039,-0.3015395606305021
ACH-000040,-0.17305082626118484
ACH-000041,0.006334288108969067
ACH-000042,-0.11719159760382207
ACH-000045,-0.2864060329753231
ACH-000047,-0.18345354654614848
ACH-000052,-0.24494396723128256
ACH-000053,-0.3005287258280236
ACH-000054,-0.14010932761926992
ACH-000055,-0.1960006766269389
ACH-000060,-0.15689026152996935
ACH-000067,0.057740944853172826
ACH-000070,-0.1408379695302804
ACH-000075,-0.2855923517613865
ACH-000078,-0.23516571871933464
ACH-000082,-0.04170397898287628
ACH-000085,-0.2091784368660744
ACH-000086,0.015738127026455554
ACH-000087,-0.17676130819502175
ACH-000092,-0.060355625225243674
ACH-000095,-0.11248134870567013
ACH-000097,-0.21016325950489206
ACH-000098,-0.2267818058188028
ACH-000099,-0.20336741622609408
ACH-000108,-0.055324517264278464
ACH-000113,-0.21443550457054392
ACH-000116,-0.1665390145135702
ACH-000118,-0.0077037328147533685
ACH-000120,-0.109291038118311
ACH-000123,-0.2917437162427964
ACH-000127,-0.13226985799659174
ACH-000128,-0.29921624228896265
ACH-000132,-0.13493188157918792
ACH-000133,-0.19603190535677573
ACH-000137,-0.2835633881325012
ACH-000138,-0.29147531051827635
ACH-000142,-0.16779917682821985
ACH-000143,-0.2039562131717264
ACH-000146,-0.12650386768442948
ACH-000148,-0.22699096791651616
ACH-000150,-0.37903147361963
ACH-000152,-0.1882644424284053
ACH-000153,-0.2531821759659513
ACH-000159,-0.11794498104781602
ACH-000160,-0.28890034041516377
ACH-000163,-0.02044660098305989
ACH-000167,-0.4173871104081651
ACH-000168,-0.18085498838762906
ACH-000169,-0.08286930941941686
ACH-000178,-0.2317292280021388
ACH-000183,-0.008887332428214625
ACH-000188,-0.08256779066998413
ACH-000189,-0.18560657051611745
ACH-000190,-0.5346604812806871
ACH-000198,-0.1265080804416924
ACH-000203,0.25065566699868674
ACH-000204,0.0971351649917851
ACH-000206,-0.0488820976811362
ACH-000207,-0.2740530893102295
ACH-000208,-0.14037285592779913
ACH-000210,0.18466838011423786
ACH-000211,-0.226831701769207
ACH-000215,-0.10631674174971817
ACH-000221,-0.3881535269231854
ACH-000222,-0.13861490167452947
ACH-000223,-0.06819217737491756
ACH-000226,-0.11456533076609172
ACH-000227,-0.12708651008613267
ACH-000228,-0.17208638492625186
ACH-000231,-0.09085271473891336
ACH-000232,-0.07837070571524565
ACH-000233,-0.14956515118315844
ACH-000234,-0.244924436755602
ACH-000235,-0.18785904437527506
ACH-000237,-0.12986119976676866
ACH-000238,-0.200928584621728
ACH-000242,-0.19597375917381454
ACH-000243,-0.16609516169974087
ACH-000244,-0.098037319651792
ACH-000246,-0.10227950445261363
ACH-000248,-0.2483961519570876
ACH-000250,-0.23375019188221324
ACH-000251,-0.4151739296334339
ACH-000252,-0.2166904169045152
ACH-000253,-0.18145689009714425
ACH-000255,-0.24739927485304256
ACH-000256,-0.15119328845200772
ACH-000257,-0.19353499899078105
ACH-000258,-0.1534769885618731
ACH-000259,-0.14453401531447388
ACH-000260,-0.23831735329933934
ACH-000261,-0.1418611255587714
ACH-000262,-0.34551583333637137
ACH-000263,-0.15933955433926147
ACH-000264,-0.1584975863663305
ACH-000265,-0.17159927227078892
ACH-000266,-0.18369424411387134
ACH-000272,-0.2874496236035164
ACH-000274,-0.20757508377154146
ACH-000277,-0.07262107038604114
ACH-000278,-0.01089280938737086
ACH-000279,-0.2456888647198565
ACH-000280,-0.16809182137464898
ACH-000281,-0.15731725399620058
ACH-000288,-0.1910205133444232
ACH-000291,-0.16493909074441668
ACH-000293,-0.30023386959765536
ACH-000294,-0.20421750777540396
ACH-000295,-0.3840700538134458
ACH-000296,-0.434745086957336
ACH-000302,-0.12429030107198966
ACH-000304,-0.02355960462935197
ACH-000307,-0.09732542660312116
ACH-000308,-0.1743909991437424
ACH-000310,-0.030823628566796837
ACH-000311,-0.2093468517475208
ACH-000312,-0.2018462741347169
ACH-000315,-0.3094160905118885
ACH-000316,-0.2590250690415047
ACH-000317,-0.031067319493542588
ACH-000318,-0.1094368989733868
ACH-000319,-0.12804368345171527
ACH-000320,-0.1692289977103637
ACH-000322,-0.1078136992890383
ACH-000323,-0.19546529022816175
ACH-000324,-0.1994762962558905
ACH-000329,-0.11915205406050355
ACH-000330,-0.29535320040914703
ACH-000331,-0.1338234230408978
ACH-000332,-0.13026375239012647
ACH-000334,-0.10982459864752446
ACH-000335,-0.2902351655405689
ACH-000336,0.04708935287225036
ACH-000337,-0.1685625725946953
ACH-000338,-0.16334120668268104
ACH-000339,-0.13854205157912625
ACH-000341,-0.06532847068413128
ACH-000348,-0.15394091057055515
ACH-000350,-0.231996685076163
ACH-000352,-0.12354153642193028
ACH-000356,-0.03649939536859586
ACH-000361,-0.336537344251716
ACH-000362,-0.22688723933011354
ACH-000363,-0.03634247125328489
ACH-000364,-0.07062795483210768
ACH-000365,-0.2029077174300044
ACH-000366,-0.10907071060237622
ACH-000368,-0.3018451546597968
ACH-000374,-0.16604367932735534
ACH-000375,-0.0967142426447016
ACH-000376,-0.22519241383153926
ACH-000381,-0.2801541365970688
ACH-000383,-0.2138211517225949
ACH-000387,-0.20806578846637586
ACH-000389,0.0013504766653631955
ACH-000390,-0.13564914071219533
ACH-000393,-0.2554308937133585
ACH-000395,-0.3237083675491502
ACH-000396,-0.3142917003124359
ACH-000397,-0.1589718941463326
ACH-000401,-0.3079804017397204
ACH-000402,-0.3549038011331002
ACH-000403,-0.1075671411182634
