,PDXDC1 (23042)
ACH-000004,-0.3101631584689839
ACH-000005,0.011589426553220416
ACH-000007,-0.18309850732629704
ACH-000009,0.0017183193346779564
ACH-000011,-0.0187540618584467
ACH-000012,-0.15063473371844385
ACH-000013,-0.16477431730113404
ACH-000014,-0.20401526692311636
ACH-000015,-0.14807083186003622
ACH-000017,-0.2060321410203636
ACH-000018,-0.1183621211984496
ACH-000019,-0.0656530046213623
ACH-000021,-0.06080551938775201
ACH-000022,-0.18393421402728652
ACH-000025,-0.15565917353039882
ACH-000028,-0.13144539957478146
ACH-000030,-0.021647478585581505
ACH-000035,-0.13740639769090415
ACH-000036,-0.19959185743083535
ACH-000037,-0.2395106603638449
ACH-000039,-0.03157754357097979
ACH-000040,-0.08686534037758296
ACH-000041,-0.043099188286368995
ACH-000042,-0.1595393626716505
ACH-000045,-0.03890963431196929
ACH-000047,0.041954505754531586
ACH-000052,-0.1381951484035855
ACH-000053,-0.3280458001902893
ACH-000054,-0.07420923627186317
ACH-000055,-0.2370843578366132
ACH-000060,0.14868718035973832
ACH-000067,-0.14568909629505816
ACH-000070,-0.017927235956678104
ACH-000075,-0.16797124259205273
ACH-000078,-0.20107005696179414
ACH-000082,-0.047319975265759706
ACH-000085,-0.14464391135664287
ACH-000086,-0.1466977881745856
ACH-000087,0.007698879408412895
ACH-000092,-0.10184808651414408
ACH-000095,-0.2590950984437588
ACH-000097,-0.28568500120241425
ACH-000098,-0.2774860950948499
ACH-000099,-0.24763229492250716
ACH-000108,-0.18936989081522126
ACH-000113,-0.015664838408049126
ACH-000116,-0.10665175283375074
ACH-000118,-0.1279753084187817
ACH-000120,-0.12403648739878212
ACH-000123,-0.23845008965343045
ACH-000127,-0.3471586555363557
ACH-000128,0.002575533746259629
ACH-000132,-0.28088248885869643
ACH-000133,-0.1965899794964409
ACH-000137,-0.26918444749344705
ACH-000138,-0.07761393098466167
ACH-000142,-0.22379676605009466
ACH-000143,0.012746360884551078
ACH-000146,-0.17473033920271308
ACH-000148,-0.15893450445550786
ACH-000150,-0.09277247338493563
ACH-000152,-0.13522343908014345
ACH-000153,-0.14527939858954586
ACH-000159,-0.013416644799066905
ACH-000160,0.07635548002692166
ACH-000163,0.07814452301462275
ACH-000167,-0.13738132250738527
ACH-000168,-0.0782549828396007
ACH-000169,-0.17234225884722276
ACH-000178,-0.18906392660126325
ACH-000183,-0.3315205924881352
ACH-000188,0.03103979200791042
ACH-000189,-0.14361173786676468
ACH-000190,-0.07600048549493972
ACH-000198,-0.2174777225743928
ACH-000203,-0.02315207104212685
ACH-000204,-0.2241395931000897
ACH-000206,-0.15887792359117112
ACH-000207,-0.109842617969389
ACH-000208,-0.03834030557611732
ACH-000210,0.11808286640420415
ACH-000211,0.004540230922249499
ACH-000215,-0.2615722689306117
ACH-000221,-0.036945124503620336
ACH-000222,-0.2493387926356397
ACH-000223,-0.029891211616889405
ACH-000226,-0.017492476484340304
ACH-000227,-0.06434875211622243
ACH-000228,-0.0653455022437198
ACH-000231,-0.10785875516699524
ACH-000232,-0.17396576379639128
ACH-000233,-0.1575582037255891
ACH-000234,-0.20114075967527031
ACH-000235,-0.08889620419758466
ACH-000237,-0.2591797160302518
ACH-000238,-0.045470600327165725
ACH-000242,0.10135769258652297
ACH-000243,-0.11074061442193092
ACH-000244,-0.009369761967719228
ACH-000246,-0.1285556760939977
ACH-000248,-0.15259464065964062
ACH-000250,-0.1892045263938079
ACH-000251,0.0274554254349761
ACH-000252,-0.07940340558830979
ACH-000253,-0.18618227216032668
