,MYO1D (4642)
ACH-000004,-0.27503742433823153
ACH-000005,-0.4070489699148466
ACH-000007,-0.1884536567103257
ACH-000009,-0.13911848040331426
ACH-000011,-0.06348632997282037
ACH-000012,-0.09113537412379573
ACH-000013,-0.09209880773676957
ACH-000014,-0.09410745681512016
ACH-000015,-0.06747773000473795
ACH-000017,-0.03674845684010767
ACH-000018,-0.30361210758473073
ACH-000019,-0.029557002104432337
ACH-000021,-0.08637046140057797
ACH-000022,-0.04201113545651212
ACH-000025,-0.08809872298736557
ACH-000028,-0.09738917809200626
ACH-000030,-0.1511221215126092
ACH-000035,-0.1273651525846693
ACH-000036,-0.3315520915021914
ACH-000037,-0.12187895839823895
ACH-000039,-0.2436043646160595
ACH-000040,-0.14768199695772294
ACH-000041,-0.14631723227292848
ACH-000042,-0.07858045187083543
ACH-000045,-0.01890192448619708
ACH-000047,-0.04966638214280197
ACH-000052,-0.2201386548909052
ACH-000053,-0.14075461387443586
ACH-000054,-0.067788721616704
ACH-000055,0.1677054422477464
ACH-000060,-0.07131389231846416
ACH-000067,-0.2163733983559505
ACH-000070,0.0960621064658306
ACH-000075,0.08852018849903448
ACH-000078,-0.004290050935705462
ACH-000082,-0.04863335428333338
ACH-000085,0.14070879033868922
ACH-000086,-0.16821713694398402
ACH-000087,-0.1466941842469324
ACH-000092,-0.08457203412676967
ACH-000095,-0.27949190002668
ACH-000097,-0.1730700588327607
ACH-000098,-0.1151890332304314
ACH-000099,-0.06884916010431721
ACH-000108,-0.032067941683147874
ACH-000113,-0.0652878978968557
ACH-000116,-0.05505017672273972
ACH-000118,-0.02534125751552373
ACH-000120,-0.1311343153022349
ACH-000123,-0.1913279651222205
ACH-000127,-0.08193555767141646
ACH-000128,-0.09249820418889468
ACH-000132,-0.150319956732418
ACH-000133,-0.0726645133067012
ACH-000137,-0.011855655561968614
ACH-000138,-0.007911764733430032
ACH-000142,-0.08186445184059994
ACH-000143,-0.1352381287906958
ACH-000146,-0.17160018669338914
ACH-000148,-0.2710919927920992
ACH-000150,-0.05514989088382638
ACH-000152,-0.1325204131569205
ACH-000153,0.09745291578119444
ACH-000159,-0.11470130312479725
ACH-000160,-0.109503556456132
ACH-000163,0.03643407368499856
ACH-000167,-0.3126124050835326
ACH-000168,0.08981264480716053
ACH-000169,-0.1573083893013418
ACH-000178,-0.16675508698900268
ACH-000183,-0.11141921551314676
ACH-000188,-0.3247883524808524
ACH-000189,0.03802979560239403
ACH-000190,-0.3226245153941532
ACH-000198,-0.09979389629512396
ACH-000203,-0.4295124774420824
ACH-000204,-0.19753475319431055
ACH-000206,0.02153758498740347
ACH-000207,-0.04277228543066956
ACH-000208,-0.16247685122781605
ACH-000210,-0.014284270463951362
ACH-000211,-0.2567080767215271
ACH-000215,-0.2292608247322581
ACH-000221,-0.1952427466323932
ACH-000222,-0.040531899020916536
ACH-000223,-0.14830344008024715
ACH-000226,-0.06940716025967941
ACH-000227,-0.34018756628268065
ACH-000228,-0.13233916453946135
ACH-000231,-0.1361506929080272
ACH-000232,-0.10784415305928476
ACH-000233,-0.09877853497467837
ACH-000234,-0.084832922465775
ACH-000235,-0.18893201487283556
ACH-000237,-0.11951168792484287
ACH-000238,-0.2216123597739439
ACH-000242,0.11384887989099385
ACH-000243,-0.15440183459352058
ACH-000244,-0.2890282265144008
ACH-000246,-0.1278005556344031
ACH-000248,-0.0853414263887098
ACH-000250,-0.2052719021115812
ACH-000251,-0.19808246435793814
ACH-000252,-0.06624652637517227
ACH-000253,-0.2162356513987734
