,HIST1H4K (8362)
ACH-000004,-0.44728389633634
ACH-000005,-0.5813416446122082
ACH-000007,-0.2768979311392317
ACH-000009,-0.35252855715416714
ACH-000011,-0.4869700717274793
ACH-000012,-0.16896480904550598
ACH-000013,-0.17497456762925792
ACH-000014,-0.3444620414238793
ACH-000015,-0.3330268860990361
ACH-000017,-0.22558113645589795
ACH-000018,-0.4277051492383181
ACH-000019,-0.23708200396927356
ACH-000021,-0.1727690970708562
ACH-000022,-0.4129257880784863
ACH-000025,-0.3666289488620561
ACH-000028,-0.21621955997043804
ACH-000030,-0.3822813808914473
ACH-000035,-0.5313915918774044
ACH-000036,-0.18568566682112006
ACH-000037,-0.133071488422916
ACH-000039,-0.310912642437684
ACH-000040,-0.4628402447543249
ACH-000041,-0.3054176820736874
ACH-000042,-0.34445233961749244
ACH-000045,-0.39048302612521457
ACH-000047,-0.25513545851751884
ACH-000052,-0.4498366622599596
ACH-000053,-0.3761373450414677
ACH-000054,-0.4199962424846677
ACH-000055,-0.18761630280399666
ACH-000060,-0.5238904649603987
ACH-000067,-0.2800801000038464
ACH-000070,-0.3159998397694968
ACH-000075,-0.3008945771279946
ACH-000078,-0.3027834454668933
ACH-000082,-0.32594342267836324
ACH-000085,-0.2028836731818669
ACH-000086,-0.4491127170038178
ACH-000087,-0.2096897647202181
ACH-000092,-0.23575467936806316
ACH-000095,-0.4434807643715927
ACH-000097,-0.2930938562751212
ACH-000098,-0.4494338202586799
ACH-000099,-0.1791403922977404
ACH-000108,-0.2862414802090752
ACH-000113,-0.5180141308354995
ACH-000116,-0.33512630549528755
ACH-000118,-0.5456227209229201
ACH-000120,-0.22284491744142212
ACH-000123,-0.4430084368469073
ACH-000127,-0.4775574711523246
ACH-000128,-0.246371946546992
ACH-000132,-0.24571444597780856
ACH-000133,-0.16721357293676867
ACH-000137,-0.3776739262536847
ACH-000138,-0.5858514111114118
ACH-000142,-0.3303569194653049
ACH-000143,-0.34441071762790393
ACH-000146,-0.4245718925576332
ACH-000148,-0.281422860971009
ACH-000150,-0.07624007581817131
ACH-000152,-0.36191593876480616
ACH-000153,-0.3159478880780957
ACH-000159,-0.4207983810758583
ACH-000160,-0.4511634438969107
ACH-000163,-0.4483449328480333
ACH-000167,-0.3840400130722931
ACH-000168,-0.4053703226566536
ACH-000169,-0.3984089954460589
ACH-000178,-0.4920560566383104
ACH-000183,-0.2835538590522883
ACH-000188,-0.4513976464260718
ACH-000189,-0.20892008811923368
ACH-000190,-0.4149365292543202
ACH-000198,-0.5606608070920271
ACH-000203,-0.04421608446805311
ACH-000204,-0.3578660059121849
ACH-000206,-1.117482973866464
ACH-000207,-0.4467796827729645
ACH-000208,-0.1491623014734254
ACH-000210,-0.10939059742621617
ACH-000211,-0.2814035875777824
ACH-000215,-0.25957189398073993
ACH-000221,-0.2219387578094785
ACH-000222,-0.473087905417664
ACH-000223,-0.4219593142527289
ACH-000226,-0.11951242117535818
ACH-000227,-0.3034783777184134
ACH-000228,-0.2473426643704397
ACH-000231,-0.4510588912398234
ACH-000232,-0.18281943012875834
ACH-000233,-0.3089547000639227
ACH-000234,-0.3882581742306112
ACH-000235,-0.3281951663673962
ACH-000237,-0.2923324014892893
ACH-000238,-0.3835485551236144
ACH-000242,-0.05158821700080077
ACH-000243,-0.3634881294559936
ACH-000244,-0.4631797421316896
ACH-000246,-0.2209021811505576
ACH-000248,-0.14512476157982748
ACH-000250,-0.2387413112190344
ACH-000251,-1.0503900938538333
ACH-000252,-0.16461190422193275
ACH-000253,-0.35283945961602936
ACH-000255,-0.2712861059271976
ACH-000256,-0.458538224975317
ACH-000257,-0.2267304466548181
ACH-000258,-0.4308661397078846
ACH-000259,-0.28078306561357674
ACH-000260,-0.3440341167307112
ACH-000261,-0.3029959174969245
ACH-000262,-0.19257930821458552
ACH-000263,-0.3473744420485209
ACH-000264,-0.3285359274207836
ACH-000265,-0.4682687185949938
ACH-000266,-0.4608302720530537
ACH-000272,-0.3990368151894572
ACH-000274,-0.2719762096663099
ACH-000277,-0.3856388955388413
ACH-000278,-0.3434178024789947
ACH-000279,-0.2174299830010709
ACH-000280,-0.5923623569754941
ACH-000281,-0.4287566630753572
ACH-000288,-0.0527577561962184
ACH-000291,-0.22470746666670896
ACH-000293,-0.2035737335865068
ACH-000294,-0.23340749406159025
ACH-000295,-0.43699443850537695
ACH-000296,-0.328683986679086
ACH-000302,-0.2240148901832888
ACH-000304,-0.2958043866061641
ACH-000307,-0.4664673003182535
ACH-000308,-0.2687887329525453
ACH-000310,-0.2605186021580595
ACH-000311,-0.3184076809315364
ACH-000312,-0.20666145873394412
ACH-000315,-0.10536482466155588
ACH-000316,-0.2574036430795004
ACH-000317,-0.25880417085839
ACH-000318,-0.20040607514704956
ACH-000319,-0.4332764080134762
ACH-000320,-0.4397325476726979
ACH-000322,-0.03774575423671495
ACH-000323,-0.2766193070957409
ACH-000324,-0.3485799187117339
ACH-000329,-0.3763126352350097
ACH-000330,-0.012495258287990231
ACH-000331,-0.30877581591425224
ACH-000332,-0.4128347207478644
ACH-000334,-0.231742859794858
ACH-000335,-0.3722466251487012
ACH-000336,-0.4974830468302018
ACH-000337,0.05897666812651161
ACH-000338,0.16554743275734046
ACH-000339,-0.2450301826027779
ACH-000341,-0.24144369110173694
ACH-000348,-0.30077530867055113
ACH-000350,-0.2571571227537773
ACH-000352,-0.3551506303709589
ACH-000356,-0.4222362178688022
ACH-000361,-0.5785590973354462
ACH-000362,-0.6878850810084693
ACH-000363,-0.20896355240743736
ACH-000364,-0.4480629344419169
ACH-000365,-0.16119666005207614
ACH-000366,-0.17841508411036264
ACH-000368,-0.23863964896592285
ACH-000374,-0.4400490538328414
ACH-000375,-0.15990351996110252
ACH-000376,-0.1999956974275136
ACH-000381,-0.29183375846399395
ACH-000383,-0.5295741990372304
ACH-000387,-0.3710086730524002
ACH-000389,-0.2706123228738669
ACH-000390,-0.3588286494944967
ACH-000393,-0.4927073908475063
ACH-000395,-0.3075589317599799
ACH-000396,-0.21909574750246652
ACH-000397,-0.3753095037346912
ACH-000401,-0.2197533726452504
ACH-000402,-0.39630054936061054
ACH-000403,-0.4082378596615879
ACH-000404,-0.10698812762913038
ACH-000406,-0.512237146569014
ACH-000407,-0.2389562946453607
ACH-000408,-0.5483343219029333
ACH-000410,-0.17980412946678073
ACH-000411,-0.4340028564122097
ACH-000414,-0.4254908148867183
ACH-000415,-0.1787036692311067
ACH-000416,-0.2330708517897752
ACH-000420,-0.33442977370801724
ACH-000421,-0.4693826139100599
ACH-000424,-0.2383539328423605
ACH-000425,-0.21639036525955
ACH-000426,-0.5950385406890699
ACH-000427,-0.33702036540203195
ACH-000433,-0.10130447842669857
ACH-000435,0.08266571210898686
ACH-000436,-0.5571507185635246
ACH-000444,-0.27760739649509536
ACH-000445,-0.22512230786491688
ACH-000448,-0.2958327925731123
ACH-000450,-0.6624382218577304
ACH-000452,-0.3351204817323883
ACH-000454,-0.5533371920158693
ACH-000458,-0.687112725229173
ACH-000459,-0.6920877687949029
ACH-000460,-0.2162399088039992
ACH-000461,-0.4461668704804011
ACH-000463,-0.19283990002684964
ACH-000464,-0.37401687343568185
ACH-000466,-0.3022840069287237
ACH-000467,-0.2893190842618651
ACH-000468,-0.22434664952300795
ACH-000469,-0.4035991196494144
ACH-000470,-0.3333114405135573
ACH-000471,-0.43273296656745536
ACH-000472,-0.22727233014676854
ACH-000473,-0.34224131784887435
ACH-000475,-0.3040604562800545
ACH-000476,-0.384547022854831
ACH-000477,-0.5151901719308176
ACH-000479,-0.1977735853228801
ACH-000480,-0.11632678636246906
ACH-000481,-0.3729940579635884
ACH-000483,-0.4056894639226191
ACH-000484,-0.2914050069447008
ACH-000485,-0.3030505892105925
ACH-000486,-0.40016260248520175
ACH-000487,-0.891347984401
ACH-000488,-0.2991278322760398
ACH-000490,-0.2936726659057947
ACH-000491,-0.4926137202564675
ACH-000495,-0.4657985491783361
ACH-000496,-0.30901123216772763
ACH-000499,-0.2730353512959384
ACH-000500,-0.05592363517579551
ACH-000502,-0.4055151071760594
ACH-000503,-0.4227784924179583
ACH-000505,-0.418872417021678
ACH-000507,-0.2835320732827082
ACH-000510,-0.13372730431109786
ACH-000511,-0.2992980030091073
ACH-000512,-0.5574348662196825
ACH-000516,-0.4466789356202861
ACH-000517,-0.3963255790704567
ACH-000518,-0.6148742616650826
ACH-000520,-0.21031017153276613
ACH-000521,-0.15017770525119892
ACH-000522,-0.34991915689516845
ACH-000524,-0.4025785941920377
ACH-000527,-0.12792058350273475
ACH-000528,-0.2679143562034525
ACH-000537,-0.3614336491034345
ACH-000541,-0.5640121348478758
ACH-000542,-0.4254187722348247
ACH-000544,-0.21863117904644372
ACH-000545,-0.3902406184709241
ACH-000547,-0.15404204802460505
ACH-000548,-0.4751094861389174
ACH-000549,-0.36304246999563394
ACH-000550,-0.30329550938637234
ACH-000552,-0.6031384520205465
ACH-000556,-0.30701176349599313
ACH-000557,-0.2126983252062956
ACH-000569,-0.05804820616780292
ACH-000570,-0.19129225251829335
ACH-000571,-0.4031844403541645
ACH-000573,-0.3831376355799293
ACH-000576,-0.1907381845261288
ACH-000579,-0.475553656525244
ACH-000580,-0.3858284259649522
ACH-000584,-0.3919081440746266
ACH-000585,-0.32532432128400063
ACH-000588,-0.3240599795526891
ACH-000589,-0.2493319151320716
ACH-000591,-0.27133050521200724
ACH-000593,-0.3346058837598672
ACH-000600,-0.4169030223316507
ACH-000601,-0.2772787240906641
ACH-000605,-0.3515016050352309
ACH-000606,-0.4466250220796325
ACH-000608,-0.40122866110582733
ACH-000614,-0.2323438040341061
ACH-000616,-0.2662202562337632
ACH-000618,-0.3785834748415864
ACH-000619,-0.5304042469987962
ACH-000620,-0.3465242075796322
ACH-000621,-0.3088460127890177
ACH-000622,-0.22226792688129854
ACH-000623,-0.35427722032711995
ACH-000624,-0.3377429179852054
ACH-000627,-0.3614433472379507
ACH-000630,-0.3096342153475215
ACH-000631,-0.3855226396882793
ACH-000632,-0.1895365680761062
ACH-000633,-0.192657966103636
ACH-000637,-0.5865530608324968
ACH-000638,-0.3868923604120075
ACH-000646,-0.18505907464900606
ACH-000647,-0.3753448309859896
ACH-000648,-0.12719922171824405
ACH-000649,-0.2645215884464875
ACH-000651,-0.23769481953127766
ACH-000652,-0.3396472887121889
