,NPTX1 (4884)
ACH-000004,0.05104014109357754
ACH-000005,-0.3662689933217027
ACH-000007,-0.12597100725302887
ACH-000009,-0.17664049650486802
ACH-000011,-0.1731189771788879
ACH-000012,0.10431449793090633
ACH-000013,-0.01343573110619593
ACH-000014,-0.2682877401627576
ACH-000015,-0.0568742490219815
ACH-000017,-0.23001606673068845
ACH-000018,0.03556014512685901
ACH-000019,-0.214358718145626
ACH-000021,-0.23407016184621865
ACH-000022,-0.1817631148326612
ACH-000025,-0.11698326464177232
ACH-000028,-0.1681070693439905
ACH-000030,-0.1252526690001751
ACH-000035,-0.08760454758069379
ACH-000036,-0.23418806251113056
ACH-000037,-0.11852510965849485
ACH-000039,-0.10096382474099998
ACH-000040,-0.20129107173353672
ACH-000041,-0.2154971149029956
ACH-000042,-0.21611801497798755
ACH-000045,-0.09015561501739576
ACH-000047,-0.1849258332809416
ACH-000052,-0.19746241948915344
ACH-000053,-0.02148093300349326
ACH-000054,-0.2024618046562672
ACH-000055,-0.33244037145728433
ACH-000060,-0.12268573358666095
ACH-000067,-0.11200449895192248
ACH-000070,0.015394929069413834
ACH-000075,-0.20646696248375548
ACH-000078,-0.2949304323540439
ACH-000082,-0.10273417973044817
ACH-000085,-0.04738145861579839
ACH-000086,-0.13909564107396055
ACH-000087,-0.013004510106592605
ACH-000092,-0.09853170918559108
ACH-000095,-0.30971068527120194
ACH-000097,-0.18073259673031195
ACH-000098,-0.09716871422029597
ACH-000099,-0.3836497495201382
ACH-000108,-0.09146434815626332
ACH-000113,-0.028034002335255968
ACH-000116,-0.2044588529587032
ACH-000118,-0.14924819225813138
ACH-000120,-0.2502513634561743
ACH-000123,-0.03973247472280745
ACH-000127,-0.1257669844513712
ACH-000128,-0.10358754468174328
ACH-000132,-0.2649124202467803
ACH-000133,-0.09759018500845804
ACH-000137,-0.06593555304171987
ACH-000138,-0.23504904772561644
ACH-000142,-0.12720711192677334
ACH-000143,-0.2795331564532153
ACH-000146,0.021289158946814532
ACH-000148,-0.12581678815186287
ACH-000150,-0.11825466126874375
ACH-000152,-0.17754590407749832
ACH-000153,0.05665276896001966
ACH-000159,-0.18911836502688184
ACH-000160,-0.1434768029766878
ACH-000163,-0.08547193982775897
ACH-000167,0.07020196292647145
ACH-000168,-0.1749576725628236
ACH-000169,-0.10025900864664927
ACH-000178,-0.07927933622354362
ACH-000183,-0.06674075083005349
ACH-000188,-0.15627230690428562
ACH-000189,-0.05388832653894294
ACH-000190,-0.24459836660312725
ACH-000198,-0.20270983394981404
ACH-000203,-0.3512778290471681
ACH-000204,-0.14974262978377026
ACH-000206,-0.2297239085356787
ACH-000207,-0.14277126485489652
ACH-000208,0.20619910161237545
ACH-000210,-0.26548489542793985
ACH-000211,-0.2162323784382864
ACH-000215,-0.13302105407834555
ACH-000221,-0.3744452107279289
ACH-000222,-0.21693736000111924
ACH-000223,-0.12731929754342522
ACH-000226,-0.061642366937264874
ACH-000227,-0.30551069796236796
ACH-000228,-0.08449351930604028
ACH-000231,-0.1971399519742981
ACH-000232,-0.15589842068473184
ACH-000233,0.06728555240121505
ACH-000234,-0.13220234664844735
ACH-000235,-0.1963361752816376
ACH-000237,-0.08921561129577077
ACH-000238,-0.2194385488021377
ACH-000242,0.2651466655285251
ACH-000243,-0.24412202578961684
ACH-000244,-0.01253601083854725
ACH-000246,-0.2457638973370101
ACH-000248,-0.12622372783926494
ACH-000250,-0.09444179160496546
ACH-000251,-0.09347595828624383
ACH-000252,-0.0595100190645834
ACH-000253,-0.15188315078212036
ACH-000255,-0.22856971599002565
ACH-000256,-0.13233207944896375
ACH-000257,-0.2203497067756464
ACH-000258,0.03900492624427552
