,NR2C1 (7181)
ACH-000004,-0.04085562398672926
ACH-000005,-0.4729480882178357
ACH-000007,-0.027489141971957096
ACH-000009,-0.19160893696909065
ACH-000011,-0.11975020474383187
ACH-000012,-0.11725796591136985
ACH-000013,-0.13087211723784106
ACH-000014,-0.17671178125281722
ACH-000015,-0.05234120462860115
ACH-000017,-0.07200917637514719
ACH-000018,0.058984469714041275
ACH-000019,-0.2474700814399047
ACH-000021,-0.1544703620477898
ACH-000022,0.01572025359899279
ACH-000025,-0.16069004462618694
ACH-000028,-0.06359319130123332
ACH-000030,-0.05625526412445941
ACH-000035,-0.07162927692021208
ACH-000036,-0.10248778845685597
ACH-000037,-0.10812766101114367
ACH-000039,-0.14956237442857911
ACH-000040,-0.06171194848469255
ACH-000041,-0.21861808159882176
ACH-000042,-0.05514993523264631
ACH-000045,-0.039482731475437016
ACH-000047,-0.1327658551681164
ACH-000052,-0.15251062855484654
ACH-000053,-0.09209909523092832
ACH-000054,-0.1807702774799176
ACH-000055,-0.04816945863974492
ACH-000060,-0.05941569234053375
ACH-000067,-0.1911010650927391
ACH-000070,-0.057189897044076926
ACH-000075,0.09158171218816016
ACH-000078,-0.0843470279792646
ACH-000082,-0.152014110581146
ACH-000085,-0.19291279886216608
ACH-000086,-0.2489983400474229
ACH-000087,-0.2607606491833512
ACH-000092,-0.07978145660764066
ACH-000095,-0.1269448355058258
ACH-000097,-0.13717059037948673
ACH-000098,-0.039017150872230635
ACH-000099,-0.14803914516051395
ACH-000108,0.09790664797783424
ACH-000113,0.013435010816369776
ACH-000116,-0.20236749495359665
ACH-000118,-0.07367859740156447
ACH-000120,-0.12076950460697307
ACH-000123,-0.1765683230184535
ACH-000127,-0.06533848885896615
ACH-000128,-0.119425331785467
ACH-000132,0.06053647697474536
ACH-000133,-0.2417333800608227
ACH-000137,-0.19986525764112428
ACH-000138,-0.05635497384724208
ACH-000142,-0.18308703259964085
ACH-000143,-0.08823370560136994
ACH-000146,-0.04733898908748945
ACH-000148,-0.1394964990247992
ACH-000150,-0.034373467773320884
ACH-000152,-0.2343024009182651
ACH-000153,-0.2591855113809893
ACH-000159,-0.06463531568303785
ACH-000160,-0.1046588351725262
ACH-000163,-0.0023132508196543056
ACH-000167,-0.1814665871147401
ACH-000168,0.09709484825882432
ACH-000169,-0.1047289963741894
ACH-000178,-0.07266572890842866
ACH-000183,-0.2014134967410283
ACH-000188,-0.029996961766505056
ACH-000189,-0.09626800321706593
ACH-000190,-0.06357993574524462
ACH-000198,-0.17374833715156876
ACH-000203,0.04602062059560781
ACH-000204,-0.06453644709032652
ACH-000206,-0.10238603048042846
ACH-000207,-0.11358574754380893
ACH-000208,-0.11061968195519176
ACH-000210,0.13443779983906395
ACH-000211,-0.1481355948715138
ACH-000215,-0.17301024580273058
