,SYDE2 (84144)
ACH-000004,-0.2028745152238305
ACH-000005,-0.15465677979356834
ACH-000007,-0.20930026631736315
ACH-000009,-0.013346706651195693
ACH-000011,-0.2666231763294247
ACH-000012,-0.29136874641019306
ACH-000013,-0.15423322647691828
ACH-000014,-0.2823587221891313
ACH-000015,-0.1995334844010253
ACH-000017,-0.21321312289281666
ACH-000018,-0.2326693812669793
ACH-000019,-0.36580511785442205
ACH-000021,-0.1484413417825293
ACH-000022,-0.29030917792936906
ACH-000025,-0.33461896854775913
ACH-000028,-0.19113210923594687
ACH-000030,-0.20984014090188624
ACH-000035,-0.3192969312627648
ACH-000036,-0.13724486563007482
ACH-000037,0.007541601337411315
ACH-000039,0.12265040707586335
ACH-000040,-0.17049288380571376
ACH-000041,-0.14739691638131686
ACH-000042,-0.14953559299608918
ACH-000045,-0.15904287371808515
ACH-000047,-0.2813088960072333
ACH-000052,-0.2586730662427851
ACH-000053,-0.1768665061345686
ACH-000054,-0.19213608330080775
ACH-000055,-0.1379441656646702
ACH-000060,-0.21725172103152365
ACH-000067,-0.3373768566241401
ACH-000070,-0.3726175211112509
ACH-000075,-0.14179031842608308
ACH-000078,-0.20225533628115785
ACH-000082,-0.2586879243858146
ACH-000085,-0.1607116299032961
ACH-000086,-0.14768046442993804
ACH-000087,-0.16622866763874225
ACH-000092,-0.0689435262189455
ACH-000095,-0.08731245618507696
ACH-000097,-0.39399657041446856
ACH-000098,-0.1731924369228148
ACH-000099,-0.10625619942833074
ACH-000108,-0.016204446111770632
ACH-000113,-0.10105656253632092
ACH-000116,-0.12901192122702773
ACH-000118,-0.1972323869917508
ACH-000120,0.031419937046834864
ACH-000123,-0.06633600342919907
ACH-000127,-0.13402599003714602
ACH-000128,-0.1306226370259111
ACH-000132,-0.15711937433997353
ACH-000133,-0.2548153579215883
ACH-000137,-0.1974742849833804
ACH-000138,-0.13800696374873395
ACH-000142,-0.035437879852897765
ACH-000143,-0.21935429460930292
ACH-000146,-0.13222373938569426
ACH-000148,-0.1377966743428726
ACH-000150,-0.2056305666859018
ACH-000152,-0.2312663456145361
ACH-000153,-0.18652634337712906
ACH-000159,-0.17724178652044034
ACH-000160,-0.026353029297224315
ACH-000163,0.0559581656178674
ACH-000167,-0.13444783097272672
ACH-000168,0.005166937599676545
ACH-000169,-0.183197750441628
ACH-000178,-0.14972095427345322
ACH-000183,-0.07897861766665996
ACH-000188,-0.16624441994206787
