,RAP2A (5911)
ACH-000004,-0.18306308966463236
ACH-000005,-0.28202900045271706
ACH-000007,-0.2758789679060376
ACH-000009,-0.17422895124149634
ACH-000011,-0.11936941801543795
ACH-000012,-0.31083116519873144
ACH-000013,-0.3810157991101717
ACH-000014,-0.2894355605639229
ACH-000015,-0.1832497700690071
ACH-000017,-0.4835227511064572
ACH-000018,-0.1789101607123869
ACH-000019,-0.205821091507164
ACH-000021,-0.1906800034866516
ACH-000022,-0.3342458140651608
ACH-000025,-0.3633009167592353
ACH-000028,-0.2714499938041783
ACH-000030,-0.22525733322265776
ACH-000035,-0.21061145653821675
ACH-000036,-0.2341112530310798
ACH-000037,-0.2833192478887838
ACH-000039,-0.2343068117775418
ACH-000040,-0.25951593779104737
ACH-000041,-0.35867176829985603
ACH-000042,-0.1799741688743398
ACH-000045,-0.18867764973551807
ACH-000047,-0.11516086016259328
ACH-000052,-0.12899244627670106
ACH-000053,-0.22429710954462065
ACH-000054,-0.35300927375264884
ACH-000055,-0.15801102263406294
ACH-000060,-0.43767121101772577
ACH-000067,-0.4368472005029268
ACH-000070,-0.1859994639428948
ACH-000075,-0.2406323431530205
ACH-000078,-0.4725637652209925
ACH-000082,-0.2864141777858977
ACH-000085,-0.4001617135124953
ACH-000086,-0.4302936448048542
ACH-000087,-0.2871140219070733
ACH-000092,-0.20939488513315807
ACH-000095,-0.2925666771408248
ACH-000097,-0.28147073255358
ACH-000098,-0.1385254837985617
ACH-000099,-0.4547700415293839
ACH-000108,-0.20166957018907872
ACH-000113,-0.3047509844639783
ACH-000116,-0.4189234698587571
ACH-000118,-0.2382214936070901
ACH-000120,-0.35492288313401
ACH-000123,-0.2390624805169939
ACH-000127,-0.3191420414434411
ACH-000128,-0.33783372973480985
ACH-000132,-0.3227532736134438
ACH-000133,-0.19833749111152096
ACH-000137,-0.2156697797578153
ACH-000138,-0.14735977276680634
ACH-000142,-0.14412679042022114
ACH-000143,-0.04564128700908302
ACH-000146,-0.26513216592683875
ACH-000148,-0.16367371843726286
ACH-000150,-0.3214266701060042
ACH-000152,-0.33363096509767504
ACH-000153,-0.2603471290625524
ACH-000159,-0.39833857390996896
ACH-000160,-0.3191126150615989
ACH-000163,-0.2919865497645695
ACH-000167,-0.5438302455433753
ACH-000168,-0.44564294894043394
ACH-000169,-0.2886124111552779
ACH-000178,-0.3092391883720969
ACH-000183,-0.20307688117351186
ACH-000188,-0.3219322378246867
ACH-000189,-0.1028204489137603
ACH-000190,-0.2342632412078177
ACH-000198,-0.3296658957040143
ACH-000203,-0.7185342838072273
ACH-000204,-0.3678496292218551
ACH-000206,-0.3139985173024144
ACH-000207,-0.32807473485717364
ACH-000208,-0.33634518658947743
ACH-000210,-0.6770205334689074
ACH-000211,-0.2455130798852385
ACH-000215,-0.26530544349644897
ACH-000221,-0.1793926485822293
ACH-000222,-0.26607657513433497
ACH-000223,-0.28469974394435194
ACH-000226,-0.08926465472573672
ACH-000227,-0.4117934456573186
ACH-000228,-0.2084426236491681
ACH-000231,-0.27071690618699384
ACH-000232,-0.3447321151916449
ACH-000233,-0.3443895638141664
ACH-000234,-0.39147587727955024
ACH-000235,-0.2527617176880221
ACH-000237,-0.3547851657138811
ACH-000238,-0.2316856536314476
ACH-000242,-0.2997065919613503
ACH-000243,-0.24511996543384776
ACH-000244,-0.08607025509866156
ACH-000246,-0.19529456382292668
ACH-000248,-0.2947467630642488
ACH-000250,-0.2790196531534212
ACH-000251,-0.1861651603063285
ACH-000252,-0.3335221246410653
ACH-000253,-0.2733261136460034
ACH-000255,-0.24129376570823946
ACH-000256,-0.2614905044547069
ACH-000257,-0.06615518290954447
ACH-000258,-0.4153169016665326
ACH-000259,-0.19902856199905505
ACH-000260,-0.29695524578194377
ACH-000261,-0.3030825938656525
ACH-000262,-0.3089744754878588
ACH-000263,-0.2423345821759987
ACH-000264,-0.3407321897229589
ACH-000265,-0.29860140872927504
ACH-000266,-0.18577792415081285
ACH-000272,-0.3626270117400851
ACH-000274,-0.3479289172499189
ACH-000277,-0.17975005823287105
ACH-000278,-0.3541753437439174
ACH-000279,-0.289726751445242
ACH-000280,-0.2687387671494202
