,UPK3BL (100134938)
ACH-000004,0.002393478525305007
ACH-000005,-0.2927193578745661
ACH-000007,-0.18653434644143813
ACH-000009,-0.017452978884363174
ACH-000011,-0.4410865379150619
ACH-000012,-0.1294966730490208
ACH-000013,-0.02052073611753969
ACH-000014,-0.18583639798967733
ACH-000015,-0.0715051219424507
ACH-000017,-0.0697284065715274
ACH-000018,-0.11912013872136235
ACH-000019,-0.2445452034185037
ACH-000021,-0.22705387888150774
ACH-000022,-0.0666972332372042
ACH-000025,-0.11017481270779866
ACH-000028,-0.25998096931671416
ACH-000030,-0.04162464065582898
ACH-000035,-0.15619619594762893
ACH-000036,-0.2453026547662568
ACH-000037,-0.12334904163276562
ACH-000039,-0.26336263696965706
ACH-000040,-0.2222570170795744
ACH-000041,-0.007277028736621458
ACH-000042,-0.22124876428226292
ACH-000045,-0.14000709310995912
ACH-000047,-0.2896137814481697
ACH-000052,0.022377848815539628
ACH-000053,-0.2091608689862672
ACH-000054,-0.22094522117106025
ACH-000055,-0.16971985342126472
ACH-000060,-0.38339380718173416
ACH-000067,-0.19648496888742392
ACH-000070,-0.0797642239328543
ACH-000075,-0.22628537904571155
ACH-000078,0.036829368061152785
ACH-000082,-0.23676433784274775
ACH-000085,-0.5388808980930075
ACH-000086,0.09515134155657763
ACH-000087,-0.1293207052434439
ACH-000092,0.0795889161247348
ACH-000095,-0.02685134075494669
ACH-000097,-0.4301107368962471
ACH-000098,-0.03847350376769525
ACH-000099,-0.13334882374272208
ACH-000108,-0.12300012934917592
ACH-000113,-0.10855375316954352
ACH-000116,-0.23195984856443336
ACH-000118,-0.13092096070212594
ACH-000120,-0.15588588913624984
ACH-000123,-0.09573537153899336
ACH-000127,-0.11710702117057585
ACH-000128,-0.16295536971008875
ACH-000132,-0.033583797285641634
ACH-000133,-0.3114594628686371
ACH-000137,-0.10978682003042714
ACH-000138,0.0007639620168707546
ACH-000142,-0.23627924143216916
ACH-000143,0.025857269059225224
ACH-000146,-0.08499271689017641
ACH-000148,-0.15259996450591812
ACH-000150,-0.09359121057838554
ACH-000152,0.11997012089135807
ACH-000153,-0.0710317417122167
ACH-000159,-0.3102704367132708
ACH-000160,-0.02192740461584313
ACH-000163,-0.1901138787979592
ACH-000167,-0.34097332364451804
ACH-000168,-0.08663914469501773
ACH-000169,-0.07689906201329312
ACH-000178,-0.2456923688298649
ACH-000183,-0.1939135583740178
ACH-000188,-0.13764534308352647
ACH-000189,-0.15967633441501966
ACH-000190,-0.2384300925011761
ACH-000198,-0.14763639804492926
ACH-000203,-0.4199724923413535
ACH-000204,-0.1376196903111399
ACH-000206,0.09094488486730926
ACH-000207,-0.058249549641249836
ACH-000208,-0.1734872031485612
ACH-000210,-0.17566768820370776
ACH-000211,-0.2522782001272698
ACH-000215,-0.10892440567457028
ACH-000221,-0.09617992136661188
ACH-000222,0.12001955170178527
ACH-000223,-0.13794129528057653
