,CRAMP1L (57585)
ACH-000004,-0.1330286443371095
ACH-000005,-0.4111577091235937
ACH-000007,-0.5574191775225541
ACH-000009,-0.3078052068614735
ACH-000011,-0.5183741611698585
ACH-000012,-0.3070317460688816
ACH-000013,-0.25623488990440857
ACH-000014,-0.3688635118093179
ACH-000015,-0.2744499272683104
ACH-000017,-0.4873188246489143
ACH-000018,-0.35109539951891866
ACH-000019,-0.39687934800126334
ACH-000021,-0.31535352408048145
ACH-000022,-0.3944103569206357
ACH-000025,-0.1971835292279837
ACH-000028,-0.5203961764766717
ACH-000030,-0.19950783831096786
ACH-000035,-0.1680770059925713
ACH-000036,-0.6070997116583803
ACH-000037,-0.11679671137927645
ACH-000039,-0.3516042848149457
ACH-000040,-0.29415334584015435
ACH-000041,-0.2793861606218441
ACH-000042,-0.2419492324659171
ACH-000045,-0.04306426641531779
ACH-000047,-0.1831128049601796
ACH-000052,-0.2558128222537844
ACH-000053,0.24552067893482604
ACH-000054,-0.447112154147116
ACH-000055,-0.4963698724901596
ACH-000060,-0.12171686991918945
ACH-000067,-0.17207911236223356
ACH-000070,-0.4545118058308267
ACH-000075,-0.41812105199168426
ACH-000078,-0.4440159274056468
ACH-000082,-0.4143977536844274
ACH-000085,-0.2516768991705408
ACH-000086,-0.29885105460057826
ACH-000087,-0.1876838671590815
ACH-000092,-0.4694151281745264
ACH-000095,-0.2040088623383801
ACH-000097,-0.2925827812077345
ACH-000098,-0.6194909774135368
ACH-000099,-0.4549588519454144
ACH-000108,-0.13657039405788168
ACH-000113,-0.11353264670416276
ACH-000116,-0.3696942636224209
ACH-000118,-0.4117092841532106
ACH-000120,-0.3760088189286255
ACH-000123,-0.5617811024040427
ACH-000127,-0.17692773769781506
ACH-000128,-0.3201854183373251
ACH-000132,-0.5292539342747429
ACH-000133,-0.4995698083879577
ACH-000137,-0.31665575204360896
ACH-000138,-0.18341594351949453
ACH-000142,-0.2515357025240162
ACH-000143,-0.4805735093189403
ACH-000146,-0.4251581000197325
ACH-000148,-0.4209221496179569
ACH-000150,0.01399594027939625
ACH-000152,-0.1834498558901495
ACH-000153,-0.0855692760271977
ACH-000159,-0.3101337529072403
ACH-000160,-0.21679508609354434
ACH-000163,0.0125736096994305
ACH-000167,0.4492658456365591
ACH-000168,-0.17774187462908791
ACH-000169,-0.6720829696452788
ACH-000178,-0.5817069724751524
ACH-000183,-0.7066000270478366
ACH-000188,-0.5497766949980629
ACH-000189,-0.2521289031763237
ACH-000190,-0.16310129830208725
ACH-000198,-0.3796957357771272
ACH-000203,-0.8712538776874159
ACH-000204,-0.4956754695658165
ACH-000206,-0.4239944519318747
ACH-000207,-0.13834894685048002
ACH-000208,0.3011496085839107
ACH-000210,-0.6041709021109691
ACH-000211,-0.24647555560361606
ACH-000215,-0.30271099184263084
ACH-000221,-0.5628522478698418
ACH-000222,-0.4116995458003309
ACH-000223,-0.16379535137528456
ACH-000226,-0.1340591875791545
ACH-000227,-0.4389244191975469
ACH-000228,-0.04162362344256243
ACH-000231,-0.4036237204633376
ACH-000232,-0.031190877275831475
ACH-000233,-0.19289554165087608
ACH-000234,-0.35195545046964977
ACH-000235,-0.35326609357966576
ACH-000237,-0.4022491569306277
ACH-000238,-0.14930352777274486
ACH-000242,-0.19008488962085676
ACH-000243,-0.4982969531647334
ACH-000244,-0.3733550813000365
ACH-000246,-0.3816963422699805
ACH-000248,-0.5028004279108321
ACH-000250,-0.5434879821645914
ACH-000251,-0.2190255587414415
ACH-000252,-0.3576422917875811
ACH-000253,-0.6089297518756381
ACH-000255,0.19670616831382806
ACH-000256,-0.17298237880810308
ACH-000257,-0.29011778547709965
ACH-000258,-0.3523692151302249
ACH-000259,-0.5261858721353936
ACH-000260,-0.3089190135167367
ACH-000261,-0.2986431527801683
ACH-000262,-0.12547425347744884
ACH-000263,-0.055110681943592185
ACH-000264,-0.4306676755530434
ACH-000265,-0.01584726788695971
ACH-000266,-0.3089672260552218
ACH-000272,-0.3172368727204247
ACH-000274,-0.3138156767966249
ACH-000277,-0.3652357051603373
ACH-000278,-0.258615367808082
ACH-000279,-0.2439628611336978
ACH-000280,-0.3889582999648212
ACH-000281,-0.2968268187740856
ACH-000288,-0.1520631857890576
ACH-000291,-0.288051213304065
ACH-000293,-0.3115968590330355
ACH-000294,-0.2671656401592977
ACH-000295,-0.40370553840556256
ACH-000296,-0.368500550155944
ACH-000302,-0.2622757173369559
ACH-000304,-0.3052121855223144
ACH-000307,-0.32300453074873864
ACH-000308,-0.21316034932002173
ACH-000310,-0.32639842470397445
ACH-000311,-0.2657876327109358
ACH-000312,-0.4010713572427233
ACH-000315,-0.4118003883928084
ACH-000316,-0.2739943941147086
ACH-000317,-0.3352101005273939
ACH-000318,-0.2485027538404487
ACH-000319,-0.4032727543458125
ACH-000320,-0.3754686178100644
ACH-000322,-0.4198099395940124
ACH-000323,-0.2052759922699577
ACH-000324,-0.38993598009266905
ACH-000329,-0.3676502479375672
ACH-000330,-0.2400999962490459
ACH-000331,-0.3852350149445482
ACH-000332,-0.2878159226872327
ACH-000334,-0.2948899851248733
ACH-000335,-0.29414211348093017
ACH-000336,-0.5279513708253629
ACH-000337,-0.7611726295404637
ACH-000338,-0.1531507750821249
ACH-000339,-0.0029357182605374665
ACH-000341,-0.2693866162393793
ACH-000348,-0.25509024934756463
ACH-000350,-0.4846389083128531
ACH-000352,-0.6611926528109634
ACH-000356,-0.7668705547028476
ACH-000361,-0.7096141252211701
ACH-000362,-0.2874589399312167
ACH-000363,-0.6506010606374866
ACH-000364,-0.4049430338222832
ACH-000365,-0.29545755728956524
ACH-000366,-0.6401470795199155
ACH-000368,-0.2109111230397944
ACH-000374,-0.16469488062576615
ACH-000375,-0.31329300947084865
ACH-000376,-0.3505285207456356
ACH-000381,-0.3944536725078914
ACH-000383,-0.3416416883780608
ACH-000387,-0.41970317104552796
ACH-000389,-0.2519474000888571
ACH-000390,-0.4655703068590087
ACH-000393,-0.33484717409373105
ACH-000395,-0.09048272137844683
ACH-000396,-0.3392920568716371
ACH-000397,-0.4807317593228007
ACH-000401,-0.4401082128323451
ACH-000402,0.08698746581807508
ACH-000403,-0.5476744334668371
ACH-000404,-0.28273272233544283
ACH-000406,-0.3633365437693882
ACH-000407,-0.2690525336621466
ACH-000408,-0.14047370418965466
ACH-000410,-0.10974590084492138
ACH-000411,-0.3973799173744043
ACH-000414,-0.21850537428495026
ACH-000415,-0.4758871884106773
ACH-000416,-0.22561391056419786
ACH-000420,-0.4410034314914452
ACH-000421,-0.6004530952048891
ACH-000424,-0.44099265181315744
ACH-000425,-0.31070614620149684
ACH-000426,-0.32708928548094185
ACH-000427,-0.3051497795031999
ACH-000433,-0.4833488507591867
ACH-000435,-0.4552430150867032
ACH-000436,-0.9241630914248502
ACH-000444,-0.3980356567546726
ACH-000445,-0.16656300122421375
ACH-000448,-0.2687576335482582
ACH-000450,-0.235359813073028
ACH-000452,-0.4381402142299344
ACH-000454,-0.17478278569334402
ACH-000458,-0.4763331716307945
ACH-000459,-0.4045890341461396
ACH-000460,-0.3017015340702353
ACH-000461,-0.6663490656314889
ACH-000463,-0.2951813392032667
ACH-000464,-0.4988711239317709
