,CHAF1A (10036)
ACH-000004,-0.91785450801562
ACH-000005,-0.8652250338307272
ACH-000007,-0.7119098576873605
ACH-000009,-0.7862415592156159
ACH-000011,-0.9284377583449841
ACH-000012,-1.1234814915611218
ACH-000013,-0.9794524477161488
ACH-000014,-1.109458365708281
ACH-000015,-1.1817062952972384
ACH-000017,-1.0150338368605551
ACH-000018,-1.1459668218990742
ACH-000019,-0.8830612827480168
ACH-000021,-0.9324995863085036
ACH-000022,-1.0999814145618116
ACH-000025,-1.0052587214145279
ACH-000028,-1.0211238085490792
ACH-000030,-0.916627307168241
ACH-000035,-1.0915883031655045
ACH-000036,-0.8845201002871007
ACH-000037,-0.9055398262910404
ACH-000039,-0.9882795019299916
ACH-000040,-0.8125085853036023
ACH-000041,-1.258889332601559
ACH-000042,-0.6995780274299861
ACH-000045,-0.6680088005966212
ACH-000047,-1.09687135802656
ACH-000052,-1.0945040911899508
ACH-000053,-0.7832775168116698
ACH-000054,-0.8824852273544759
ACH-000055,-1.184505727655366
ACH-000060,-1.0635890950213611
ACH-000067,-1.2983815524695543
ACH-000070,-0.7597862843581005
ACH-000075,-0.9707049961672036
ACH-000078,-1.0429205585591697
ACH-000082,-0.9534268994275521
ACH-000085,-1.254873380625798
ACH-000086,-0.9651951776674241
ACH-000087,-1.1597871252297909
ACH-000092,-1.0443169942053503
ACH-000095,-0.9074340583984382
ACH-000097,-1.042979014805146
ACH-000098,-0.9688581067039675
ACH-000099,-0.9877819657347324
ACH-000108,-1.0805156510456078
ACH-000113,-1.200030409015152
ACH-000116,-1.3723379006332592
ACH-000118,-0.8900083363289865
ACH-000120,-1.0409275187281175
ACH-000123,-1.0105658911232536
ACH-000127,-0.7871991568206843
ACH-000128,-1.0811707521886549
ACH-000132,-1.1444229118320974
ACH-000133,-1.0753058473716282
ACH-000137,-1.046796042227898
ACH-000138,-0.9441863873921242
ACH-000142,-0.8132100472419166
ACH-000143,-0.9675491960283972
ACH-000146,-0.9058655170792786
ACH-000148,-0.9182049501171952
ACH-000150,-0.8819967190558905
ACH-000152,-0.8638554660961634
ACH-000153,-0.66387808651869
ACH-000159,-1.0842737191615202
ACH-000160,-0.8727582012916565
ACH-000163,-0.7453660225704725
ACH-000167,-1.2715685619137027
ACH-000168,-0.8697039486919846
ACH-000169,-0.8229878700079374
ACH-000178,-0.9635557331874458
ACH-000183,-0.91037826128656
ACH-000188,-1.1426089161604642
ACH-000189,-0.7666290495649382
ACH-000190,-0.8332011625459878
ACH-000198,-1.1131616805189704
ACH-000203,-1.144176608192808
ACH-000204,-0.7991076104304656
ACH-000206,-0.7709916725548768
ACH-000207,-0.8933439707753278
ACH-000208,-1.0334414232883682
ACH-000210,-0.891468532153812
ACH-000211,-1.026737553910815
ACH-000215,-1.0411964350100422
ACH-000221,-1.1580911061538537
ACH-000222,-0.9517595860617908
ACH-000223,-0.9966035166677994
ACH-000226,-0.8045105089276449
ACH-000227,-0.9333315562747538
ACH-000228,-1.026537145141011
ACH-000231,-0.8356218342358072
ACH-000232,-1.0404696943757998
ACH-000233,-1.062988066964741
ACH-000234,-1.0037149972258814
ACH-000235,-0.9090216430864296
ACH-000237,-1.1096880347066738
ACH-000238,-0.9392936826529252
ACH-000242,-1.1012131772164657
ACH-000243,-0.9784974671744632
ACH-000244,-0.8391600144732351
ACH-000246,-0.9657137350984959
ACH-000248,-1.002505210771978
ACH-000250,-1.1502616341402614
ACH-000251,-0.7793894120239663
ACH-000252,-1.0517735306359943
ACH-000253,-1.026458223418703
ACH-000255,-0.8545005975080736
ACH-000256,-0.8955099942911642
ACH-000257,-1.1145009458037212
ACH-000258,-0.7448874731929287
ACH-000259,-0.9460440186714644
ACH-000260,-1.0724526340121168
ACH-000261,-1.0034443458547186
