,OMA1 (115209)
ACH-000004,0.01739270301061981
ACH-000005,-0.3355241481145873
ACH-000007,0.05245205363052809
ACH-000009,-0.0682792967473308
ACH-000011,0.044006858405481394
ACH-000012,-0.1196925199870563
ACH-000013,-0.03861548367471744
ACH-000014,-0.19304219751486604
ACH-000015,-0.06458744137548224
ACH-000017,-0.13521814677717814
ACH-000018,0.06332454944640205
ACH-000019,-0.03804472796035383
ACH-000021,0.1286100994668519
ACH-000022,0.028370190361841727
ACH-000025,-0.2016159063100464
ACH-000028,-0.13316835968632254
ACH-000030,-0.02926659213177892
ACH-000035,-0.04411768971081448
ACH-000036,0.03169420354498528
ACH-000037,-0.059272254483478434
ACH-000039,-0.10794360476914447
ACH-000040,-0.16891614086877832
ACH-000041,-0.02126471911229677
ACH-000042,0.0250112050766666
ACH-000045,-0.11712288257137235
ACH-000047,-0.18729881203289345
ACH-000052,-0.2882654640628142
ACH-000053,-0.07659465218285956
ACH-000054,-0.07726106136980758
ACH-000055,-0.022896919411534582
ACH-000060,-0.03702332185924636
ACH-000067,-0.182499083737104
ACH-000070,-0.1385326368162964
ACH-000075,-0.14022234209268966
ACH-000078,-0.07312161152357781
ACH-000082,-0.12436354016424385
ACH-000085,-0.10074950090821908
ACH-000086,-0.06636578740720754
ACH-000087,-0.04627600612067852
ACH-000092,-0.12212153071391392
ACH-000095,-0.01884146777734949
ACH-000097,-0.019008201193552076
ACH-000098,-0.027737067473051283
ACH-000099,0.048804466961584116
ACH-000108,0.07686612811175804
ACH-000113,-0.06545050480858185
ACH-000116,0.01807565263678709
ACH-000118,0.02695794030716006
ACH-000120,-0.02801219553211871
ACH-000123,-0.05324630878908105
ACH-000127,-0.06473331631691735
ACH-000128,-0.028127710713287783
ACH-000132,-0.06973174089826728
ACH-000133,-0.056710697213729726
ACH-000137,-0.07526512239973362
ACH-000138,-0.013662911807999436
ACH-000142,-0.14009361595531078
ACH-000143,-0.1956012595451669
ACH-000146,-0.02773119064802984
ACH-000148,-0.026460598837892167
ACH-000150,-0.08272297742983685
ACH-000152,-0.04295032818562729
ACH-000153,0.07043608425399843
ACH-000159,-0.10508235114508158
ACH-000160,-0.19331851981201514
ACH-000163,-0.038414725787056465
ACH-000167,-0.2649533545599065
ACH-000168,-0.0468350713244636
ACH-000169,0.031970618195848496
ACH-000178,0.0708361227142078
ACH-000183,0.011069743397629622
ACH-000188,-0.18559325324527445
ACH-000189,-0.09254332433154867
ACH-000190,-0.008115269374964712
ACH-000198,-0.023357544062909567
ACH-000203,0.09309316190672563
ACH-000204,0.06528751164268201
ACH-000206,-0.09519474278361102
ACH-000207,-0.027629214816507038
ACH-000208,-0.3665923205431087
ACH-000210,-0.1091857464950842
ACH-000211,-0.0068005671358695365
