,CCP110 (9738)
ACH-000004,-0.1990208206855873
ACH-000005,0.13596579473179954
ACH-000007,-0.3721548774338769
ACH-000009,-0.11388628838166298
ACH-000011,-0.4044424933040763
ACH-000012,-0.4902638494751846
ACH-000013,-0.2596004485551238
ACH-000014,-0.554406810815444
ACH-000015,-0.57870177254086
ACH-000017,-0.2328150691699917
ACH-000018,-0.586732699299532
ACH-000019,-0.37990863430461547
ACH-000021,-0.3280810543128527
ACH-000022,-0.3763977398623626
ACH-000025,-0.3771875994685344
ACH-000028,-0.5409781719565858
ACH-000030,-0.12999946859863168
ACH-000035,-0.3986503112389943
ACH-000036,-0.5061174179603211
ACH-000037,-0.3080544394239849
ACH-000039,-0.3864149326085743
ACH-000040,-0.3292390611858229
ACH-000041,-0.3638844668214365
ACH-000042,-0.3576316417969107
ACH-000045,-0.4020183999302858
ACH-000047,-0.17275799467152325
ACH-000052,-0.4683314103614265
ACH-000053,-0.1601530085649353
ACH-000054,-0.37661136902176223
ACH-000055,-0.4510966106564037
ACH-000060,-0.5085620388540738
ACH-000067,-0.3408350531360682
ACH-000070,-0.36113751493271457
ACH-000075,-0.3636475603974432
ACH-000078,-0.3055145902155765
ACH-000082,-0.4924021101196029
ACH-000085,-0.2512572171874364
ACH-000086,-0.08618466889152321
ACH-000087,-0.7158083774245343
ACH-000092,-0.42506265143538335
ACH-000095,-0.4747779759082234
ACH-000097,-0.5172474181700601
ACH-000098,-0.33673890565843306
ACH-000099,-0.19387681295914336
ACH-000108,-0.44535329817570973
ACH-000113,-0.2538590020255928
ACH-000116,-0.2130843793671932
ACH-000118,-0.3098377919642312
ACH-000120,-0.5957962054343586
ACH-000123,-0.42866628760089337
ACH-000127,-0.6165197567966899
ACH-000128,-0.3136369410914303
ACH-000132,-0.25767275287561
ACH-000133,-0.3477351416472188
ACH-000137,-0.4007917960869751
ACH-000138,-0.267438039292548
ACH-000142,-0.4098892758658704
ACH-000143,-0.5000902405769341
ACH-000146,-0.3721385174228766
ACH-000148,-0.3786119872468485
ACH-000150,-0.3187681502835604
ACH-000152,-0.33803552102373485
ACH-000153,-0.7133077122487532
ACH-000159,-0.3395869008335759
ACH-000160,-0.3891386288088701
ACH-000163,-0.3706807506351255
ACH-000167,-0.4636681827942191
ACH-000168,-0.2635370139264104
ACH-000169,-0.37939080177623097
ACH-000178,-0.4934967364990445
ACH-000183,-0.4644371494388438
ACH-000188,-0.10374633971116706
ACH-000189,-0.20055459385379906
ACH-000190,-0.26708772249428986
ACH-000198,-0.29475919170588405
ACH-000203,-0.4497446015821168
ACH-000204,-0.17121344471557706
ACH-000206,-0.13615087248329402
ACH-000207,-0.4384522230259322
ACH-000208,-0.5494913874613727
ACH-000210,-0.3699051352859821
ACH-000211,-0.4459904883403473
ACH-000215,-0.4447507155743811
ACH-000221,-0.6490522329722666
ACH-000222,-0.1253401371679668
ACH-000223,-0.250685370906583
ACH-000226,-0.4450011121986662
ACH-000227,-0.483746476388271
ACH-000228,-0.3685100776416329
ACH-000231,-0.4564413789426045
ACH-000232,-0.4441527011150096
ACH-000233,-0.3900375435144464
ACH-000234,-0.21601658656585648
ACH-000235,-0.351463051887708
ACH-000237,-0.4230722812378761
ACH-000238,-0.12292201779747805
ACH-000242,-0.4031401353004071
ACH-000243,-0.6550035300714412
ACH-000244,-0.6410034868159591
ACH-000246,-0.3774847415067028
ACH-000248,-0.2613541285171133
ACH-000250,-0.19407982368524565
ACH-000251,-0.5267573530748801
ACH-000252,-0.31478676742227923
ACH-000253,-0.17076831577356466
ACH-000255,-0.2709669607196673
ACH-000256,-0.11632797143513345
ACH-000257,-0.4148080644327044
ACH-000258,-0.3426882544021049
ACH-000259,-0.1974577195156467
ACH-000260,-0.3982352828882965
ACH-000261,-0.2806727436718609
ACH-000262,-0.5497484986651674
ACH-000263,-0.17178921648774284
ACH-000264,-0.3845241166981389
ACH-000265,-0.4541465643781582
ACH-000266,-0.13241353924182922
ACH-000272,-0.2675380573174577
ACH-000274,-0.4267354336525945
ACH-000277,-0.11949527145841435
ACH-000278,-0.2606316598985736
ACH-000279,-0.4033559294868089
ACH-000280,-0.3628125220645434
ACH-000281,-0.3618228587677117
ACH-000288,-0.3364602516204289
ACH-000291,-0.5972279134674221
ACH-000293,-0.15913154733684526
ACH-000294,-0.3434017425436385
ACH-000295,-0.3329185243989871
ACH-000296,-0.35686817634622386
ACH-000302,-0.3048145517020585
ACH-000304,-0.6238296301233075
ACH-000307,-0.4825036244576297
ACH-000308,-0.3320488321767077
ACH-000310,-0.40701701938852536
ACH-000311,-0.3047727886132486
