,RHNO1 (83695)
ACH-000004,-0.03603310969882082
ACH-000005,-0.3096985821511629
ACH-000007,-0.14962288335410132
ACH-000009,0.0237690338155222
ACH-000011,-0.3557370657050139
ACH-000012,0.14645571830021015
ACH-000013,-0.12955585492853644
ACH-000014,-0.26638603311811504
ACH-000015,0.03709252084480645
ACH-000017,-0.04254935891712678
ACH-000018,0.036979319994973774
ACH-000019,-0.11768130845332485
ACH-000021,-0.021876242102765217
ACH-000022,0.000493983325928604
ACH-000025,-0.12403730738839
ACH-000028,-0.10939444841965404
ACH-000030,-0.06325608253659458
ACH-000035,-0.022609591039972447
ACH-000036,-0.04803213463792475
ACH-000037,-0.18517721350106348
ACH-000039,-0.1153173181857561
ACH-000040,0.032994856298437215
ACH-000041,-0.07315275383165681
ACH-000042,0.038351613557000896
ACH-000045,0.13200402578319126
ACH-000047,-0.3865378506862275
ACH-000052,-0.10090664103882543
ACH-000053,-0.08119501624714179
ACH-000054,-0.0012328279163790932
ACH-000055,-0.021664496817519814
ACH-000060,-0.10704626011742764
ACH-000067,-0.05528902689162447
ACH-000070,-0.06842356532413266
ACH-000075,-0.12201620035634755
ACH-000078,-0.06772224462079036
ACH-000082,0.2735816067376322
ACH-000085,0.08415197804477031
ACH-000086,-0.4312665983265159
ACH-000087,-0.12682408266587356
ACH-000092,-0.0053081895180473
ACH-000095,0.03403325709664535
ACH-000097,0.02342198219056021
ACH-000098,0.006780167925787286
ACH-000099,0.03376270045835738
ACH-000108,-0.03222871417075824
ACH-000113,-0.1399889674672362
ACH-000116,-0.35813459520056845
ACH-000118,-0.2463750092330561
ACH-000120,-0.03554585664074441
ACH-000123,-0.06701259446242362
ACH-000127,-0.03204352141357628
ACH-000128,-0.1430271970855998
ACH-000132,-0.2982864233975805
ACH-000133,0.0467453578681963
ACH-000137,-0.03322613926181688
ACH-000138,-0.04627027304521852
ACH-000142,-0.03354840181925961
ACH-000143,0.1620253807690642
ACH-000146,0.056921432511016765
ACH-000148,-0.026053503777911068
ACH-000150,0.09089956309784512
ACH-000152,-0.09314015350299833
ACH-000153,-0.0226768065427331
ACH-000159,0.03453015944148787
ACH-000160,-0.2714454227891398
ACH-000163,-0.057788869831061684
ACH-000167,-0.11199317607480422
ACH-000168,0.08010837871113763
ACH-000169,-0.04222711328127015
ACH-000178,-0.2699333927531506
ACH-000183,0.01289711811784328
ACH-000188,-0.057750689431097735
ACH-000189,0.01744626537388402
ACH-000190,0.12486677069196266
ACH-000198,0.11372321491022618
ACH-000203,-0.3656198970379588
ACH-000204,0.07084377619962785
ACH-000206,-0.03744480939088853
ACH-000207,0.012857777096225228
ACH-000208,0.13942790238660396
ACH-000210,-0.0765045447381559
ACH-000211,-0.24884956083481255
ACH-000215,-0.09808279748055042
ACH-000221,-0.13463397837805954
ACH-000222,-0.11966374425951105
ACH-000223,-0.17592480934700694
ACH-000226,-0.09421893712935
ACH-000227,0.07322416425310793
ACH-000228,-0.21546923730432999
ACH-000231,-0.1021245544995643
ACH-000232,-0.04637959167895171
ACH-000233,-0.12973921578012867
ACH-000234,-0.05183309056194283
ACH-000235,-0.044382381520760135
ACH-000237,-0.10186814509634094
ACH-000238,-0.0020511529952740412
ACH-000242,0.17977870183235736
ACH-000243,-0.17901420580479166
ACH-000244,0.0029727223913027217
ACH-000246,-0.10856482864954096
