,CPT2 (1376)
ACH-000004,-0.1956566513118449
ACH-000005,-0.02868439090519737
ACH-000007,-0.08890217269228434
ACH-000009,-0.29828664120847803
ACH-000011,-0.15651630461237134
ACH-000012,-0.2478341767147555
ACH-000013,-0.2775793327240277
ACH-000014,-0.0979958819295777
ACH-000015,-0.3054277351871915
ACH-000017,-0.1272676940346541
ACH-000018,-0.15118351687653792
ACH-000019,-0.0834645952621613
ACH-000021,-0.12699401431680898
ACH-000022,-0.211775582007443
ACH-000025,-0.1779308420411459
ACH-000028,-0.12185404756695405
ACH-000030,-0.2136619980157714
ACH-000035,-0.4971525427340468
ACH-000036,-0.16728655965734174
ACH-000037,-0.08635638865488042
ACH-000039,-0.2604163602649092
ACH-000040,0.006209054072855532
ACH-000041,-0.06043750534271423
ACH-000042,-0.10015795592160967
ACH-000045,-0.141901367173983
ACH-000047,-0.1533094697424465
ACH-000052,-0.2780786340018827
ACH-000053,-0.19711797402456294
ACH-000054,-0.09700263537716096
ACH-000055,-0.17486665903445284
ACH-000060,-0.4209180717283818
ACH-000067,-0.1781037330218975
ACH-000070,-0.16603943711657282
ACH-000075,-0.16962346924721353
ACH-000078,-0.1725795514527294
ACH-000082,-0.008681112381617279
ACH-000085,-0.1935066683666506
ACH-000086,-0.2766506028844697
ACH-000087,-0.3835730357379701
ACH-000092,-0.27357169013249777
ACH-000095,-0.18872278434934128
ACH-000097,-0.17156499674289474
ACH-000098,-0.1663538378381883
ACH-000099,-0.1808034445872812
ACH-000108,-0.11027204174580722
ACH-000113,-0.09071704143667098
ACH-000116,-0.22074011340950736
ACH-000118,-0.0663919192584268
ACH-000120,-0.15613543989082476
ACH-000123,-0.3069308490450132
ACH-000127,-0.11855962982884108
ACH-000128,-0.2603224007711905
ACH-000132,-0.14414424250381175
ACH-000133,-0.09535697312613307
ACH-000137,-0.2782265848054686
ACH-000138,-0.0785321587656218
ACH-000142,-0.1834470624676029
ACH-000143,-0.2273174075111488
ACH-000146,-0.20188527820904534
ACH-000148,-0.21183817882763603
ACH-000150,-0.16117836590602974
ACH-000152,-0.2285134727561176
ACH-000153,-0.1525863298488676
ACH-000159,-0.2275243990699385
ACH-000160,-0.06417241337911846
ACH-000163,-0.10811299306312208
ACH-000167,-0.0520870344381544
ACH-000168,-0.20499392588084644
ACH-000169,-0.1702516455920773
ACH-000178,-0.1719815969098126
ACH-000183,-0.1751748948499195
