,MPG (4350)
ACH-000004,0.008149310443859706
ACH-000005,0.30699680018305664
ACH-000007,-0.2896617170101197
ACH-000009,0.07082474198391275
ACH-000011,0.048799444574730885
ACH-000012,-0.05611320325672108
ACH-000013,-0.15482951247558027
ACH-000014,-0.007564730554751021
ACH-000015,-0.048651978279176326
ACH-000017,-0.12710639772807247
ACH-000018,-0.2479141964497065
ACH-000019,-0.3289243133796735
ACH-000021,-0.013236680302269592
ACH-000022,-0.1740239214523395
ACH-000025,-0.005357191751153477
ACH-000028,-0.11810125173615152
ACH-000030,0.018088370428398132
ACH-000035,0.02382365523149373
ACH-000036,-0.1507538265436963
ACH-000037,-0.12647628440886194
ACH-000039,-0.2354878797544667
ACH-000040,-0.2369349330435314
ACH-000041,-0.1019480822027473
ACH-000042,-0.12754825324353428
ACH-000045,-0.2220756493914579
ACH-000047,-0.2204292172128614
ACH-000052,-0.15089697498862795
ACH-000053,-0.16310444813625344
ACH-000054,-0.010363963280793222
ACH-000055,-0.10009618290430053
ACH-000060,-0.04624289053489144
ACH-000067,0.08546123496412106
ACH-000070,-0.003967290604710952
ACH-000075,0.16697065631842906
ACH-000078,-0.2717312378011699
ACH-000082,-0.09163660248659808
ACH-000085,-0.06226800074102595
ACH-000086,0.028005971113528014
ACH-000087,-0.11979532367969667
ACH-000092,-0.008578302724837047
ACH-000095,-0.17474265341269574
ACH-000097,-0.08614830112342052
ACH-000098,-0.1217467426904608
ACH-000099,-0.09022962781191296
ACH-000108,-0.14798896002354406
ACH-000113,-0.042182712852580066
ACH-000116,-0.047848357923627925
ACH-000118,-0.028872581003552337
ACH-000120,-0.1075885810498456
ACH-000123,-0.1304413142380565
ACH-000127,-0.06588718356248002
ACH-000128,-0.0256358112258316
ACH-000132,-0.07864168223996787
ACH-000133,-0.08498884583250138
ACH-000137,-0.16217789759453122
ACH-000138,-0.10982275779576584
ACH-000142,-0.21950007691285245
ACH-000143,0.014492635663199848
ACH-000146,-0.10892492152838802
ACH-000148,-0.04324570397529441
ACH-000150,0.05766698772040425
ACH-000152,-0.06429717758490677
ACH-000153,-0.0989458127995604
ACH-000159,-0.02940176282631833
ACH-000160,0.03701821724091794
ACH-000163,-0.18478018551629946
ACH-000167,0.27663781628785816
ACH-000168,-0.19207378978838635
ACH-000169,-0.06345747006499397
ACH-000178,-0.1433789672858526
ACH-000183,0.05168061313292323
ACH-000188,-0.13312045942608272
ACH-000189,-0.2699413454082233
ACH-000190,-0.08328699373677001
ACH-000198,0.026016589708197944
ACH-000203,-0.4037743557262893
ACH-000204,0.15327962333153772
ACH-000206,0.05772874601298915
ACH-000207,0.031736390078121325
ACH-000208,0.21252241769002628
ACH-000210,-0.0967544717298841
ACH-000211,-0.06955544658747168
ACH-000215,-0.1453065960052332
ACH-000221,-0.1018465101250069
ACH-000222,-0.15438208756858554
ACH-000223,0.029662011198778745
ACH-000226,0.10434996245355847
ACH-000227,-0.14208248618104227
ACH-000228,-0.05710424793041309
ACH-000231,-0.09395980785141864
ACH-000232,-0.06447996275659063
ACH-000233,-0.03191565735785948
ACH-000234,0.05635944059373892
ACH-000235,-0.060697239595129265
ACH-000237,-0.03652866359867858
ACH-000238,-0.09476867197540127
ACH-000242,-0.26807995534366985
ACH-000243,0.006092414866703345
ACH-000244,-0.09238596142754764
ACH-000246,-0.08333452291138004
ACH-000248,0.1026985509944821
ACH-000250,-0.1652828259116889
ACH-000251,0.0969196976395341
ACH-000252,-0.0437776078206125
ACH-000253,-0.208991104434214
ACH-000255,0.08079670437689619
ACH-000256,-0.21142256364239456
ACH-000257,-0.13037425369221586
ACH-000258,-0.04754217765268918
ACH-000259,-0.16260974079073062
ACH-000260,-0.12058815389289593
ACH-000261,-0.09810899893223887
ACH-000262,-0.2411199705110316
ACH-000263,-0.024554415044336243
ACH-000264,-0.16427908634255547
ACH-000265,-0.03514668983506628
ACH-000266,-0.11353782883297366
ACH-000272,-0.031747137412788506
ACH-000274,-0.12457456109414455
ACH-000277,0.0993845485615639
ACH-000278,-0.1281696682440288
ACH-000279,-0.08810518004645121
ACH-000280,-0.2770193314939443
ACH-000281,-0.042191025261727716
ACH-000288,-0.12424221973623703
ACH-000291,-0.09945851882048556
ACH-000293,-0.10714075849897324
ACH-000294,-0.06042973513538555
ACH-000295,0.0012399286360167713
ACH-000296,-0.05624041410936044
ACH-000302,-0.010284642299940859
ACH-000304,0.07926850450865608
ACH-000307,-0.018825419296751512
ACH-000308,-0.04529343490098725
ACH-000310,-0.05111128193866351
ACH-000311,-0.2631954170185233
ACH-000312,-0.11838565292186465
ACH-000315,0.1667409786611765
ACH-000316,-0.0627130713175838
ACH-000317,0.0022988205466884107
ACH-000318,-0.15706839789042426
ACH-000319,-0.12606315634779622
ACH-000320,-0.004460633924143389
ACH-000322,-0.043889802525503015
ACH-000323,-0.10030117728568848
ACH-000324,-0.12242335091342806
ACH-000329,-0.1431102530654908
ACH-000330,-0.08378722669369874
ACH-000331,0.06955012550112853
ACH-000332,-0.1795234115916633
ACH-000334,-0.10334730521574878
ACH-000335,0.006738772854193411
ACH-000336,-0.3796531491360424
ACH-000337,-0.059246611245922086
ACH-000338,0.06441231800934404
ACH-000339,-0.016822782845220003
ACH-000341,0.011269857154521293
ACH-000348,-0.10299973207845653
ACH-000350,-0.10001449841627613
ACH-000352,-0.1225863399430161
ACH-000356,-0.02588409110455693
ACH-000361,0.15600310534199316
ACH-000362,-0.057790760963063084
ACH-000363,-0.04166911052725824
ACH-000364,0.07445322736974375
ACH-000365,-0.13157411332100796
ACH-000366,-0.10084912422269406
ACH-000368,-0.0966299320645531
