,EIF4A3 (9775)
ACH-000004,-1.4918820258985388
ACH-000005,-1.175193750261262
ACH-000007,-0.6804881889407595
ACH-000009,-0.9904500675970672
ACH-000011,-0.6625504506811729
ACH-000012,-1.0918314046928397
ACH-000013,-1.013878966135834
ACH-000014,-1.1455776795528132
ACH-000015,-1.1404817896071653
ACH-000017,-0.9965981637851754
ACH-000018,-0.9783456752256046
ACH-000019,-1.2678987436859197
ACH-000021,-0.9463482303167424
ACH-000022,-1.1231884823881733
ACH-000025,-0.933660077825738
ACH-000028,-1.0134925109899742
ACH-000030,-1.0096299709020484
ACH-000035,-1.0280520702786529
ACH-000036,-0.8375712123631259
ACH-000037,-1.2443357225882323
ACH-000039,-1.0137385759258717
ACH-000040,-0.9713882821756564
ACH-000041,-1.141394568595357
ACH-000042,-0.9483480908890352
ACH-000045,-1.0250706584090417
ACH-000047,-0.9402072662003684
ACH-000052,-1.1781095369117929
ACH-000053,-0.9119368595610404
ACH-000054,-1.0004497939789652
ACH-000055,-0.8533459693764421
ACH-000060,-0.9516555542771062
ACH-000067,-0.6765085393581296
ACH-000070,-1.0381739648854964
ACH-000075,-1.162165932798911
ACH-000078,-1.0688810516002596
ACH-000082,-0.9593111228747486
ACH-000085,-1.1644902807497453
ACH-000086,-0.9771190216990936
ACH-000087,-1.0032167238926286
ACH-000092,-0.973187885841918
ACH-000095,-1.1410424084903517
ACH-000097,-1.005842633342457
ACH-000098,-0.9425126653017734
ACH-000099,-0.8373492803250734
ACH-000108,-0.9717825390093516
ACH-000113,-1.0897215747513196
ACH-000116,-0.8589494251521045
ACH-000118,-0.9164141961014554
ACH-000120,-0.9336880298628784
ACH-000123,-1.0347429089202782
ACH-000127,-1.1238431501323582
ACH-000128,-0.8649281162932723
ACH-000132,-1.0012553536866904
ACH-000133,-0.9509637171015384
ACH-000137,-0.9189018539293994
ACH-000138,-1.071704821284264
ACH-000142,-0.8867845561229326
ACH-000143,-1.0677320062328726
ACH-000146,-1.118070501276013
ACH-000148,-1.090520958195731
ACH-000150,-1.103401718949908
ACH-000152,-0.8370963214708012
ACH-000153,-0.8532363924087983
ACH-000159,-1.0763011185160452
ACH-000160,-1.117196713627756
ACH-000163,-0.8382327193498841
ACH-000167,-1.5026568557655795
ACH-000168,-1.2422547410362623
ACH-000169,-1.043179970336091
ACH-000178,-1.0082286325212526
ACH-000183,-1.1398968103288745
ACH-000188,-0.9540645509970116
ACH-000189,-0.6158188268781221
ACH-000190,-1.1066449547568291
ACH-000198,-1.237929470650456
ACH-000203,-1.2022519264985478
ACH-000204,-0.8884986270182798
ACH-000206,-1.1831097012024616
ACH-000207,-1.6268472728058851
ACH-000208,-0.7713109442000222
ACH-000210,-0.934025448574094
ACH-000211,-1.1216950103022512
ACH-000215,-1.0276940251036903
ACH-000221,-0.9763179790111628
ACH-000222,-0.9373411452145344
ACH-000223,-1.0849027263588615
ACH-000226,-0.7960541763540604
ACH-000227,-1.372618733312036
ACH-000228,-0.8052371063357379
ACH-000231,-0.9060340172051934
ACH-000232,-1.1530787197884478
ACH-000233,-0.9349457363933548
ACH-000234,-1.0950839635483811
ACH-000235,-0.9473267748061166
ACH-000237,-1.0132052192481338
ACH-000238,-1.1436917087434717
ACH-000242,-1.217722238299099
ACH-000243,-1.133254370442959
ACH-000244,-1.2155095429166416
ACH-000246,-0.8666200528784177
ACH-000248,-0.8746344605446903
ACH-000250,-0.9485497923746912
ACH-000251,-0.9025056106650567
ACH-000252,-0.949106174742922
ACH-000253,-1.00330229379013
ACH-000255,-1.04306902500578
ACH-000256,-1.1795576784307809
ACH-000257,-1.1207607936455537
ACH-000258,-1.3492970466870131
ACH-000259,-1.1693671194401738
ACH-000260,-0.8896001729636347
ACH-000261,-0.9974385615914316
ACH-000262,-0.6688474539265727
ACH-000263,-0.8697928489118635
ACH-000264,-1.1372843745004564
ACH-000265,-1.081302183975643
ACH-000266,-0.9449116593254682
ACH-000272,-1.0207294221365515
ACH-000274,-1.0793976789944353
ACH-000277,-1.0463703713850634
ACH-000278,-1.0647275385645147
ACH-000279,-1.1760626772378735
ACH-000280,-1.031219949115049
ACH-000281,-1.0385369414622996
ACH-000288,-1.03154143272935
ACH-000291,-1.1898575680962118
ACH-000293,-0.9819382746486678
ACH-000294,-1.0592788246775322
ACH-000295,-1.3225562929875976
ACH-000296,-0.806302537374472
ACH-000302,-1.1963903078057128
ACH-000304,-0.9333852819510254
ACH-000307,-1.0415695042460196
