,PRPF38A (84950)
ACH-000004,-1.1316004838610954
ACH-000005,-0.9399295647244388
ACH-000007,-0.9932516420021352
ACH-000009,-1.3115449512621329
ACH-000011,-1.1762060185999479
ACH-000012,-0.997918228186766
ACH-000013,-1.2703384751086009
ACH-000014,-1.0382728643613472
ACH-000015,-1.1456242798741572
ACH-000017,-1.0353950257475442
ACH-000018,-1.0657218339494556
ACH-000019,-1.0871420128182925
ACH-000021,-1.1809106082539529
ACH-000022,-1.1740064877605585
ACH-000025,-1.1490665263207465
ACH-000028,-0.909614481777856
ACH-000030,-1.146189969678182
ACH-000035,-1.1597085393949946
ACH-000036,-0.9711392515396596
ACH-000037,-1.2811661812526949
ACH-000039,-1.2319882698695734
ACH-000040,-1.0726540236476263
ACH-000041,-0.9919875170240008
ACH-000042,-0.9871108211506084
ACH-000045,-1.1318564552849788
ACH-000047,-1.0807927542222644
ACH-000052,-0.8408495515707948
ACH-000053,-1.1232507559888356
ACH-000054,-1.2707446865659628
ACH-000055,-0.9607299249976584
ACH-000060,-0.7825464528796346
ACH-000067,-0.9773943876959351
ACH-000070,-1.25511523753716
ACH-000075,-1.1342505433184666
ACH-000078,-0.9843352347054051
ACH-000082,-0.9905486302322264
ACH-000085,-1.314986910281846
ACH-000086,-1.1076889931068523
ACH-000087,-1.5032458601834515
ACH-000092,-1.066761898562156
ACH-000095,-1.1032308651762437
ACH-000097,-1.2834094712420134
ACH-000098,-1.1706659833571325
ACH-000099,-1.073983111504983
ACH-000108,-1.100903524165254
ACH-000113,-1.1234110390531291
ACH-000116,-1.0593773608143917
ACH-000118,-0.9772110021576248
ACH-000120,-1.1098759449228586
ACH-000123,-1.1897823809427943
ACH-000127,-1.213548211579674
ACH-000128,-0.9420686431382348
ACH-000132,-1.1946929244627198
ACH-000133,-1.2109149809683013
ACH-000137,-1.10741265307474
ACH-000138,-1.0388096391044763
ACH-000142,-1.0490792685179064
ACH-000143,-1.3311191309898829
ACH-000146,-1.139730318534058
ACH-000148,-1.221294071011764
ACH-000150,-1.1833995435954363
ACH-000152,-1.0870428250044222
ACH-000153,-1.1769527199672782
ACH-000159,-1.033757211232218
ACH-000160,-1.371614477817679
ACH-000163,-1.001566769185132
ACH-000167,-2.2493665564463017
ACH-000168,-0.9569379807297934
ACH-000169,-1.0882358564328116
ACH-000178,-1.0872749491823406
ACH-000183,-1.232901455639403
ACH-000188,-1.1421579932488746
ACH-000189,-1.014228222669822
ACH-000190,-0.9418102600590716
ACH-000198,-1.0014162423937465
ACH-000203,-1.0861304868598876
ACH-000204,-1.1388543349474831
ACH-000206,-1.343937014453204
ACH-000207,-1.615113673235115
ACH-000208,-1.1709136821833814
ACH-000210,-1.1894577789227891
ACH-000211,-0.9498238473247118
ACH-000215,-1.2592108223959495
ACH-000221,-1.1550872410904018
ACH-000222,-1.2276784572575452
ACH-000223,-1.3899410329138535
ACH-000226,-1.1432701767449331
ACH-000227,-1.3813018618148012
ACH-000228,-1.1065805434799398
