,DPEP3 (64180)
ACH-000004,-0.131058830658774
ACH-000005,-0.13494897192222302
ACH-000007,-0.012782990381438404
ACH-000009,-0.16897820698401667
ACH-000011,-0.08938107895105672
ACH-000012,-0.14064362790350454
ACH-000013,-0.2417033973249271
ACH-000014,-0.1810972256696834
ACH-000015,-0.08654059130988757
ACH-000017,-0.17703147443527725
ACH-000018,0.0653079298286407
ACH-000019,-0.3311376608475469
ACH-000021,-0.10805479014555873
ACH-000022,-0.1961351948672166
ACH-000025,-0.16571090358266194
ACH-000028,0.07570406246145175
ACH-000030,-0.13262750968168405
ACH-000035,-0.14875200090165772
ACH-000036,-0.1405784103615708
ACH-000037,-0.1196320157923808
ACH-000039,-0.1805856679735807
ACH-000040,-0.1613900722657636
ACH-000041,-0.018509423371219972
ACH-000042,-0.2714430879248222
ACH-000045,-0.01700639148478741
ACH-000047,-0.25968857572975096
ACH-000052,0.052717361087324416
ACH-000053,-0.15391834401143145
ACH-000054,-0.1720719675278226
ACH-000055,-0.10457056118667228
ACH-000060,-0.11001488708105103
ACH-000067,-0.16851422565333293
ACH-000070,-0.12602245548038993
ACH-000075,-0.09990567232122748
ACH-000078,-0.08097280590315017
ACH-000082,-0.010189736821098808
ACH-000085,-0.2367897827707227
ACH-000086,-0.12909577904278174
ACH-000087,-0.023653500690675847
ACH-000092,-0.12697858105517149
ACH-000095,-0.1824418476083733
ACH-000097,-0.12874087155145464
ACH-000098,-0.18058614996453984
ACH-000099,-0.1881486790367211
ACH-000108,-0.2187383117345395
ACH-000113,-0.06956781986552445
ACH-000116,-0.06341859781213724
ACH-000118,-0.16866849158403288
ACH-000120,-0.22553575280267865
ACH-000123,-0.2689470553579382
ACH-000127,-0.21847297870829308
ACH-000128,-0.008332674706633066
ACH-000132,-0.3707551193032743
ACH-000133,-0.20559964154011134
ACH-000137,-0.11232012179053784
ACH-000138,-0.2949037233430835
ACH-000142,-0.15401924100131284
ACH-000143,-0.2722394226910843
ACH-000146,-0.07895559815892325
ACH-000148,-0.14943756231978456
ACH-000150,-0.005002311552768507
ACH-000152,-0.012484648048570851
ACH-000153,-0.06826011595344032
ACH-000159,0.03474996700553813
ACH-000160,-0.08637657501952087
ACH-000163,0.04633143187560962
ACH-000167,0.0825683662580295
ACH-000168,-0.1128852139774943
ACH-000169,0.042565024444668184
ACH-000178,-0.1079983265667864
ACH-000183,-0.1906418388986567
ACH-000188,-0.16241704610054988
ACH-000189,0.02790151175331129
ACH-000190,-0.05356026823738876
ACH-000198,-0.22158353742670656
ACH-000203,-0.02363007929790173
ACH-000204,-0.08452756826536746
ACH-000206,-0.14646114973052418
ACH-000207,-0.03165413599442835
ACH-000208,-0.4588649056503954
ACH-000210,0.01667156166172868
ACH-000211,-0.191237520552058
ACH-000215,-0.1034308162283749
ACH-000221,-0.2148179557818917
ACH-000222,-0.32057097750823554
ACH-000223,-0.08165465022756115
ACH-000226,-0.11002006672827663
ACH-000227,-0.08007558115136293
ACH-000228,0.003108326060289409
ACH-000231,-0.14165987314266856
ACH-000232,-0.17286313909129955
ACH-000233,-0.19302659108275566
ACH-000234,-0.08028196572834753
ACH-000235,-0.23957104258615425
ACH-000237,-0.13013755580683073
ACH-000238,-0.1285730116393109
ACH-000242,-0.004889858004538577
ACH-000243,-0.09026914725025277
ACH-000244,-0.045005871536411474
ACH-000246,-0.047571918143956574
ACH-000248,-0.18512535974514951
ACH-000250,-0.1786412013791888
ACH-000251,-0.2593812115679855
ACH-000252,-0.142597926990253
ACH-000253,-0.024702286854410102
ACH-000255,0.0056578264732305645
ACH-000256,-0.056106644800707615
ACH-000257,-0.244964332589256
ACH-000258,0.01694233977739783
ACH-000259,-0.1183771187673618
ACH-000260,-0.2980045520959471
ACH-000261,-0.07028309920270669
ACH-000262,-0.16696005512296191
ACH-000263,-0.3015635261367463
ACH-000264,-0.04655965494056191
ACH-000265,-0.14353642319058932
ACH-000266,-0.11781292962777258
ACH-000272,-0.2199099696220128
ACH-000274,-0.1590270004536714
ACH-000277,0.09993544552094608
ACH-000278,-0.05779753782428064
ACH-000279,-0.1519539861802543
ACH-000280,-0.03419315861418545
ACH-000281,-0.3883144148185109
ACH-000288,-0.19986210767609508
ACH-000291,-0.08349750255152888
ACH-000293,-0.1997031461418413
ACH-000294,-0.14853594333776451
ACH-000295,-0.13910787351056852
ACH-000296,-0.11972017008073665
ACH-000302,-0.047013174655460815
ACH-000304,-0.050564344679592255
ACH-000307,-0.14460131443585827
ACH-000308,-0.14374829792264462
ACH-000310,-0.12048662855344633
ACH-000311,-0.031303446410606436
ACH-000312,-0.2287383409340357
ACH-000315,-0.4925563051477535
ACH-000316,-0.2500076851093337
ACH-000317,-0.2420780920443709
ACH-000318,-0.16421201529881635
ACH-000319,-0.13404234054135625
ACH-000320,-0.07639477289307918
