,CAMLG (819)
ACH-000004,-0.3299684548542543
ACH-000005,-0.4139889290587424
ACH-000007,-0.4159450957611533
ACH-000009,-0.6323003143646141
ACH-000011,-0.6236127939549451
ACH-000012,-0.5518044033395814
ACH-000013,-0.2646928798873863
ACH-000014,-0.4210624190902812
ACH-000015,-0.5350667229666873
ACH-000017,-0.6389417866791429
ACH-000018,-0.46562795875620394
ACH-000019,-0.29468675845710113
ACH-000021,-0.5522089296755519
ACH-000022,-0.3703639120259738
ACH-000025,-0.1819779035992356
ACH-000028,-0.2949583992396748
ACH-000030,-0.4667201545732182
ACH-000035,-0.2684545009387266
ACH-000036,-0.5455150539640901
ACH-000037,-0.3664424065400239
ACH-000039,-0.16024042812192166
ACH-000040,-0.31480838052462096
ACH-000041,-0.3324695536545771
ACH-000042,-0.42307415932927145
ACH-000045,-0.260881694415156
ACH-000047,-0.6082679515920352
ACH-000052,-0.6877170783121987
ACH-000053,-0.3079738175554869
ACH-000054,-0.2625199296578229
ACH-000055,-0.4802515502479127
ACH-000060,-0.4094072810252263
ACH-000067,-0.4982747517493652
ACH-000070,-0.4578072642017284
ACH-000075,-0.8006749766761002
ACH-000078,-0.27839253312953144
ACH-000082,-0.2301872858329806
ACH-000085,-0.279412115280339
ACH-000086,-0.5847551977891059
ACH-000087,-0.3250826662875442
ACH-000092,-0.33458247990856704
ACH-000095,-0.2612519999337211
ACH-000097,-0.40484058956796415
ACH-000098,-0.3677168607243351
ACH-000099,-0.3842981661341951
ACH-000108,-0.7240423028274263
ACH-000113,-0.4554289502647248
ACH-000116,-0.21931450630570198
ACH-000118,-0.4186504799678602
ACH-000120,-0.5028502412724413
ACH-000123,-0.4760506275502751
ACH-000127,-0.361436119315965
ACH-000128,-0.3929972558592187
ACH-000132,-0.5481138069712361
ACH-000133,-0.4124775065880153
ACH-000137,-0.4859114481538424
ACH-000138,-0.3333339139731833
ACH-000142,-0.43277783338093495
ACH-000143,-0.5292109156541445
ACH-000146,-0.4132279573628743
ACH-000148,-0.3360319029664619
ACH-000150,-0.4351004206784059
ACH-000152,-0.5115748613299534
ACH-000153,-0.6927579397265183
