,SRI (6717)
ACH-000004,-0.2299208699369404
ACH-000005,-0.09884476603564486
ACH-000007,-0.27099279779340457
ACH-000009,-0.21300618693910567
ACH-000011,-0.11986125019974392
ACH-000012,-0.08773096914661299
ACH-000013,-0.0566432570351258
ACH-000014,-0.034407712463997986
ACH-000015,0.01092948377718779
ACH-000017,0.023693115196072482
ACH-000018,-0.04519735035137636
ACH-000019,-0.07236435363180074
ACH-000021,-0.2705374444053054
ACH-000022,-0.1506608401482918
ACH-000025,-0.24598669200697784
ACH-000028,-0.07494303797501829
ACH-000030,-0.1148195426628254
ACH-000035,-0.21055675971430649
ACH-000036,-0.2599205158688033
ACH-000037,-0.1762938920649138
ACH-000039,-0.13338485598369315
ACH-000040,-0.05454910539510973
ACH-000041,-0.1430405152442335
ACH-000042,-0.1181027434691656
ACH-000045,-0.06788655704855022
ACH-000047,-0.1837617939551791
ACH-000052,-0.3241284184591668
ACH-000053,-0.005823393852240287
ACH-000054,-0.3670491730169219
ACH-000055,-0.2295623067785655
ACH-000060,-0.2395057891839488
ACH-000067,-0.33229047609874024
ACH-000070,-0.17627832296981127
ACH-000075,-0.2323489619318087
ACH-000078,-0.10024188148650312
ACH-000082,-0.204052762141712
ACH-000085,0.003598087457319179
ACH-000086,-0.05350249420584944
ACH-000087,-0.4352531221088071
ACH-000092,-0.1927186233760793
ACH-000095,-0.25692446051644585
ACH-000097,-0.13375472931160348
ACH-000098,-0.22004524191498348
ACH-000099,-0.14058811621918318
ACH-000108,-0.08845170639605594
ACH-000113,-0.17339097855709695
ACH-000116,-0.10655710393301747
ACH-000118,-0.09408871095851316
ACH-000120,-0.2948727699661387
ACH-000123,-0.20269605097950075
ACH-000127,-0.1068287275181634
ACH-000128,-0.13600213281192092
ACH-000132,-0.1743360720226098
ACH-000133,-0.06515230776348616
ACH-000137,-0.28072911349476914
ACH-000138,-0.03993274731365202
ACH-000142,-0.13728910969551966
ACH-000143,-0.1462985849698387
ACH-000146,-0.07269936623323997
ACH-000148,-0.2044373977764323
ACH-000150,-0.04693136982226463
ACH-000152,-0.19728188014570916
ACH-000153,-0.13120289442751515
ACH-000159,-0.2982588368941941
ACH-000160,-0.25662197170712314
ACH-000163,-0.1091395700806874
ACH-000167,0.005038825926782165
ACH-000168,-0.1723387697534315
ACH-000169,-0.1073406462696938
ACH-000178,-0.17008393595659832
ACH-000183,0.07086672619256433
ACH-000188,-0.08647617345312278
ACH-000189,-0.2517281593590357
ACH-000190,-0.052932701634645064
ACH-000198,-0.15017166895388034
ACH-000203,-0.5575445313181551
ACH-000204,-0.20429993897200432
