,TMEM95 (339168)
ACH-000250,-0.013459884332924572
ACH-000251,-0.075009921770461
ACH-000252,-0.21387705505880325
ACH-000253,-0.03370448026071357
ACH-000255,0.12592841519274708
ACH-000256,-0.02307072949584464
ACH-000257,-0.06364628566907726
ACH-000258,0.10396265032250013
ACH-000259,0.005563322444992933
ACH-000260,-0.048398294076568704
ACH-000261,-0.02296447181170552
ACH-000262,-0.22548494038969505
ACH-000263,0.25118954609149186
ACH-000264,-0.09800520890329864
ACH-000265,-0.05395512423841068
ACH-000266,-0.05242271518082325
ACH-000272,0.04439670631249722
ACH-000274,-0.11504070360853474
ACH-000277,-0.1756769456486787
ACH-000278,-0.01999342190048519
ACH-000279,-0.04523766099598109
ACH-000280,-0.07067313318666871
ACH-000281,-0.08340814108962888
ACH-000288,-0.2310225596758699
ACH-000291,-0.055601299542943385
ACH-000293,-0.10441416384318483
ACH-000294,-0.1513812792024561
ACH-000295,-0.02663297171211753
ACH-000296,-0.2361084182751545
ACH-000302,-0.1353011428762438
ACH-000304,-0.08828495468229636
ACH-000307,0.09566271852882502
ACH-000308,-0.09885167413547953
ACH-000310,-0.17327807215174504
ACH-000311,-0.08735925753231688
ACH-000312,0.026720377744411536
ACH-000315,-0.05575850362420047
ACH-000316,-0.2018803014765179
ACH-000317,0.29099333563026786
ACH-000318,-0.03792524057188161
ACH-000319,-0.2763103238829886
ACH-000320,0.07859262816327488
ACH-000322,-0.09485358446428208
ACH-000323,-0.09416573288681386
ACH-000324,-0.07876425458303307
ACH-000329,-0.06538486924475774
ACH-000330,0.06318292450136061
ACH-000331,-0.034977388864379934
ACH-000332,-0.059117413666862566
ACH-000334,-0.18759093389596115
ACH-000335,0.1472977357338381
ACH-000336,0.14544839134822565
ACH-000337,-0.026900534320964942
ACH-000338,0.12311818801759555
ACH-000339,-0.12076794512455072
ACH-000341,0.008492692713280596
ACH-000348,-0.06624621654606276
ACH-000350,0.06557175835796777
ACH-000352,-0.005670302202412975
ACH-000356,-0.12627474207702738
ACH-000361,0.021191269266840628
ACH-000362,-0.0051565716403734006
ACH-000363,-0.013365687657819788
ACH-000364,-0.0784476100831614
ACH-000365,-0.1019754800876632
ACH-000366,-0.13989324217921315
ACH-000368,-0.10882780703858712
ACH-000374,-0.02171446536938746
ACH-000375,0.09409649649983708
ACH-000376,-0.03322592550491791
ACH-000381,-0.30495014607914245
ACH-000383,-0.11650276085415374
ACH-000387,-0.17642127177012187
ACH-000389,0.08843259670299294
ACH-000390,-0.06722459626064138
ACH-000393,-0.08507883600969
ACH-000395,-0.049717519997518
ACH-000396,-0.15693117435422074
ACH-000397,-0.12764735004221567
ACH-000401,-0.1008860630166752
ACH-000402,-0.2831237734455103
ACH-000403,0.027239910078397444
ACH-000404,0.060520071654672075
ACH-000406,-0.11714055912688295
ACH-000407,-0.09737635309016997
ACH-000408,-0.1972236210171648
ACH-000410,0.01830329367585476
ACH-000411,-0.04893017939609943
ACH-000414,-0.08222531755242744
ACH-000415,-0.07257606121215948
ACH-000416,-0.05373179974204932
ACH-000420,-0.1283272458797208
ACH-000421,-0.063608395812698
ACH-000424,-0.3199618068330685
ACH-000425,0.0028252177055613373
ACH-000426,0.0874062139779433
ACH-000427,-0.007920103569748921
ACH-000433,-0.10240292850001728
ACH-000435,-0.11284687762204275
ACH-000436,-0.05049984246749712
ACH-000444,-0.008454429101089162
ACH-000445,-0.2013776729611404
ACH-000448,-0.14184892327519216
ACH-000450,-0.04015339638348642
ACH-000452,-0.08980610141170628
ACH-000454,-0.07339161700599306
ACH-000458,-0.2450652642408432
ACH-000459,-0.10635822683879337
ACH-000460,-0.15196365028202272
ACH-000461,0.07256906290696473
ACH-000463,-0.0530581961692715
ACH-000464,-0.14803221917652673
ACH-000466,0.043603158312164575
