,POLR2M (81488)
ACH-000411,-0.04858972615840845
ACH-000414,-0.08852040504843141
ACH-000415,-0.4100708259977613
ACH-000416,-0.09184302903932112
ACH-000420,-0.16237241459017104
ACH-000421,-0.1657579302967073
ACH-000424,-0.26927432562065384
ACH-000425,-0.1935870741576056
ACH-000426,-0.13481046297648527
ACH-000427,-0.20048452962819954
ACH-000433,-0.11058693179523303
ACH-000435,-0.11081987708642503
ACH-000436,-0.1224555161205132
ACH-000444,-0.3618931741120608
ACH-000445,-0.10936237079718883
ACH-000448,-0.07257286101489421
ACH-000450,-0.0253878517675178
ACH-000452,-0.15964993116482626
ACH-000454,-0.2713848128526426
ACH-000458,-0.13535796465395805
ACH-000459,-0.07232330546189022
ACH-000460,-0.0848706113594066
ACH-000461,-0.043127457920625216
ACH-000463,-0.3702922935872212
ACH-000464,-0.2106324892031765
ACH-000466,-0.14663153904718726
ACH-000467,-0.16822862046471934
ACH-000468,-0.33740580633993905
ACH-000469,-0.115553555651495
ACH-000470,-0.34946033912118885
ACH-000471,-0.06216859763396058
ACH-000472,-0.4273527070271503
ACH-000473,-0.17574784823332829
ACH-000475,-0.08707782649896237
ACH-000476,-0.06583831325509723
ACH-000477,-0.07222052661517042
ACH-000479,-0.07208292909098593
ACH-000480,-0.4022750506188345
ACH-000481,-0.1622302820048766
ACH-000483,-0.17280660565363765
ACH-000484,0.05813775889163854
ACH-000485,-0.20355056359313006
ACH-000486,-0.20564132259295767
ACH-000487,-0.18212415879824426
ACH-000488,-0.3803369776566429
ACH-000490,-0.1688879648724187
ACH-000491,-0.3192261580639855
ACH-000495,-0.160103860059137
ACH-000496,-0.11502610717900655
ACH-000499,-0.24690852310719405
ACH-000500,-0.3225097334062658
ACH-000502,-0.17237236450921856
ACH-000503,-0.4165512472375644
ACH-000505,-0.2800347661794393
ACH-000507,-0.3565116710644609
ACH-000510,-0.3075668340602313
ACH-000511,-0.1295712697169976
ACH-000512,-0.5126007415080253
ACH-000516,-0.07892605594211913
ACH-000517,-0.1097810592659118
ACH-000518,-0.1473496166248377
ACH-000520,-0.39161307593771705
ACH-000521,-0.10059620456773666
ACH-000522,-0.07125411292044223
ACH-000524,-0.2294378953373772
ACH-000527,-0.3221250257656314
ACH-000528,-0.3403669806365226
ACH-000537,-0.09012012960177772
ACH-000541,-0.2405033558741463
ACH-000542,-0.31394636189412073
ACH-000544,-0.2118285807391337
ACH-000545,-0.19321782923422032
ACH-000547,-0.5895081854329204
ACH-000548,-0.22243392341087576
ACH-000549,-0.1882014219168452
ACH-000550,-0.21011472166110295
ACH-000552,-0.024124829127363055
ACH-000556,-0.12317563990547503
ACH-000557,-0.053565860362602
ACH-000569,0.2634736155480555
ACH-000570,-0.032061575877560214
ACH-000571,-0.0785824504342751
ACH-000573,-0.28851335919124377
ACH-000576,-0.13864732232407548
ACH-000579,-0.1611369078411887
ACH-000580,-0.2921753994125088
ACH-000584,-0.4132667911900205
ACH-000585,-0.3669868312017712
ACH-000588,-0.1731400303599952
ACH-000589,-0.31700065534783706
ACH-000591,-0.14725823220353246
ACH-000593,-0.2637613424902463
ACH-000600,-0.25616658699874945
ACH-000601,-0.03480122760847002
ACH-000605,-0.17519575173923768
ACH-000606,-0.1983548210930504
ACH-000608,-0.13930214511558106
ACH-000614,-0.02553188002692146
ACH-000616,-0.16443010898829724
ACH-000618,-0.03482059400998769
ACH-000619,-0.12748669143592875
ACH-000620,-0.191838282042112
ACH-000621,-0.01065723299143303
ACH-000622,-0.15824306617500006
ACH-000623,-0.03783380718715145
ACH-000624,-0.2626035549609441
ACH-000627,-0.06941202040384847
ACH-000630,-0.08905362417317914
ACH-000631,-0.21362368975294693
ACH-000632,-0.31001766831105937
ACH-000633,-0.11267841538247927
ACH-000637,-0.035764379825278435
ACH-000638,-0.13924961738493682
ACH-000646,-0.21958894831745712
ACH-000647,-0.15469460379466124
ACH-000648,-0.15252885647147962
ACH-000649,-0.1221897124656474
ACH-000651,-0.2909757980064411
ACH-000652,-0.3643165811968006
ACH-000653,-0.09396742072457837
ACH-000657,-0.059638750109837414
ACH-000658,-0.07464564973296997
ACH-000661,-0.12574419599343795
ACH-000662,-0.1074878251024095
ACH-000663,-0.1409061548031024
ACH-000665,-0.05845612418906456
ACH-000671,-0.1661138595077477
ACH-000672,-0.06699784342720398
ACH-000673,-0.09160954315000107
ACH-000676,-0.18923474963206516
ACH-000677,-0.5631742716235344
ACH-000681,-0.1060753302726574
ACH-000683,-0.20328984649419876
ACH-000684,-0.008957750504902226
ACH-000688,-0.14251154995076634
ACH-000693,-0.3603619974015496
ACH-000694,-0.30681688057698675
ACH-000695,0.12646074101518556
ACH-000696,-0.3732646275535783
ACH-000697,-0.32925609165742104
ACH-000699,-0.13921028895862786
ACH-000701,-0.14929579397117365
ACH-000706,-0.2210114890907362
ACH-000711,-0.14791581501150142
ACH-000713,-0.2020062047507574
ACH-000714,-0.2504789411786257
ACH-000718,-0.13230679437496
ACH-000720,-0.198666143350064
ACH-000721,0.013844538286905218
ACH-000724,-0.2314111383263976
ACH-000725,-0.39731269533218894
ACH-000732,-0.07379424445128127
ACH-000734,-0.2141909023179437
ACH-000735,-0.1330267390572464
ACH-000736,-0.2167650470582243
ACH-000738,-0.21981156468388888
ACH-000746,-0.2576427860482971
ACH-000747,-0.4358134576862792
