,EP300 (2033)
ACH-000004,-0.44764856493854494
ACH-000005,-0.6794225137907633
ACH-000007,-0.34552880210012976
ACH-000009,-0.454855618903845
ACH-000011,-0.0980153249667734
ACH-000012,-0.1625635057823601
ACH-000013,-0.6484679692395819
ACH-000014,-0.8895064919308955
ACH-000015,-0.4400991293625841
ACH-000017,-0.9581203964278489
ACH-000018,-0.7663254005636089
ACH-000019,0.16622414185059345
ACH-000021,-0.4334975960834007
ACH-000022,-0.20692639719864184
ACH-000025,-0.21169562838405015
ACH-000028,-0.2849689590101881
ACH-000030,0.03149242397184905
ACH-000035,-0.6965914007504074
ACH-000036,0.05327125371540503
ACH-000037,-0.18887951583399196
ACH-000039,-0.02355211393386561
ACH-000040,-0.5920242070593599
ACH-000041,-0.6326703790476779
ACH-000042,-0.32790048018813706
ACH-000045,-0.51735592743107
ACH-000047,0.03336829474477283
ACH-000052,-0.2870634414987783
ACH-000053,-1.0714615630689552
ACH-000054,0.02514643438624766
ACH-000055,-0.2295588401586119
ACH-000060,-0.3940502205777214
ACH-000067,-0.42841793341779055
ACH-000070,-0.5416499230253398
ACH-000075,-0.1956317324606512
ACH-000078,-0.13407028860290476
ACH-000082,-0.7624432605440641
ACH-000085,-0.2992360316172876
ACH-000086,-0.12754511426111265
ACH-000087,-0.4870618083307616
ACH-000092,-0.07305412980349778
ACH-000095,-0.2952176236130451
ACH-000097,-0.18873233732227893
ACH-000098,-0.31601977699169503
ACH-000099,-0.9817964901620284
ACH-000108,0.09839442288595228
ACH-000113,-0.4656279462698806
ACH-000116,-0.34101864624543304
ACH-000118,-0.13734648443113354
ACH-000120,-0.57953101264697
ACH-000123,-0.7000865576199399
ACH-000127,-0.3907007686576686
ACH-000128,0.03575349576433503
ACH-000132,-0.23029811858817506
ACH-000133,0.02612002984775114
ACH-000137,-0.28461520598279866
ACH-000138,0.22523740697508554
ACH-000142,0.046994549314243315
ACH-000143,-0.6343650745306172
ACH-000146,-1.1840441048361872
ACH-000148,-0.5181241804546507
ACH-000150,0.2790583966770447
ACH-000152,0.13610955559781046
ACH-000153,-0.4094100660227417
ACH-000159,-0.2782792297934332
ACH-000160,-0.2353863956422757
ACH-000163,-0.6840259721392751
ACH-000167,0.13155133347672984
ACH-000168,-0.8256147388110965
ACH-000169,-0.7438276388209921
ACH-000178,-0.10010934947457956
ACH-000183,-0.8889136144204092
ACH-000188,0.35199177870505216
ACH-000189,-0.2853395618445247
ACH-000190,-0.20494256257256493
ACH-000198,-0.7680171486842204
ACH-000203,0.2549180566182912
ACH-000204,-0.7926830400214769
ACH-000206,-0.6494109863686728
ACH-000207,-0.2394845306984725
ACH-000208,0.414830215356696
ACH-000210,-0.5824372037578016
ACH-000211,0.02681589303635181
ACH-000215,-0.4402622542457097
ACH-000221,-0.4764025693822317
ACH-000222,-0.5081300929542845
ACH-000223,-0.5757880910095865
ACH-000226,-0.5790355888599389
ACH-000227,-0.9816060407926552
ACH-000228,-0.2786502866226984
ACH-000231,-0.2681460596505233
ACH-000232,0.06581897236335599
ACH-000233,-1.0112502143458026
ACH-000234,-0.04842147959276682
ACH-000235,0.1393855997408967
ACH-000237,0.09504666446276112
ACH-000238,0.08146528149026261
ACH-000242,0.4717729598912842
