,MAK16 (84549)
ACH-000004,-1.276041394640653
ACH-000005,-1.419584451291772
ACH-000007,-1.3719490721293908
ACH-000009,-1.3221833130796663
ACH-000011,-1.3396360582591151
ACH-000012,-1.4570495199189024
ACH-000013,-1.2694056420320003
ACH-000014,-1.4905723604822039
ACH-000015,-1.3503243557305398
ACH-000017,-1.0592414418739515
ACH-000018,-1.4093732413735365
ACH-000019,-1.2212556726466832
ACH-000021,-1.1668903440989458
ACH-000022,-1.380207191154932
ACH-000025,-1.5139623681780152
ACH-000028,-1.357843922072326
ACH-000030,-1.31108221556624
ACH-000035,-1.3797936033607616
ACH-000036,-1.241134961076831
ACH-000037,-1.4826218694428042
ACH-000039,-1.094574047908855
ACH-000040,-1.2605686124834077
ACH-000041,-1.149214898159464
ACH-000042,-1.4385177188087763
ACH-000045,-1.0888330945688711
ACH-000047,-1.1727249666191333
ACH-000052,-1.1530300939531262
ACH-000053,-1.2655396978470852
ACH-000054,-1.1529109325976623
ACH-000055,-1.4253031893136163
ACH-000060,-1.3646350568627128
ACH-000067,-1.334770779541029
ACH-000070,-1.565255139819126
ACH-000075,-1.2765917502009752
ACH-000078,-1.323390709195299
ACH-000082,-1.3610273744170736
ACH-000085,-1.3763661495804542
ACH-000086,-1.3049793837611974
ACH-000087,-1.4915329265614798
ACH-000092,-1.143226348208407
ACH-000095,-1.2803661305676983
ACH-000097,-1.0618015371654963
ACH-000098,-1.4935109789224068
ACH-000099,-1.1497046923834036
ACH-000108,-1.4846387302523587
ACH-000113,-1.077848217122064
ACH-000116,-1.144584941748784
ACH-000118,-1.2943955831786451
ACH-000120,-1.4482441250188618
ACH-000123,-1.2089553330505347
ACH-000127,-1.367472758187092
ACH-000128,-1.3795197878426877
ACH-000132,-1.3613562367623462
ACH-000133,-1.1419574955107918
ACH-000137,-1.419553256793406
ACH-000138,-1.3003287612266563
ACH-000142,-1.1938054166478624
ACH-000143,-1.4698231133808661
ACH-000146,-1.072195992963854
ACH-000148,-1.2507583702871563
ACH-000150,-1.2362240677290652
ACH-000152,-1.301913700938346
ACH-000153,-1.5675786417922224
ACH-000159,-1.4913536537605383
ACH-000160,-1.4670931456102267
ACH-000163,-1.183422460922247
ACH-000167,-1.6221656754566456
ACH-000168,-1.1955988854470732
ACH-000169,-1.1614375878730252
ACH-000178,-1.193909178948357
ACH-000183,-1.287178072008038
ACH-000188,-1.352757653720605
ACH-000189,-1.2277629123458151
ACH-000190,-1.3412180713647115
ACH-000198,-1.1375380654303084
ACH-000203,-1.0045936888775784
ACH-000204,-1.1762831156369813
ACH-000206,-1.12640938352398
ACH-000207,-1.1225308405253216
ACH-000208,-1.446718764940657
ACH-000210,-1.411485453044243
ACH-000211,-1.181876420343564
ACH-000215,-1.4081747772892357
ACH-000221,-1.6469719104049243
ACH-000222,-1.314604818467224
ACH-000223,-1.4137932908532838
ACH-000226,-1.2596556122279134
ACH-000227,-1.0722622502932897
ACH-000228,-1.3621273684527364
ACH-000231,-1.3544744259108272
ACH-000232,-1.43765133805426
ACH-000233,-1.314073400128844
ACH-000234,-1.4578980476365455
ACH-000235,-1.3064115523231383
ACH-000237,-1.4722458956255715
ACH-000238,-1.3586874201597399
ACH-000242,-1.4211184333981317
ACH-000243,-1.399059661354063
ACH-000244,-1.359182147950874
ACH-000246,-1.3585320754431849
ACH-000248,-1.3483025996203657
ACH-000250,-1.3431370827208258
ACH-000251,-1.4811517122841815
ACH-000252,-1.7055196314570265
ACH-000253,-1.363462867178521
ACH-000255,-1.151659435425552
ACH-000256,-1.5086356803912657
ACH-000257,-1.2555005243570263
ACH-000258,-1.034478670886399
ACH-000259,-1.2666856048428947
ACH-000260,-1.174905406352662
ACH-000261,-1.287017664176874
ACH-000262,-1.1972170994173208
ACH-000263,-1.1530950261424802
ACH-000264,-1.214085899004953
ACH-000265,-1.3002837070526356
ACH-000266,-1.327992679825498
ACH-000272,-1.2615118341196874
ACH-000274,-1.2657296722809863
ACH-000277,-1.2285433052376424
ACH-000278,-1.4366295585560618
ACH-000279,-1.3560873019675577
ACH-000280,-1.4892792136703448
ACH-000281,-1.2366187359013001
ACH-000288,-1.3350023639723123
ACH-000291,-1.4308273730740355
ACH-000293,-1.2896206353244957
ACH-000294,-1.5842486706702796
ACH-000295,-1.3384272885494344
ACH-000296,-1.420565122868888
ACH-000302,-1.4040190723952917
ACH-000304,-1.1755772594163048
ACH-000307,-1.4759007528140562
ACH-000308,-1.1920837165476978
ACH-000310,-1.3535023260924255
ACH-000311,-1.1779862984514975
ACH-000312,-1.3593457350675868
ACH-000315,-1.5719908435911647
ACH-000316,-1.3604133310949331
ACH-000317,-1.1836080831695015
ACH-000318,-1.1161665560453748
ACH-000319,-1.4571227853271165
ACH-000320,-1.3937271479434572
ACH-000322,-1.521076134745664
ACH-000323,-1.2548203794985118
ACH-000324,-1.4525804796803068
ACH-000329,-1.2497120311905516
ACH-000330,-1.5331998034686234
ACH-000331,-1.2672553472866164
ACH-000332,-1.3564873835590177
ACH-000334,-1.1093163982595835
ACH-000335,-1.1676821259359214
ACH-000336,-1.1596466499746472
ACH-000337,-1.2970764623684643
ACH-000338,-1.014574733279632
ACH-000339,-1.310095201194782
ACH-000341,-1.2627581781426724
ACH-000348,-1.1778744687046538
ACH-000350,-1.0375979377996551
ACH-000352,-1.484647673227317
ACH-000356,-1.4077838993761402
ACH-000361,-1.2921106686121615
ACH-000362,-1.0272243149583329
ACH-000363,-1.2763417473973016
ACH-000364,-1.3181900784133214
ACH-000365,-1.1124597071880828
ACH-000366,-1.1463250961673732
ACH-000368,-1.31326997464769
ACH-000374,-1.4903207146869812
ACH-000375,-1.4527684835925858
ACH-000376,-1.1997479808010163
ACH-000381,-1.3562180392327894
ACH-000383,-1.4803557050437794
ACH-000387,-1.3603635084981178
ACH-000389,-1.1285154230422598
ACH-000390,-1.552384740599499
ACH-000393,-1.0817196942327856
ACH-000395,-1.4679536642558249
ACH-000396,-1.2737396890901889
ACH-000397,-1.326122335650311
ACH-000401,-1.2514074954806909
ACH-000402,-1.100364094714456
ACH-000403,-1.3654280843106363
ACH-000404,-1.1622934989301876
ACH-000406,-1.2246603601506216
ACH-000407,-1.2434632533856522
ACH-000408,-1.5242655577309732
ACH-000410,-1.3016606401767497
ACH-000411,-1.1492518741894686
ACH-000414,-1.18100393479084
ACH-000415,-1.3389160340554085
ACH-000416,-1.3366764847781
ACH-000420,-1.1848435470453826
ACH-000421,-1.2784255181729256
ACH-000424,-1.3080159362828194
ACH-000425,-1.388180425796536
ACH-000426,-1.1412116237968448
ACH-000427,-1.2826754283926485
ACH-000433,-1.2636362210018737
ACH-000435,-1.2911833871762806
ACH-000436,-0.9589362858716476
ACH-000444,-1.201165933076518
ACH-000445,-1.4118632767098176
ACH-000448,-1.1148693129852527
ACH-000450,-1.4900265255238898
ACH-000452,-1.4156347015082265
ACH-000454,-1.1380074385586616
ACH-000458,-1.1587542753475557
ACH-000459,-1.106372754545215
ACH-000460,-1.1366165738497445
ACH-000461,-1.0731931716981558
ACH-000463,-1.2738098330527647
ACH-000464,-1.367337391738499
ACH-000466,-1.5074755874766774
ACH-000467,-1.2710925224548408
ACH-000468,-1.4339989641634834
ACH-000469,-1.3059628391625275
ACH-000470,-1.574866450677581
ACH-000471,-1.4042174515867585
ACH-000472,-1.4375037628747978
ACH-000473,-1.3003241296275536
ACH-000475,-1.3773915687935678
ACH-000476,-1.1134128854879093
ACH-000477,-1.2364668664550211
ACH-000479,-1.2635904781871954
ACH-000480,-1.2955920369789873
ACH-000481,-1.3821943273591553
ACH-000483,-1.4743881892132067
ACH-000484,-1.3991179324905083
ACH-000485,-1.1676755854226797
ACH-000486,-1.3072585256234115
