,STX18 (53407)
ACH-000004,-0.6765005817706837
ACH-000005,-0.39066347646461824
ACH-000007,-0.2631619730545466
ACH-000009,-0.5490123845435243
ACH-000011,-0.7110470040558973
ACH-000012,-0.59603861428374
ACH-000013,-0.8938305641858361
ACH-000014,-0.5495948847351613
ACH-000015,-0.6043211828263721
ACH-000017,-0.752510897639694
ACH-000018,-0.8714749758237963
ACH-000019,-0.581942405015344
ACH-000021,-0.4112084978636589
ACH-000022,-0.6458442059256702
ACH-000025,-0.8526980485264671
ACH-000028,-0.7847223797306188
ACH-000030,-0.5123625517518974
ACH-000035,-0.7359340437435743
ACH-000036,-0.7859597109073123
ACH-000037,-0.4243568475920576
ACH-000039,-0.8816418142745196
ACH-000040,-0.7180087518126889
ACH-000041,-0.6403448360981252
ACH-000042,-0.5437234847404161
ACH-000045,-0.5712411935143392
ACH-000047,-0.7397178167638857
ACH-000052,-0.5076769792959941
ACH-000053,-0.6386073670433173
ACH-000054,-0.6297579275083021
ACH-000055,-0.6661732117036593
ACH-000060,-0.5496153768737462
ACH-000067,-0.7648407954961929
ACH-000070,-0.5717974678455697
ACH-000075,-0.9382900524926407
ACH-000078,-0.5500985554760361
ACH-000082,-0.5769721802983162
ACH-000085,-0.9692713458293556
ACH-000086,-0.6136288388368555
ACH-000087,-0.6239360666533542
ACH-000092,-0.5709229319118486
ACH-000095,-0.5612828954426062
ACH-000097,-0.6303621588786181
ACH-000098,-0.6014761109734578
ACH-000099,-0.6299447825712793
ACH-000108,-0.8306943192112635
ACH-000113,-0.5600790082717115
ACH-000116,-0.7902455486303329
ACH-000118,-0.8657700605929959
ACH-000120,-0.6462675790807602
ACH-000123,-0.5788674802056909
ACH-000127,-0.6945938951725428
ACH-000128,-0.6477824182737111
ACH-000132,-0.7906024953411004
ACH-000133,-0.6458566974942789
ACH-000137,-0.5885380248771935
ACH-000138,-0.4753698663303975
ACH-000142,-0.7027033249994793
ACH-000143,-0.758665504586361
ACH-000146,-0.4395289871355714
ACH-000148,-0.9132044749589452
ACH-000150,-0.6580570633592524
ACH-000152,-0.9091165916364918
ACH-000153,-0.8623098986410507
ACH-000159,-0.7488906941059265
ACH-000160,-0.5582399283638875
ACH-000163,-0.6612352912088063
ACH-000167,-0.6570017138357968
ACH-000168,-0.5262789017721708
ACH-000169,-0.6584226301993203
ACH-000178,-0.6499752585427173
ACH-000183,-0.7329790312220423
ACH-000188,-0.7030989184663258
ACH-000189,-1.11796046246918
ACH-000190,-0.6132168763693245
ACH-000198,-0.46440325425924
ACH-000203,-0.6663385312831442
ACH-000204,-1.0109797517961276
ACH-000206,-0.5167709054871436
ACH-000207,-0.4379292456289573
ACH-000208,-0.4824535440661152
ACH-000210,-0.5558350396416747
ACH-000211,-0.5077398952187521
ACH-000215,-0.7018233690092405
ACH-000221,-0.6304485486928908
ACH-000222,-0.5388225211090971
ACH-000223,-0.9465866464207422
ACH-000226,-0.4987191445626768
ACH-000227,-0.5971166866428703
ACH-000228,-0.5130267858362237
ACH-000231,-0.538680170595169
ACH-000232,-0.7035396000762557
ACH-000233,-0.5000189153296866
ACH-000234,-0.7013770641804207
ACH-000235,-0.4416732533960459
ACH-000237,-0.762739407956878
ACH-000238,-0.712578251147055
ACH-000242,-0.9357699318017364
ACH-000243,-0.7804563878231785
ACH-000244,-1.1000441439348505
ACH-000246,-0.6691456491292066
ACH-000248,-0.7708483970886366
ACH-000250,-0.6859159849644686
ACH-000251,-0.6724248452000299
ACH-000252,-0.8202700760516366
ACH-000253,-0.5628430912456373
ACH-000255,-0.6749458623804596
ACH-000256,-0.6109809948524536
ACH-000257,-0.5998353922342644
ACH-000258,-0.7181604811091559
ACH-000259,-0.7708457202988307
ACH-000260,-0.6992262072146651
ACH-000261,-0.6934523582715739
ACH-000262,-0.7546067069174083
ACH-000263,-0.4598130011862314
ACH-000264,-0.6164178026907923
ACH-000265,-0.7268463506499836
ACH-000266,-0.6178204228038394
ACH-000272,-0.8536222802853194
ACH-000274,-0.7070805261418572
ACH-000277,-0.647347893013801
ACH-000278,-0.5687573567764898
ACH-000279,-0.5294064463783655
ACH-000280,-0.6365156218164827
ACH-000281,-0.5531508240321938
ACH-000288,-0.935170695134634
ACH-000291,-0.5608930921754243
ACH-000293,-0.7257349733390739
ACH-000294,-0.4644651493952397
ACH-000295,-0.32746909199400803
ACH-000296,-1.046498525152009
ACH-000302,-0.9185604809318092
ACH-000304,-0.6762596933419504
ACH-000307,-0.44250520664503545
ACH-000308,-0.9290587437566974
ACH-000310,-0.7262760101560799
ACH-000311,-0.6473408991617179
ACH-000312,-0.627328341669401
ACH-000315,-0.6288642794059344
ACH-000316,-0.3352660263563917
ACH-000317,-0.7031552110020328
ACH-000318,-0.6000588828619663
ACH-000319,-0.8552150165204462
ACH-000320,-0.6687848061406162
ACH-000322,-0.6963374273181319
ACH-000323,-0.8083481074343986
ACH-000324,-0.5587311029603959
ACH-000329,-0.4508878006412493
ACH-000330,-0.8763436161380781
ACH-000331,-0.8105262921773304
ACH-000332,-0.6405013710396532
ACH-000334,-0.9419057509922631
ACH-000335,-0.5829005348536089
ACH-000336,-0.3583832712212428
ACH-000337,-0.6307869170610076
ACH-000338,-1.384252218741276
ACH-000339,-0.6894964421620771
ACH-000341,-0.7391121363751657
ACH-000348,-0.7530586944154478
ACH-000350,-0.3958332427690667
ACH-000352,-0.8133328365206725
ACH-000356,-0.6693059851197285
ACH-000361,-0.5935043062175139
ACH-000362,-0.5008676123603418
ACH-000363,-0.8029309758346695
ACH-000364,-0.8843932945254707
ACH-000365,-0.6740511539267623
ACH-000366,-0.6493024710366737
ACH-000368,-0.9010167454291732
ACH-000374,-0.694898902992696
ACH-000375,-0.662675760758009
ACH-000376,-0.6914343237006494
ACH-000381,-0.6933426389658679
ACH-000383,-0.4430760224254142
ACH-000387,-0.6473442787239665
ACH-000389,-0.5918683100771216
