,APMAP (57136)
ACH-000004,-0.13698136948917933
ACH-000005,-0.2561499964374652
ACH-000007,-0.2322504119895112
ACH-000009,0.06164876504155465
ACH-000011,-0.10338511071762962
ACH-000012,0.04550051349173687
ACH-000013,-0.05125473772946268
ACH-000014,0.05192700738328248
ACH-000015,0.14049829451346882
ACH-000017,0.025437801467243008
ACH-000018,-0.02413565180380963
ACH-000019,-0.10629529409355193
ACH-000021,0.021086640114681417
ACH-000022,-0.02326765769823112
ACH-000025,0.13260054217775782
ACH-000028,-0.15723936344887846
ACH-000030,-0.01896242126474376
ACH-000035,-0.2532918907893613
ACH-000036,-0.07643416847545145
ACH-000037,0.07063735589099318
ACH-000039,0.08028154049713175
ACH-000040,-0.1297144351612435
ACH-000041,0.05176725193706399
ACH-000042,0.024973149960329243
ACH-000045,0.07720100234886858
ACH-000047,-0.1062487259755685
ACH-000052,-0.2312527836946185
ACH-000053,-0.11654056417540665
ACH-000054,-0.10750055016223233
ACH-000055,-0.11007843557072763
ACH-000060,-0.024257367496629448
ACH-000067,0.043336770516650316
ACH-000070,-0.13852917980755494
ACH-000075,0.11174013101810427
ACH-000078,-0.026520400761335248
ACH-000082,-0.07908664291718
ACH-000085,-0.08409712228838719
ACH-000086,0.05409306801576797
ACH-000087,-0.03674020171355569
ACH-000092,-0.09400541365988843
ACH-000095,-0.051129692275803766
ACH-000097,-0.131771022143282
ACH-000098,-0.054349257191872516
ACH-000099,0.021047445545933376
ACH-000108,-0.03857509567490136
ACH-000113,-0.0004758779738535133
ACH-000116,-0.0230908881271509
ACH-000118,0.004862326430610239
ACH-000120,-0.02354984771566351
ACH-000123,-0.054238401329701084
ACH-000127,0.01085711581494079
ACH-000128,-0.09864805017879014
ACH-000132,-0.11121426658127916
ACH-000133,-0.15568023908456746
ACH-000137,-0.1047416906939528
ACH-000138,0.09100942029014436
ACH-000142,0.2323264199334352
ACH-000143,0.011682753744214595
ACH-000146,-0.023673939869043384
ACH-000148,0.02734860814165418
ACH-000150,-0.1857491992611592
ACH-000152,-0.0718878230121594
ACH-000153,0.14866043418013314
ACH-000159,-0.010743426174107942
ACH-000160,-0.06567968201312925
