,IBSP (3381)
ACH-000004,0.051954169393216836
ACH-000005,-0.12312586081967565
ACH-000007,-0.028341904844571414
ACH-000009,0.13889899712263465
ACH-000011,0.07350362542742428
ACH-000012,0.04630998226300823
ACH-000013,0.12666768595648767
ACH-000014,0.25065894355940416
ACH-000015,0.004734677561239238
ACH-000017,-0.01994161231971868
ACH-000018,0.2247987215046952
ACH-000019,0.1228993594178731
ACH-000021,0.0845707527840817
ACH-000022,-0.035733853129485
ACH-000025,0.08164117971076654
ACH-000028,-0.06403230245423963
ACH-000030,0.09086737518391097
ACH-000035,0.051905855387290735
ACH-000036,0.13955766261641353
ACH-000037,0.08209456764899907
ACH-000039,-0.039586678532361835
ACH-000040,0.18573380798066794
ACH-000041,0.03250310923505915
ACH-000042,0.1102055963679211
ACH-000045,0.13490319694452338
ACH-000047,0.024240486878043786
ACH-000052,0.03288700476551938
ACH-000053,-0.026178552146889127
ACH-000054,-0.004089917337864996
ACH-000055,-0.0816456380754222
ACH-000060,-0.05155172398067955
ACH-000067,0.16881006967957246
ACH-000070,0.2179217822552292
ACH-000075,0.05926678447598473
ACH-000078,0.028031895441135816
ACH-000082,0.10122349797443454
ACH-000085,0.11909463081784485
ACH-000086,0.038672790990661884
ACH-000087,0.05385867021259812
ACH-000092,0.19922337819222
ACH-000095,0.009619101341060116
ACH-000097,-0.08005966114088273
ACH-000098,0.07024598585645891
ACH-000099,0.09751438639697242
ACH-000108,0.16119513817312794
ACH-000113,0.16427913692323298
ACH-000116,0.08842000734938117
ACH-000118,0.193768651061281
ACH-000120,0.06551223475679177
ACH-000123,0.1155647787764144
ACH-000127,0.0861547889612481
ACH-000128,0.1443211719621737
ACH-000132,-0.04849781243648188
ACH-000133,0.024036880052847792
ACH-000137,0.05826584085525261
ACH-000138,0.1755640422188647
ACH-000142,0.04973923616093123
ACH-000143,0.09040185581118336
ACH-000146,0.04476934419975807
ACH-000148,0.08823665284405828
ACH-000150,0.07514245607809107
ACH-000152,0.06876219415376968
ACH-000153,-0.14763518753614055
ACH-000159,0.06142155066230009
ACH-000160,0.0036112295741915134
ACH-000163,0.06338227573468838
ACH-000167,0.12424247277999245
