,VCL (7414)
ACH-000004,-0.061706218133409464
ACH-000005,-0.04598550650413785
ACH-000007,-0.2255650326591722
ACH-000009,-0.2876276454797022
ACH-000011,-0.3504707622741125
ACH-000012,-0.03581455343373472
ACH-000013,0.020984151086069488
ACH-000014,-0.3234672664964316
ACH-000015,-0.11517328221243185
ACH-000017,-0.16375085854554386
ACH-000018,-0.6511504106767415
ACH-000019,-0.10010044273233176
ACH-000021,-0.2347317600372841
ACH-000022,0.13609985282971732
ACH-000025,-0.5043546366969259
ACH-000028,-0.1907571209833527
ACH-000030,-0.41219562200914456
ACH-000035,-0.09796658488694986
ACH-000036,-0.4668199055981185
ACH-000037,0.061716823337253875
ACH-000039,-0.0421447100152551
ACH-000040,-0.4959490273211455
ACH-000041,-0.1060227489144489
ACH-000042,-0.16788222438628045
ACH-000045,-0.2202370588336556
ACH-000047,-0.27376707125869737
ACH-000052,-0.1948145020225911
ACH-000053,-0.0434034116500552
ACH-000054,-0.40466472872103737
ACH-000055,-0.07390184504414561
ACH-000060,-0.4664388774496915
ACH-000067,-0.6026394845011079
ACH-000070,-0.10700081244420193
ACH-000075,-0.01403323741500827
ACH-000078,-0.08617841589097268
ACH-000082,-0.2908344225805482
ACH-000085,-0.17588440216838075
ACH-000086,-0.20497442976822805
ACH-000087,0.05269052095098919
ACH-000092,-0.280162863136986
ACH-000095,-0.1167583773720168
ACH-000097,-0.3789360568992058
ACH-000098,-0.3896848454302547
ACH-000099,-0.12967058145325153
ACH-000108,-0.24731487112768305
ACH-000113,-0.1889138614719563
ACH-000116,-0.10637838141914273
ACH-000118,-0.35450910781573564
ACH-000120,-0.3539393392842375
ACH-000123,-0.2624324433464991
ACH-000127,-0.3998994059026242
ACH-000128,-0.22447620859295989
ACH-000132,-0.42675395172452935
ACH-000133,-0.32368341060947936
ACH-000137,-0.2908463240868726
ACH-000138,-0.253355899554703
ACH-000142,-0.23970865295545435
ACH-000143,-0.2904072843326239
ACH-000146,-0.025609920643909382
ACH-000148,-0.2535580767891543
ACH-000150,-0.33590695616677857
ACH-000152,-0.43336825988822586
ACH-000153,-0.22962331840118602
ACH-000159,-0.17448802840847372
ACH-000160,-0.30010953119386685
ACH-000163,-0.19546249696144008
ACH-000167,-0.4715932155550026
ACH-000168,-0.16781253412264396
ACH-000169,-0.2004641088368893
ACH-000178,-0.2871154211042624
ACH-000183,-0.2297831066201628
ACH-000188,-0.22081671210622308
ACH-000189,-0.2608350050083497
ACH-000190,-0.41999388513674574
ACH-000198,-0.14940972485767412
ACH-000203,0.09898677346600586
ACH-000204,-0.1041040714841887
ACH-000206,-0.2035541932210569
ACH-000207,-0.20118900914657264
ACH-000208,-0.9673898848961056
ACH-000210,0.2223418858083128
ACH-000211,-0.3047912447435394
ACH-000215,-0.4744665175643813
ACH-000221,0.07592852416677408
ACH-000222,-0.14356919037088708
ACH-000223,-0.09773028890156804
ACH-000226,-0.14986037954783854
ACH-000227,-0.09022902620299372
ACH-000228,-0.17692548430158672
ACH-000231,-0.2897030550344318
ACH-000232,-0.3093396235198537
ACH-000233,-0.07000770647490381
ACH-000234,-0.2244013621300328
ACH-000235,-0.2438556782690711
ACH-000237,-0.21290152589520475
ACH-000238,-0.11252704444567176
ACH-000242,-0.3444986668981805
ACH-000243,-0.18048658045029148
ACH-000244,-0.4815802862545021
ACH-000246,-0.3894627113867673
ACH-000248,-0.40449866360001385
ACH-000250,-0.23476047976489606
ACH-000251,-0.05138082508772338
ACH-000252,-0.3404100629515494
ACH-000253,-0.08622163244707548
ACH-000255,-0.3643912909564445
ACH-000256,-0.12805483666870274
ACH-000257,-0.26814801124727433
ACH-000258,-0.0288440872271906
ACH-000259,-0.2160654375964456
ACH-000260,-0.14603117460838572
ACH-000261,-0.2814001470808476
ACH-000262,-0.3569055550293048
ACH-000263,-0.3622044381427782
ACH-000264,-0.2377680051324804
ACH-000265,-0.13257477114302507
ACH-000266,-0.1724152096238935
ACH-000272,-0.22338176528928047
ACH-000274,-0.32140623432893073
ACH-000277,-0.0626523351025597
ACH-000278,-0.27204520897169365
ACH-000279,-0.1940379453923115
ACH-000280,-0.29528972821865196
ACH-000281,-0.3782051053606243
ACH-000288,-0.4571721941864589
ACH-000291,-0.2723685318959258
ACH-000293,-0.2309018409531184
ACH-000294,-0.2293569119242205
ACH-000295,-0.3355813237858402
ACH-000296,-0.13528352380064446
ACH-000302,-0.238090838406754
ACH-000304,-0.2610507698844097
ACH-000307,-0.23625513599520614
ACH-000308,-0.14558745954850988
ACH-000310,-0.0545190478620543
ACH-000311,-0.11377259490706118
ACH-000312,-0.024100715810926925
ACH-000315,-0.021568469292557624
ACH-000316,-0.2007728027624734
ACH-000317,-0.10074305577471553
ACH-000318,-0.24960528338584914
ACH-000319,-0.3714962591607155
ACH-000320,-0.3212652876989287
ACH-000322,-0.4027007891566872
ACH-000323,-0.4348066584076071
ACH-000324,-0.2569829395997319
ACH-000329,-0.3292007520764145
ACH-000330,-0.1436224106399423
ACH-000331,-0.5223234133486472
ACH-000332,-0.1464445914393401
ACH-000334,-0.12041733427407393
ACH-000335,-0.43693205574493305
ACH-000336,-0.12578395540703352
ACH-000337,-0.1913533563473074
ACH-000338,-0.07943750345118611
ACH-000339,-0.5276229329403386
ACH-000341,-0.16818166236045934
ACH-000348,-0.4253781765616769
ACH-000350,0.029131666415540505
ACH-000352,-0.06292183336484633
ACH-000356,-0.4348168330221567
ACH-000361,-0.4027501565968677
ACH-000362,-0.13134589342884134
ACH-000363,-0.020532332093643628
ACH-000364,-0.3615699862060323
ACH-000365,-0.08154417669948265
ACH-000366,-0.14794649063056775
ACH-000368,-0.7475130468023844
ACH-000374,-0.28227024663645345
ACH-000375,-0.4831497760411009
ACH-000376,-0.3944512819932792
ACH-000381,-0.3296268855876
ACH-000383,-0.16275892010946932
ACH-000387,-0.2299346921309532
ACH-000389,-0.6162116206376477
ACH-000390,-0.2771199475999414
ACH-000393,-0.3148278083044528
ACH-000395,-0.6340766257453512
ACH-000396,-0.5638117643934009
ACH-000397,-0.5206205960046512
ACH-000401,-0.1224093385240858
ACH-000402,0.10935833947747647
ACH-000403,-0.2254645008397457
ACH-000404,-0.6344724160248589
ACH-000406,0.014310643151954287
ACH-000407,-0.514190325311071
ACH-000408,-0.25544977598373997
ACH-000410,-0.3601869382261946
ACH-000411,-0.2978250440371986
ACH-000414,-0.006185463677167047
ACH-000415,-0.2014350127028044
ACH-000416,-0.3672090235438892
ACH-000420,-0.3051367179132504
ACH-000421,-0.17324088840378749
ACH-000424,-0.1602334403434509
ACH-000425,-0.4339199425104641
ACH-000426,-0.2746713197651874
ACH-000427,-0.042091689874069936
ACH-000433,-0.4580188896393492
ACH-000435,-0.6569629488740127
ACH-000436,-0.06895257245119618
ACH-000444,-0.18889313667007332
ACH-000445,-0.489881109015406
ACH-000448,-0.1391067038698046
ACH-000450,-0.24529487265088315
ACH-000452,-0.09675171358377446
ACH-000454,-0.4129179254352196
ACH-000458,-0.2690075909396853
ACH-000459,-0.16145877418148827
ACH-000460,-0.4835712358160372
ACH-000461,-0.08407527318877607
ACH-000463,-0.010815743014847192
ACH-000464,-0.4417930476324222
ACH-000466,-0.25330095360104904
ACH-000467,-0.2358647935415525
ACH-000468,-0.28422352075725144
ACH-000469,-0.8834727130354171
ACH-000470,-0.2363303829604488
ACH-000471,-0.3748916173004012
ACH-000472,-0.09482372267638152
ACH-000473,-0.0951261148718133
ACH-000475,-0.16615341982230789
ACH-000476,-0.28936015666732073
ACH-000477,-0.10141969633725967
ACH-000479,-0.4345802377298307
ACH-000480,-0.048264207883030034
