,PLXNA2 (5362)
ACH-000004,-0.15464010460679525
ACH-000005,-0.20616158650790392
ACH-000007,-0.15447439978819705
ACH-000009,-0.14625453770185753
ACH-000011,-0.038153268656122
ACH-000012,-0.04409242565149514
ACH-000013,-0.09530996789022447
ACH-000014,-0.06465756925087571
ACH-000015,-0.022398794672869857
ACH-000017,-0.08420614827223033
ACH-000018,0.06412071737973378
ACH-000019,-0.05568407740385498
ACH-000021,-0.20590081543072544
ACH-000022,-0.026674470806118268
ACH-000025,-0.05052166529008347
ACH-000028,-0.08726715298782647
ACH-000030,-0.000759884957337243
ACH-000035,0.0428168755052691
ACH-000036,-0.12496796466599465
ACH-000037,-0.040545321495509865
ACH-000039,-0.12496541521388857
ACH-000040,-0.026085527750286257
ACH-000041,-0.16272694003686192
ACH-000042,-0.18369980408906755
ACH-000045,0.02147929392912665
ACH-000047,-0.0044231928714575375
ACH-000052,-0.12620727151287736
ACH-000053,-0.0958921637297783
ACH-000054,-0.1674457899151435
ACH-000055,0.024538670891673213
ACH-000060,-0.04204427323120905
ACH-000067,-0.003966613984921943
ACH-000070,-0.22816587069940106
ACH-000075,0.0028037248111328155
ACH-000078,0.040066266386053706
ACH-000082,-0.15162726843708793
ACH-000085,0.048967828715735226
ACH-000086,-0.217100278138786
ACH-000087,-0.07085275747928403
ACH-000092,-0.10029374371314936
ACH-000095,-0.1985548195244871
ACH-000097,-0.08623891424782668
ACH-000098,-0.09522971751479507
ACH-000099,-0.15464622425842392
ACH-000108,-0.046407458907798016
ACH-000113,-0.17309553640157166
ACH-000116,-0.0795889456002475
ACH-000118,-0.03166688343923668
ACH-000120,-0.07702751022044534
ACH-000123,-0.10502014077874304
ACH-000127,-0.06745421779261464
ACH-000128,-0.2576524413786276
ACH-000132,-0.2511293088828851
ACH-000133,-0.007559055028046344
ACH-000137,-0.19081717361382905
ACH-000138,-0.13060447995652974
ACH-000142,0.06449124272716915
ACH-000143,-0.276884925387003
ACH-000146,-0.0629345451541566
ACH-000148,-0.15356787182315976
ACH-000150,-0.24322658084597346
ACH-000152,-0.09742311113036184
ACH-000153,-0.14423222941216868
ACH-000159,-0.022084149780521492
ACH-000160,-0.1898766616856214
ACH-000163,-0.13382770045940026
ACH-000167,0.2222335590146033
ACH-000168,0.0130656346858842
ACH-000169,-0.12112569954025044
ACH-000178,-0.00796886712993915
ACH-000183,-0.16162436756777315
ACH-000188,0.037884214370022665
ACH-000189,-0.0564541119711726
ACH-000190,-0.1063362423002642
ACH-000198,-0.027992552224201717
ACH-000203,-0.2573490296590221
ACH-000204,-0.425719900098655
ACH-000206,-0.2362200116989169
ACH-000207,0.069325704758235
ACH-000208,-0.1667083920937232
ACH-000210,-0.1336346996148836
ACH-000211,-0.10829330734639203
ACH-000215,-0.1830118219612932
ACH-000221,0.032164586865465965
ACH-000222,0.0072198931063221375
ACH-000223,-0.10561614620639803
ACH-000226,-0.09855935487123686
ACH-000227,-0.1036540689789773
ACH-000228,-0.0894393117274396
ACH-000231,-0.14629131964370798
ACH-000232,-0.031554960634603765
ACH-000233,-0.06335499202992376
ACH-000234,-0.08705389954639382
ACH-000235,-0.028261613853897763
