,KAT7 (11143)
ACH-000004,-0.19837213782272928
ACH-000005,-0.2386942457893293
ACH-000007,-0.2794072169206745
ACH-000009,-0.32166892723782
ACH-000011,-0.21637625328819424
ACH-000012,-0.17834372858566042
ACH-000013,-0.2726870911817552
ACH-000014,-0.3979400759454456
ACH-000015,-0.30362208984020395
ACH-000017,-0.0771822039766367
ACH-000018,-0.34325440201603513
ACH-000019,-0.3622193147340153
ACH-000021,-0.11905828069950156
ACH-000022,-0.2878131675958178
ACH-000025,-0.23237322505344646
ACH-000028,-0.3286133750235985
ACH-000030,-0.3037400055768036
ACH-000035,-0.27784080013155793
ACH-000036,-0.08310404797467659
ACH-000037,-0.3208894148891633
ACH-000039,-0.2961658987043293
ACH-000040,-0.31882990810796313
ACH-000041,-0.03467558396519257
ACH-000042,-0.35770752482113816
ACH-000045,-0.5200606892044917
ACH-000047,0.10480157302821362
ACH-000052,-0.2343056448238463
ACH-000053,-0.029163381839636394
ACH-000054,-0.2317033118596757
ACH-000055,-0.2052440640342668
ACH-000060,-0.14389012125200853
ACH-000067,-0.21638018766267544
ACH-000070,-0.4513879876308434
ACH-000075,-0.30475603465335177
ACH-000078,-0.28891729520398096
ACH-000082,-0.21417783891409167
ACH-000085,-0.2177678410274484
ACH-000086,-0.19903632695506407
ACH-000087,-0.1721620667595891
ACH-000092,-0.28328135041897495
ACH-000095,-0.2901372829345387
ACH-000097,-0.2909354981011231
ACH-000098,-0.2647106210888728
ACH-000099,-0.15597043690234172
ACH-000108,-0.19586682184947296
ACH-000113,-0.42583204059130336
ACH-000116,-0.2980888758482302
ACH-000118,-0.24558947202844286
ACH-000120,-0.24397780562174956
ACH-000123,-0.2272042894920098
ACH-000127,0.00848779751771762
ACH-000128,-0.1294773170025053
ACH-000132,0.013538666805649536
ACH-000133,-0.0908260494787302
ACH-000137,-0.2114639604689109
ACH-000138,-0.18616799966570488
ACH-000142,-0.17075788032309155
ACH-000143,-0.5907129845629359
ACH-000146,-0.11693832215452846
ACH-000148,-0.1737691251035015
ACH-000150,-0.4718059681465218
ACH-000152,-0.3026824395080612
ACH-000153,-0.22094300158039545
ACH-000159,-0.2933148470041912
ACH-000160,-0.14837186633453206
ACH-000163,-0.2878336459469565
ACH-000167,0.7930831220580314
ACH-000168,-0.3610187746628157
ACH-000169,0.017630014327709068
ACH-000178,-0.2205688443183261
ACH-000183,-0.4434339258014076
ACH-000188,-0.28935881758653675
ACH-000189,-0.3648643316656496
ACH-000190,0.04365849331459565
ACH-000198,-0.5780794613813446
ACH-000203,-0.8340621310192599
ACH-000204,-0.2537230427645631
ACH-000206,-0.1726826543371512
ACH-000207,-0.23459531041459544
ACH-000208,-0.21684324315084308
ACH-000210,-0.22854928966729415
ACH-000211,-0.3231742443579979
ACH-000215,-0.05761916545996412
ACH-000221,-0.08354675841974496
ACH-000222,-0.09795237998009844
ACH-000223,-0.19207963654291865
ACH-000226,-0.3737835592898915
ACH-000227,-0.338249660356
ACH-000228,-0.29553552598379745
