,ATP5O (539)
ACH-000004,-0.3364141182945076
ACH-000005,-0.5309864079648436
ACH-000007,-0.3917704103978732
ACH-000009,-0.3174146805883174
ACH-000011,0.011179354238917196
ACH-000012,-0.2146656957849237
ACH-000013,-0.4047218041307836
ACH-000014,-0.16209523120875627
ACH-000015,-0.3982003189533034
ACH-000017,-0.5824642587265552
ACH-000018,-0.3528410115433828
ACH-000019,-0.7037120855144486
ACH-000021,-0.3148257328562663
ACH-000022,-0.5961213218707521
ACH-000025,-0.3239270117898527
ACH-000028,-0.5067279941371947
ACH-000030,-0.38060865955243395
ACH-000035,-0.5027834546660264
ACH-000036,-0.21057424326555046
ACH-000037,-0.2935738504890153
ACH-000039,-0.408878106761866
ACH-000040,-0.2715520490181637
ACH-000041,-0.14044388034768776
ACH-000042,-0.18032712873057172
ACH-000045,-0.3371564608691897
ACH-000047,-0.4183698515213302
ACH-000052,-0.2245472088841345
ACH-000053,-0.3478443064197417
ACH-000054,-0.287900163306686
ACH-000055,-0.2848058944704924
ACH-000060,-0.4018748618154961
ACH-000067,-0.2538290062114011
ACH-000070,-0.3893141954831104
ACH-000075,-0.1625122624996431
ACH-000078,-0.1833199481772345
ACH-000082,-0.3322423470806242
ACH-000085,-0.3110517033820724
ACH-000086,-0.4553694122697995
ACH-000087,-0.5892037010714409
ACH-000092,-0.3164799327640727
ACH-000095,-0.25909495305157904
ACH-000097,-0.5015117500487365
ACH-000098,-0.1907176228190996
ACH-000099,-0.2293415563285073
ACH-000108,-0.3370756672549409
ACH-000113,-0.4129362599600841
ACH-000116,-0.8503992238872495
ACH-000118,-0.4528139066538661
ACH-000120,-0.2928489523658832
ACH-000123,-0.4233961766121156
ACH-000127,-0.5242887144556954
ACH-000128,-0.4914504757146017
ACH-000132,-0.33905710877379336
ACH-000133,-0.2157465452654912
ACH-000137,-0.215803170862866
ACH-000138,-0.2827240962098844
ACH-000142,-0.4111405904530207
ACH-000143,-0.293263509966941
ACH-000146,-0.21269599598641187
ACH-000148,-0.4132946744516883
ACH-000150,-0.2648053923153875
ACH-000152,-0.2790801447392597
ACH-000153,-0.2600022618945019
ACH-000159,-0.30716174982862643
ACH-000160,-0.5935017575600686
ACH-000163,-0.2663220157900548
ACH-000167,0.09417874823178678
ACH-000168,-0.3433861475247315
ACH-000169,-0.4572582284305701
ACH-000178,-0.3785887076574849
ACH-000183,-0.41143063234240657
ACH-000188,-0.4644299647493206
ACH-000189,-0.36322608712154253
ACH-000190,-0.5702538273719108
ACH-000198,-0.20588196444785534
ACH-000203,-0.43975748573216383
ACH-000204,-0.33560940110554444
ACH-000206,-0.712264622240355
ACH-000207,-0.3607892071073455
ACH-000208,-0.33314525773425546
ACH-000210,-0.5993015744517958
ACH-000211,-0.31576408048617266
ACH-000215,-0.5792716310043866
ACH-000221,-0.5847396340483655
ACH-000222,-0.4674326018396535
ACH-000223,-0.5229716448482289
ACH-000226,-0.24162508456902165
ACH-000227,-0.3506053513889839
ACH-000228,-0.23695957039374985
ACH-000231,-0.3507290199873874
ACH-000232,-0.34844913633714336
ACH-000233,-0.14497917957937018
ACH-000234,-0.17936303923705818
ACH-000235,-0.17169449851295912
ACH-000237,-0.12951592300765474
ACH-000238,-0.527114293950897
ACH-000242,-0.5936678142455708
ACH-000243,-0.2771667191190909
ACH-000244,-0.13966194388140293
ACH-000246,-0.519668935728787
ACH-000248,-0.4978448298545665
ACH-000250,-0.1642240423852002
ACH-000251,-0.5581326854793134
ACH-000252,-0.326114643523138
ACH-000253,-0.2669565434198201
ACH-000255,-0.4904549320424898
ACH-000256,-0.20564781359059686
ACH-000257,-0.6378831160492326
ACH-000258,-0.4238288782660731
ACH-000259,-0.5339413222977291
ACH-000260,-0.25843986087253296
