,NOSIP (51070)
ACH-000004,-0.31820582952955584
ACH-000005,-0.3448808738975478
ACH-000007,-0.11065086042768947
ACH-000009,-0.19902107995505147
ACH-000011,-0.2297928631458105
ACH-000012,-0.41286933098375067
ACH-000013,-0.5191451148338122
ACH-000014,-0.053315618442857864
ACH-000015,-0.3930812532402249
ACH-000017,-0.09252132331843924
ACH-000018,-0.06963524703228301
ACH-000019,-0.2034128542439104
ACH-000021,-0.29281616850466835
ACH-000022,-0.2568374027552961
ACH-000025,-0.043133324538515004
ACH-000028,-0.2376997746328333
ACH-000030,-0.2342756839387621
ACH-000035,-0.035654688488154285
ACH-000036,-0.13747300971108714
ACH-000037,-0.056480211823464216
ACH-000039,-0.1501429133516036
ACH-000040,-0.0188743935262636
ACH-000041,-0.029851871511271343
ACH-000042,-0.15904832269101266
ACH-000045,-0.3301864666468198
ACH-000047,-0.08841463773741769
ACH-000052,0.049743085023052164
ACH-000053,-0.2831011501648867
ACH-000054,-0.11709425941614955
ACH-000055,-0.35667833716503994
ACH-000060,0.046213323867817964
ACH-000067,-0.23870733812684344
ACH-000070,-0.10665780081679534
ACH-000075,-0.2130493469063064
ACH-000078,0.0014134525394805574
ACH-000082,-0.17387609515776795
ACH-000085,-0.43721066418002974
ACH-000086,0.031482724885654234
ACH-000087,-0.06102016593660532
ACH-000092,-0.051038361235062564
ACH-000095,-0.21339349811837915
ACH-000097,-0.2769542905826131
ACH-000098,-0.17210337943805612
ACH-000099,-0.0811034900299424
ACH-000108,-0.16921626491297045
ACH-000113,-0.10726314699811147
ACH-000116,-0.3511139105480945
ACH-000118,-0.09551765808333064
ACH-000120,-0.09332819396510404
ACH-000123,-0.15971506450847114
ACH-000127,-0.1622687057978177
ACH-000128,-0.04965623547084516
ACH-000132,-0.08305339075082961
ACH-000133,-0.2463790871677784
ACH-000137,-0.1839981135558912
ACH-000138,-0.17083931612190562
ACH-000142,-0.19504263601575808
ACH-000143,-0.3244467137825752
ACH-000146,-0.15839581667338046
ACH-000148,-0.05091019116061514
ACH-000150,-0.290990303460508
ACH-000152,-0.1239028146803378
ACH-000153,-0.2018722131160736
ACH-000159,-0.28494579582473445
ACH-000160,-0.25859956924362903
ACH-000163,-0.13318216155495402
ACH-000167,0.3395252385091488
ACH-000168,0.2727247352138827
ACH-000169,-0.07371762485374161
ACH-000178,-0.25723163507661245
ACH-000183,-0.18749976604201446
ACH-000188,-0.2403525593759412
ACH-000189,-0.2368262063867109
ACH-000190,-0.18399655289807626
ACH-000198,-0.21273858706466225
