,ANKRA2 (57763)
ACH-000004,0.0368152994750591
ACH-000005,0.022958177123058227
ACH-000007,0.08381129265226436
ACH-000009,-0.08239269517127319
ACH-000011,0.0542540269595864
ACH-000012,-0.13612450584330302
ACH-000013,-0.08771942395186565
ACH-000014,-0.10197983100249676
ACH-000015,-0.24313114167109956
ACH-000017,-0.1787910483327499
ACH-000018,-0.2857937411430465
ACH-000019,-0.2687287108288248
ACH-000021,-0.19028898593530835
ACH-000022,-0.09818353046151287
ACH-000025,-0.19399212712918407
ACH-000028,-0.11855361929750155
ACH-000030,-0.1878091377654401
ACH-000035,-0.1772873381090983
ACH-000036,-0.17376357733507108
ACH-000037,-0.21594587071934626
ACH-000039,-0.07510500834291921
ACH-000040,-0.11990046377090745
ACH-000041,-0.0375022226564261
ACH-000042,-0.09828814733157423
ACH-000045,-0.3140504945324462
ACH-000047,-0.16257675206264613
ACH-000052,0.12253232219588304
ACH-000053,-0.11740463681418288
ACH-000054,-0.19874777411876565
ACH-000055,0.11467503261963001
ACH-000060,-0.05977917306040169
ACH-000067,-0.09801641387267136
ACH-000070,-0.005053454163549358
ACH-000075,-0.05701982597094973
ACH-000078,-0.07304059271890517
ACH-000082,-0.1893985000266941
ACH-000085,-0.22673971378710694
ACH-000086,-0.17926940700464716
ACH-000087,-0.40846362501249
ACH-000092,-0.1570810229990566
ACH-000095,-0.1623031584695632
ACH-000097,-0.2753425793789791
ACH-000098,-0.05622134852614855
ACH-000099,-0.03769175572045964
ACH-000108,-0.10315887405575012
ACH-000113,-0.12091817559097492
ACH-000116,-0.051405470088670635
ACH-000118,-0.1402780813615987
ACH-000120,-0.24099863600955704
ACH-000123,-0.04012353289107468
ACH-000127,-0.06686855626672464
ACH-000128,-0.07343448277703878
ACH-000132,-0.16849244193417529
ACH-000133,-0.21240801794210096
ACH-000137,-0.23107151299971684
ACH-000138,-0.04792450728399941
ACH-000142,-0.132896786730247
ACH-000143,0.02656893193853786
ACH-000146,-0.1755495487070436
ACH-000148,-0.12318343500400505
ACH-000150,-0.09361078226521463
ACH-000152,-0.09299931227126933
ACH-000153,-0.20384393992737665
ACH-000159,-0.11387000143407162
ACH-000160,0.03613915149287148
ACH-000163,-0.20860793410597456
ACH-000167,0.2596610863982363
ACH-000168,-0.11535221940770643
ACH-000169,-0.02141642376502261
ACH-000178,-0.234551601162194
