,UTF1 (8433)
ACH-000004,-0.0008146713406984947
ACH-000005,-0.05112117042399818
ACH-000007,-0.010898545670400337
ACH-000009,0.07692932989457356
ACH-000011,0.04361659166381966
ACH-000012,-0.1030104412745183
ACH-000013,0.06493688051619237
ACH-000014,0.0202568991246095
ACH-000015,0.06571518846869284
ACH-000017,-0.049626596029877235
ACH-000018,-0.04402133199606556
ACH-000019,-0.011274114729183072
ACH-000021,-0.13707848912723794
ACH-000022,0.12279902106892425
ACH-000025,-0.09402754425967856
ACH-000028,0.020904389051700827
ACH-000030,-0.06615946303818046
ACH-000035,-0.09653580180753962
ACH-000036,-0.11279906932487813
ACH-000037,-0.2922523489547844
ACH-000039,-0.07533246109879227
ACH-000040,0.041593057515203744
ACH-000041,-0.17937044890621195
ACH-000042,-0.13490943526983076
ACH-000045,-0.21036114715641135
ACH-000047,0.004296143289428068
ACH-000052,-0.2289405332333465
ACH-000053,-0.016292760655524798
ACH-000054,-0.12529601683613428
ACH-000055,-0.1517382000146096
ACH-000060,-0.16975579972650048
ACH-000067,0.029271337168417483
ACH-000070,-0.19119148341196146
ACH-000075,0.07941446604537099
ACH-000078,-0.0014559888109246645
ACH-000082,0.07867070745366332
ACH-000085,-0.0054485619051770785
ACH-000086,-0.16321879657187702
ACH-000087,0.0488011010145809
ACH-000092,-0.01754231361917347
ACH-000095,-0.17555287690668755
ACH-000097,0.019102778929722685
ACH-000098,-0.027162144002104368
ACH-000099,-0.1020702675346396
ACH-000108,-0.02491257123705045
ACH-000113,-0.08438491688195762
ACH-000116,-0.19310599319717006
ACH-000118,-0.0991230248595949
ACH-000120,0.057072097007921124
ACH-000123,-0.009266194464298744
ACH-000127,-0.05500664252970238
ACH-000128,0.012826453768995327
ACH-000132,-0.1880426444740193
ACH-000133,-0.12605080292643014
ACH-000137,-0.14815631509183136
ACH-000138,-0.023922345060417485
ACH-000142,-0.10136517882412684
ACH-000143,0.04025364425514808
ACH-000146,0.060425984983857976
ACH-000148,-0.07520796259954632
ACH-000150,0.10697142448428604
ACH-000152,-0.1470266384212727
ACH-000153,-0.03762857590704362
ACH-000159,-0.16161512074049753
ACH-000160,0.1507605655632704
ACH-000163,-0.14185051625654968
ACH-000167,0.5013210947834018
ACH-000168,0.040299426832628465
ACH-000169,-0.28199825440266363
ACH-000178,0.13631546709167353
ACH-000183,-0.0328233658564083
ACH-000188,-0.009347034638971892
ACH-000189,-0.15973136672012786
ACH-000190,0.2693309008355441
ACH-000198,-0.00765679801834541
ACH-000203,-0.10454876939119613
ACH-000204,-0.2925167444365782
ACH-000206,0.0526180855830605
ACH-000207,0.05935718849244365
ACH-000208,0.0018938522085482844
ACH-000210,-0.3408254584164716
ACH-000211,0.02396781291398078
ACH-000215,-0.05395483895030453
ACH-000221,-0.10428751308548168
ACH-000222,0.03896133063735184
ACH-000223,-0.013653667853129051
ACH-000226,-0.1268222744068172
ACH-000227,-0.02416344457285713
ACH-000228,0.010966000663304828
ACH-000231,0.01411397279487526
ACH-000232,-0.025603943184615247
ACH-000233,-0.0602223285412833
ACH-000234,-0.044716198963551
ACH-000235,-0.07377204632820065
ACH-000237,-0.028296014335245274
ACH-000238,-0.0505176319306277
ACH-000242,-0.1939283884113922
ACH-000243,-0.06160287112284087
ACH-000244,-0.08624176138170933
ACH-000246,-0.05930818398250595
ACH-000248,-0.016923951305908916
ACH-000250,-0.03536151173671781
ACH-000251,-0.0352918039980729
ACH-000252,0.03300131991458412
ACH-000253,-0.09326855687635772
ACH-000255,-0.014274379343257947
ACH-000256,-0.06168918945742696
ACH-000257,0.021336038669833555
ACH-000258,0.05351026891139792
ACH-000259,-0.02880491682573133
ACH-000260,-0.07158540820547113
ACH-000261,-0.008867409972130156
ACH-000262,0.04050367182591393
ACH-000263,0.28082561280286233
ACH-000264,-0.045081583333731315
ACH-000265,0.042365077807666664
ACH-000266,-0.10918253293373853
ACH-000272,-0.02058475023702895
