,FLT3LG (2323)
ACH-000004,-0.042376835418108105
ACH-000005,-0.07280606470340999
ACH-000007,-0.10331295368988233
ACH-000009,-0.1871250779453253
ACH-000011,-0.11400193234118212
ACH-000012,-0.16153364772653614
ACH-000013,-0.2965795132640485
ACH-000014,-0.07804849181338211
ACH-000015,-0.3928959836084588
ACH-000017,-0.15781530957834775
ACH-000018,-0.07186321267463401
ACH-000019,-0.0919445631343613
ACH-000021,-0.15834481100861725
ACH-000022,-0.23264652742651734
ACH-000025,-0.0022406737691451147
ACH-000028,-0.21203815068935106
ACH-000030,-0.18258554173990327
ACH-000035,-0.04957198761798248
ACH-000036,-0.19671101566812849
ACH-000037,-0.0528731511456401
ACH-000039,-0.1098464452309875
ACH-000040,-0.09395816563193504
ACH-000041,-0.13036232413144014
ACH-000042,-0.19865618530394
ACH-000045,-0.18867927425786035
ACH-000047,-0.3724417811490055
ACH-000052,-0.29246296468738525
ACH-000053,-0.10568752923007713
ACH-000054,-0.10040678307687052
ACH-000055,-0.1121011980481663
ACH-000060,-0.031778329438201434
ACH-000067,-0.3099161612570054
ACH-000070,0.05072334184081582
ACH-000075,-0.22832942207560716
ACH-000078,-0.24930824164869744
ACH-000082,-0.05730406856725264
ACH-000085,-0.13138070798408552
ACH-000086,-0.3414499338857831
ACH-000087,0.05811183122802835
ACH-000092,-0.1542562105827172
ACH-000095,-0.17395479716392126
ACH-000097,-0.21637946238781236
ACH-000098,-0.3403875786268384
ACH-000099,-0.25864468383199396
ACH-000108,-0.2645161519913048
ACH-000113,-0.30373396568537114
ACH-000116,-0.14689160578368474
ACH-000118,-0.14689775274992076
ACH-000120,-0.3253190043634773
ACH-000123,-0.2450346096309675
ACH-000127,-0.22281229855409626
ACH-000128,-0.23529199799744535
ACH-000132,-0.06622936688458814
ACH-000133,-0.25027592430399515
ACH-000137,-0.29582081577929226
ACH-000138,-0.2252651484914281
ACH-000142,-0.2240413666660172
ACH-000143,-0.11234153148990801
ACH-000146,-0.2531472531891473
ACH-000148,-0.17257307707490527
ACH-000150,-0.36269382629888336
ACH-000152,-0.14601282459396636
ACH-000153,-0.09069304230405036
ACH-000159,-0.09894629996115382
ACH-000160,-0.25246905673414866
ACH-000163,-0.04589193081052919
ACH-000167,0.05222454399919987
ACH-000168,-0.3368132338414597
