,ZPBP2 (124626)
ACH-000004,-0.1556127115449346
ACH-000005,-0.1700156678169716
ACH-000007,-0.15828939448939466
ACH-000009,-0.3806346022247847
ACH-000011,-0.15793903455640382
ACH-000012,-0.2893724196916887
ACH-000013,-0.2968529962588321
ACH-000014,-0.40952183100426937
ACH-000015,-0.2258516592750693
ACH-000017,-0.5873791105816221
ACH-000018,-0.3307067028507905
ACH-000019,-0.33283898299043063
ACH-000021,-0.1887981108425693
ACH-000022,-0.28858624365310503
ACH-000025,-0.13961805180020706
ACH-000028,-0.17137084427383992
ACH-000030,-0.3477103503193303
ACH-000035,-0.4086325370305742
ACH-000036,-0.2491384010368182
ACH-000037,-0.03501843974387836
ACH-000039,-0.3501978213671247
ACH-000040,-0.31709971209911
ACH-000041,-0.3145408541822235
ACH-000042,-0.16514365609750364
ACH-000045,-0.17898575127687613
ACH-000047,-0.33944374050939385
ACH-000052,-0.17779669372722612
ACH-000053,-0.22122838728111985
ACH-000054,-0.08319918672767103
ACH-000055,-0.5209159390220374
ACH-000060,-0.3806166301551293
ACH-000067,-0.4660172064467661
ACH-000070,-0.2164636616047544
ACH-000075,-0.3468372265860241
ACH-000078,-0.31767683179614525
ACH-000082,-0.21426180438692452
ACH-000085,-0.17721737235368829
ACH-000086,-0.2126288330947666
ACH-000087,-0.20096286556256396
ACH-000092,-0.2001736026678996
ACH-000095,-0.2484979873212298
ACH-000097,-0.32387612440890706
ACH-000098,-0.2622983167990776
ACH-000099,-0.2352542779698584
ACH-000108,-0.1748540687072693
ACH-000113,-0.26508009829612983
ACH-000116,-0.2628256353869673
ACH-000118,-0.2518813536716894
ACH-000120,-0.4235510240931149
ACH-000123,-0.3069395130506677
ACH-000127,-0.2202647549868234
ACH-000128,-0.06099253904289885
ACH-000132,-0.3290634015010555
ACH-000133,-0.2750865831723211
ACH-000137,-0.3124370489070316
ACH-000138,-0.3944189384065505
ACH-000142,-0.3163474008275389
ACH-000143,-0.3350485944556934
ACH-000146,-0.3203210031672263
ACH-000148,-0.3345089453883021
ACH-000150,-0.1729373073138422
ACH-000152,-0.21487830880470254
ACH-000153,-0.3604110243057425
ACH-000159,-0.2593743140346525
ACH-000160,-0.4127356622784463
ACH-000163,-0.21446662047775802
ACH-000167,-0.3877813420873328
ACH-000168,-0.40472972171426796
ACH-000169,-0.2321249774250977
ACH-000178,-0.2411736916524089
ACH-000183,-0.23997572185558366
ACH-000188,-0.4353632380867696
ACH-000189,-0.17540842880594354
ACH-000190,-0.2807408607482537
ACH-000198,-0.212609359238268
ACH-000203,0.1990695919283357
ACH-000204,-0.1087759383534849
ACH-000206,-0.2779055204838398
ACH-000207,-0.4084947913436437
ACH-000208,-0.18001143637530873
ACH-000210,-0.07247117377466125
ACH-000211,-0.3746160451780976
ACH-000215,-0.2771192216821122
ACH-000221,-0.1932089538415712
ACH-000222,-0.2409447681152376
ACH-000223,-0.16478375361512715
ACH-000226,-0.13394101836364689
ACH-000227,-0.3245338382494833
ACH-000228,-0.19918870472934047
ACH-000231,-0.29137664325044993
ACH-000232,-0.18724119153380495
ACH-000233,-0.14293739141060371
ACH-000234,-0.28111906852741536
ACH-000235,-0.2941896009900296
ACH-000237,-0.18487817972370352
ACH-000238,-0.3735162835178836
ACH-000242,-0.28589044363460714
ACH-000243,-0.38353490278254937
ACH-000244,-0.407215053563334
ACH-000246,-0.23339919627695704
ACH-000248,-0.3844198716832325
ACH-000250,-0.32487247787208484
ACH-000251,-0.32076147332051397
ACH-000252,-0.2751508704054605
ACH-000253,-0.3478289895420836
ACH-000255,-0.3999165391064658
ACH-000256,-0.3965081903436376
ACH-000257,-0.10654095604842384
ACH-000258,-0.32779004550563656
ACH-000259,-0.23698787950472197
ACH-000260,-0.32355335479694464
ACH-000261,-0.11729222525905066
ACH-000262,-0.2877612663386462
ACH-000263,-0.056925089504065225
ACH-000264,-0.2925628714211915
ACH-000265,-0.29210685575824563
ACH-000266,-0.18352741336193468
ACH-000272,-0.2928198380587455
ACH-000274,-0.28790028452873256
ACH-000277,-0.2444228015602547
ACH-000278,-0.16355861074557865
ACH-000279,-0.3637886370181591
ACH-000280,-0.2430012284924124
ACH-000281,-0.023796061263850643
ACH-000288,-0.34464253629845204
ACH-000291,-0.2756526516625986
ACH-000293,-0.3950119540020052
ACH-000294,-0.26750017447724256
ACH-000295,-0.5369989355498297
ACH-000296,-0.4183325177610609
ACH-000302,-0.21984774329848647
ACH-000304,-0.4138259415345932
ACH-000307,-0.34642018123054363
ACH-000308,-0.3006151107352715
ACH-000310,-0.1308565892634707
ACH-000311,-0.2338029472140537
ACH-000312,-0.23916693628971195
ACH-000315,0.02199292949088477
ACH-000316,-0.4000803191252361
ACH-000317,-0.25940111328001303
ACH-000318,-0.1239951947839808
ACH-000319,-0.31860254342893896
ACH-000320,-0.15978640787008472
ACH-000322,-0.18359754595947225
ACH-000323,-0.4780966729236804
ACH-000324,-0.3237607734878756
ACH-000329,-0.2711397039592739
ACH-000330,-0.41430433923937693
ACH-000331,-0.3256126120729101
ACH-000332,-0.19302015227417813
ACH-000334,-0.24320695201691325
ACH-000335,-0.1730670868801591
ACH-000336,-0.2468873761170968
ACH-000337,-0.2419552601143792
ACH-000338,0.3525572531746177
ACH-000339,-0.2498249227108386
ACH-000341,-0.2204834820083951
ACH-000348,-0.2985290544502333
ACH-000350,-0.16407241705801068
ACH-000352,-0.0871262287520652
ACH-000356,-0.2503689741722181
ACH-000361,-0.19438487830108486
ACH-000362,-0.20989255577488916
ACH-000363,-0.31028551810712096
ACH-000364,-0.3550765455108408
ACH-000365,-0.2151286097812861
ACH-000366,-0.22479854233229776
ACH-000368,0.014562995949051322
ACH-000374,-0.3802050047884089
ACH-000375,-0.3827705036549851
ACH-000376,-0.17567527010169695
ACH-000381,-0.36969040384148777
ACH-000383,-0.2401983506605821
ACH-000387,-0.31328171646632164
ACH-000389,-0.1893935796260604
ACH-000390,-0.3447361344553276
ACH-000393,-0.2582999981154791
ACH-000395,-0.23200397779121698
ACH-000396,-0.18218863371893865
ACH-000397,-0.5104503906947672
ACH-000401,-0.2866989060089393
ACH-000402,-0.7915417792011596
ACH-000403,-0.3182061030937862
ACH-000404,-0.2503018092300895
ACH-000406,-0.19488226686353724
ACH-000407,-0.19493587539663207
ACH-000408,-0.4761758996910202
ACH-000410,-0.2712401705242989
ACH-000411,-0.371122869469884
ACH-000414,-0.28204852045638873
ACH-000415,-0.4086077183644067
ACH-000416,-0.2535142145262758
ACH-000420,-0.29721830437413205
ACH-000421,-0.4355877749239541
ACH-000424,-0.3257965308015298
ACH-000425,-0.2877210291284764
ACH-000426,-0.4185377565641761
ACH-000427,-0.775201387808403
ACH-000433,-0.2348164752487533
ACH-000435,-0.588201370254043
ACH-000436,-0.27210015094763845
ACH-000444,-0.4134036609432623
ACH-000445,-0.18885508637799184
ACH-000448,-0.20801995836174972
ACH-000450,-0.23879729116883194
ACH-000452,-0.2926580761023341
ACH-000454,-0.21878843562640893
ACH-000458,-0.4212488429081683
ACH-000459,-0.21692789103082644
ACH-000460,-0.2380580626148393
