,NCOA4 (8031)
ACH-000004,-0.4904168586727083
ACH-000005,-0.4640014751066783
ACH-000007,-0.4522332995757569
ACH-000009,-0.2038424453692273
ACH-000011,-0.6055169314695336
ACH-000012,-1.015724663351976
ACH-000013,-0.3488043023537931
ACH-000014,-0.36116498578890577
ACH-000015,-0.15767927174987642
ACH-000017,-0.5371977876171719
ACH-000018,-0.6501859264016503
ACH-000019,-0.2857720045372105
ACH-000021,-0.16673023071834098
ACH-000022,-0.27263794329577845
ACH-000025,-0.6465959170391054
ACH-000028,-0.4804697923322222
ACH-000030,-0.5473409191805775
ACH-000035,-0.5233532328553717
ACH-000036,-0.486151606295052
ACH-000037,-0.3992866097737717
ACH-000039,-0.3311424308609379
ACH-000040,-0.3174336886284058
ACH-000041,-0.535208847374092
ACH-000042,-0.2988267179591784
ACH-000045,-0.2883873022320723
ACH-000047,-0.2399696448115193
ACH-000052,-0.3729904532383753
ACH-000053,-0.30639741497998624
ACH-000054,-0.2760910697430549
ACH-000055,-0.30775815897660713
ACH-000060,-0.1742997595800077
ACH-000067,-0.5124931773256229
ACH-000070,-0.2596885713592465
ACH-000075,-0.3055327314579627
ACH-000078,-0.1938524110343076
ACH-000082,-0.26036561309695355
ACH-000085,-0.23648668740046225
ACH-000086,-0.41776356833174094
ACH-000087,-0.38601582821293134
ACH-000092,-0.490491741612669
ACH-000095,-0.27905578490199595
ACH-000097,-0.22263668149444224
ACH-000098,-0.5007371696793556
ACH-000099,-0.3165843496864568
ACH-000108,-0.16502736248478386
ACH-000113,-0.14769662327523422
ACH-000116,-0.3032478479608609
ACH-000118,-0.24185950748948434
ACH-000120,-0.19916492430627386
ACH-000123,-0.446136257455362
ACH-000127,-0.7197699115989502
ACH-000128,-0.34025358238966713
ACH-000132,-0.4329093000117187
ACH-000133,-0.5680068495227705
ACH-000137,-0.4345635898251762
ACH-000138,-0.21837618427729655
ACH-000142,-0.3986932156883001
ACH-000143,-0.3412481319250418
ACH-000146,-0.12462620758493685
ACH-000148,-0.37434521129935294
ACH-000150,-0.4234696063362553
ACH-000152,-0.23474972786623494
ACH-000153,-0.4130638930801692
ACH-000159,-0.2359255491978918
ACH-000160,-0.05958607400136619
ACH-000163,-0.17294352620863002
ACH-000167,-0.4485375569475696
ACH-000168,-0.33242161187067226
ACH-000169,-0.31553091148735857
ACH-000178,-0.21848683145023254
ACH-000183,-0.3458505809876775
ACH-000188,-0.5220529876713548
ACH-000189,-0.6693938481147645
ACH-000190,0.09595946309261702
ACH-000198,-0.35998283689320365
ACH-000203,-0.4485462225962028
ACH-000204,-0.30093406046237386
ACH-000206,-0.372433025268211
ACH-000207,-0.3826019065808919
ACH-000208,-0.3684848796310944
ACH-000210,-0.2961844738234101
ACH-000211,-0.2731049484623481
ACH-000215,-0.3996330107906279
ACH-000221,-0.10554001977219528
ACH-000222,-0.33961455115618666
ACH-000223,-0.3653656753578736
ACH-000226,-0.6012235558230359
ACH-000227,-0.3561221812116085
ACH-000228,-0.4971195481605654
ACH-000231,-0.4217306757873375
ACH-000232,-0.3407003495575369
ACH-000233,-0.4115778317918979
ACH-000234,-0.5100056038959391
ACH-000235,-0.28620812036534404
ACH-000237,-1.239588105411429
ACH-000238,-0.29329591322523424
ACH-000242,-0.8447916505312539
ACH-000243,-0.10625413414771863
ACH-000244,-0.3746119020581228
ACH-000246,-0.5209305910037522
ACH-000248,-0.2401734920538593
ACH-000250,-0.4360933256846165
ACH-000251,-0.24428926012998636
ACH-000252,-0.32575701164723964
ACH-000253,-0.21037069036846215
ACH-000255,-0.4452385433381724
ACH-000256,-0.5011019716991316
ACH-000257,-0.4740641763406709
ACH-000258,-0.2855180948075107
ACH-000259,-0.2017002109016739
ACH-000260,-0.24003920436154716
ACH-000261,-0.27961615413343555
ACH-000262,-0.61849231499805
ACH-000263,-0.3028032974741036
ACH-000264,-0.24594974547003354
ACH-000265,-0.30511742345478976
ACH-000266,-0.23014212757924266
ACH-000272,-0.32873671818366595
ACH-000274,-0.2386240884909394
ACH-000277,-0.17538733009328805
ACH-000278,-0.4923908693065163
ACH-000279,-0.38085806514375575
ACH-000280,-0.4308034784937059
ACH-000281,-0.23894916204781005
ACH-000288,-0.6327195164037256
ACH-000291,-0.3260433518778612
ACH-000293,-0.21607750943957107
ACH-000294,-0.5582515570391786
ACH-000295,-0.29507878821000605
ACH-000296,-0.7241822300852848
ACH-000302,-0.24778747948610005
ACH-000304,-0.22278151694948184
ACH-000307,-0.17398189410751191
ACH-000308,-0.1590695454691584
ACH-000310,-0.27298477005132143
ACH-000311,-0.2964473236288725
ACH-000312,-0.3163729431070169
ACH-000315,-0.1946200985914222
ACH-000316,-0.5243171709699087
ACH-000317,-0.2154242346044384
ACH-000318,-0.2793452644278905
