,RFX5 (5993)
ACH-000004,-0.2744969090354391
ACH-000005,-0.1388496827232142
ACH-000007,-0.3134555021961548
ACH-000009,-0.4582354898985945
ACH-000011,-0.12414955803912388
ACH-000012,-0.2611572262514002
ACH-000013,-0.2594083670082215
ACH-000014,-0.2984156201979507
ACH-000015,-0.22538521343268994
ACH-000017,-0.0262974016419017
ACH-000018,-0.3217971633828685
ACH-000019,-0.34740731609427483
ACH-000021,-0.23090971194442694
ACH-000022,-0.2335172677301917
ACH-000025,-0.21442981366156252
ACH-000028,-0.3875736628182458
ACH-000030,-0.221356137048162
ACH-000035,-0.4118437803836523
ACH-000036,-0.07909481485680686
ACH-000037,-0.2638900421384928
ACH-000039,-0.07535272582640029
ACH-000040,-0.31193935115827004
ACH-000041,-0.12155028187604215
ACH-000042,-0.27469121273626834
ACH-000045,-0.2778272046045022
ACH-000047,-0.3198151847143468
ACH-000052,-0.18275133457149195
ACH-000053,-0.2662536815155129
ACH-000054,-0.1571565897595381
ACH-000055,-0.033425921372568244
ACH-000060,-0.22314027594218566
ACH-000067,-0.12093443151674198
ACH-000070,-0.3292671250123759
ACH-000075,-0.18875934175341347
ACH-000078,-0.16592408392055766
ACH-000082,-0.1726406587056153
ACH-000085,-0.22201978351279836
ACH-000086,-0.4795898629650474
ACH-000087,-0.0011969294789411678
ACH-000092,-0.2531046431785928
ACH-000095,-0.17356325351756338
ACH-000097,-0.32308548514054397
ACH-000098,-0.309356438395513
ACH-000099,-0.2079255569071797
ACH-000108,-0.14489393600537726
ACH-000113,-0.23993015774100895
ACH-000116,-0.2798379293610113
ACH-000118,-0.14074153352523158
ACH-000120,-0.08969091410065749
ACH-000123,-0.3065979925082776
ACH-000127,-0.2085456696220649
ACH-000128,-0.24874497953192384
ACH-000132,-0.1852045158766923
ACH-000133,-0.3170855074768392
ACH-000137,-0.19853627815860908
ACH-000138,-0.16371473176721935
ACH-000142,-0.2919010489005163
ACH-000143,-0.3213619552312419
ACH-000146,-0.14254650450185608
ACH-000148,-0.10323752865107402
ACH-000150,-0.31860750461072024
ACH-000152,-0.192074483523325
ACH-000153,-0.2585236483702693
ACH-000159,-0.21094781975499385
ACH-000160,0.02137194045392806
ACH-000163,-0.13914399329263813
ACH-000167,0.23446094532013065
ACH-000168,-0.4013469363023432
ACH-000169,-0.2962011170422423
ACH-000178,-0.2921311543691158
ACH-000183,-0.3841982896263104
ACH-000188,-0.2542661098465776
ACH-000189,-0.31643744606998125
ACH-000190,0.2269786179248201
ACH-000198,-0.31182357234721697
ACH-000203,-0.2704097672134547
ACH-000204,-0.3924895765789631
ACH-000206,-0.34794714439308183
ACH-000207,-0.12175123636334093
ACH-000208,-0.3802843893362113
ACH-000210,-0.15414486744494502
ACH-000211,-0.3151282671996775
ACH-000215,-0.2856396813282832
ACH-000221,-0.2693083257467254
ACH-000222,-0.18357411120996028
ACH-000223,-0.18575365202028601
ACH-000226,-0.18962414836530744
ACH-000227,-0.18920972633932864
ACH-000228,-0.21776941796163507
ACH-000231,-0.2551338922718809
ACH-000232,-0.36377581730380604
ACH-000233,-0.2747092322819987
ACH-000234,-0.13178213729957206
ACH-000235,-0.3078174135484105
ACH-000237,-0.2205383609003621
ACH-000238,-0.052705394133318026
ACH-000242,0.006306567534588443
ACH-000243,-0.16057576095261536
ACH-000244,-0.2761974324329142
ACH-000246,-0.18240006595172914
ACH-000248,-0.21769016109856854
ACH-000250,-0.2468245524615961
ACH-000251,-0.23749878340663555
ACH-000252,-0.2435333504592205
ACH-000253,-0.29323052668677885
ACH-000255,-0.26263061855152664
ACH-000256,-0.14414788810947513
ACH-000257,-0.3973074704191016
ACH-000258,-0.2894453772986608
ACH-000259,-0.3156047036756119
ACH-000260,-0.28136444921293896
ACH-000261,-0.15578741353440226
ACH-000262,-0.4010669178373255
ACH-000263,-0.20553390559541565
ACH-000264,-0.2306083342108388
ACH-000265,-0.08344159521257924
ACH-000266,-0.1851381757075184
ACH-000272,-0.25401216075410915
ACH-000274,-0.32743189706026943
ACH-000277,-0.2674633210324895
ACH-000278,-0.2552160141066826
ACH-000279,-0.25047674308722817
ACH-000280,-0.3487583110735273
ACH-000281,-0.3799363246792856
ACH-000288,-0.28234929997073865
