,SPRYD3 (84926)
ACH-000004,-0.07026941577204525
ACH-000005,-0.2460567611263475
ACH-000007,-0.0585043033205362
ACH-000009,-0.11069953383204592
ACH-000011,-0.07734162610586133
ACH-000012,0.02673876516868676
ACH-000013,-0.07065950100033401
ACH-000014,-0.014896308417737262
ACH-000015,-0.03167710041201381
ACH-000017,-0.114502978485927
ACH-000018,-0.1375059160134786
ACH-000019,-0.1105448600373711
ACH-000021,-0.10420769238649924
ACH-000022,-0.10219939256276037
ACH-000025,-0.1811310787213821
ACH-000028,-0.14469393525979346
ACH-000030,-0.06395249914154573
ACH-000035,-0.21095737223870306
ACH-000036,-0.0301144130326053
ACH-000037,-0.17834430666344106
ACH-000039,0.07620288428041322
ACH-000040,-0.09972468292849214
ACH-000041,-0.2181455104119243
ACH-000042,-0.02732709910877042
ACH-000045,-0.048631894895697005
ACH-000047,-0.02970505627959825
ACH-000052,0.001610360356843297
ACH-000053,-0.042948401806355896
ACH-000054,-0.08660922122133262
ACH-000055,-0.0940139013212498
ACH-000060,-0.058325591226325614
ACH-000067,-0.16343776958127565
ACH-000070,-0.15005851687598576
ACH-000075,-0.3025436201809176
ACH-000078,-0.037590245515508686
ACH-000082,-0.06856260523155268
ACH-000085,-0.0018185577028413946
ACH-000086,-0.23935889018841866
ACH-000087,-0.2375875090603791
ACH-000092,-0.08165260049506479
ACH-000095,-0.10786971621651252
ACH-000097,-0.07921625556720932
ACH-000098,0.036428118175011036
ACH-000099,-0.0075980778316989545
ACH-000108,0.003021783180617485
ACH-000113,-0.09465935707847917
ACH-000116,-0.008435388109555941
ACH-000118,-0.021362553255620673
ACH-000120,-0.0912875792627934
ACH-000123,0.04290989368810357
ACH-000127,-0.0888875032410776
ACH-000128,-0.19439906389915676
ACH-000132,-0.025999869312213486
ACH-000133,-0.07981710505833763
ACH-000137,-0.0783107663050044
ACH-000138,-0.09436269405047486
ACH-000142,-0.04379220352721468
ACH-000143,-0.08488953920960507
ACH-000146,-0.07183417428761553
