,PIDD1 (55367)
ACH-000004,-0.11284109439068328
ACH-000005,0.07385686769655375
ACH-000007,0.08293698717835786
ACH-000009,-0.06572273642662757
ACH-000011,-0.1898809992257642
ACH-000012,-0.08046191224980652
ACH-000013,-0.00918548495005697
ACH-000014,-0.1843081146089352
ACH-000015,-0.0808807798842385
ACH-000017,-0.08646915857582466
ACH-000018,-0.3072222679220443
ACH-000019,-0.03401140970364881
ACH-000021,-0.09415160705013134
ACH-000022,-0.03334589228499963
ACH-000025,-0.1222394527990468
ACH-000028,-0.2399575055331493
ACH-000030,-0.08144970067163627
ACH-000035,-0.0631780238352351
ACH-000036,-0.17917986587182036
ACH-000037,-0.022063656221304184
ACH-000039,0.01983336898196829
ACH-000040,-0.11487982318084375
ACH-000041,-0.2806900394290344
ACH-000042,-0.1934348829829912
ACH-000045,-0.0705866450910622
ACH-000047,-0.1113688015797578
ACH-000052,-0.1844278785881431
ACH-000053,-0.12495270058615005
ACH-000054,-0.09256407267478292
ACH-000055,-0.12001804413213005
ACH-000060,-0.12212316014959355
ACH-000067,-0.14358673256725316
ACH-000070,-0.3632820484896867
ACH-000075,-0.10078000587911218
ACH-000078,-0.3394681036912772
ACH-000082,-0.019846397884213624
ACH-000085,-0.15558399716021995
ACH-000086,-0.09051779635737013
ACH-000087,-0.024565006193207364
ACH-000092,-0.08243861347706764
ACH-000095,-0.011698164161403063
ACH-000097,-0.13391448762082184
ACH-000098,-0.05292020666954536
ACH-000099,-0.13114076579389247
ACH-000108,-0.27143391682697793
ACH-000113,-0.245302155898376
ACH-000116,-0.05773840394162506
ACH-000118,-0.028354935930692375
ACH-000120,0.11122454668428784
ACH-000123,-0.057232068328039926
ACH-000127,-0.07972106747929356
ACH-000128,-0.12608457241237805
ACH-000132,-0.20848740032000468
ACH-000133,0.011794954485799146
ACH-000137,-0.14998440962378953
ACH-000138,-0.1923897256099764
ACH-000142,-0.07773387387250276
ACH-000143,-0.008904177690744119
ACH-000146,-0.17415055709126587
ACH-000148,-0.025109974011836952
ACH-000150,-0.2876331760940742
ACH-000152,-0.03982160927319508
ACH-000153,-0.2738192880890784
ACH-000159,-0.08436246903325027
